MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nC'est étrange... Cela ne fait pas longtemps que\nnous combattons ensemble, et pourtant il me\nsemble que nous nous comprenons très bien.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nComment ? Non. Je suis certes un Gardien\ndévoué, mais je me garde de telles extrémités.\nPourquoi cette question ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nJe vous présente mes excuses si ma question\nvous a paru déplacée, l'autre fois. Le chevalier\nqui me servait faisait preuve d'un zèle excessif.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEt vous vous êtes demandé si j'allais faire de\nmême. Ma foi, je dois dire que le dévouement de\nvotre chevalier ne me paraît pas si outrancier.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nSe mettre corps et âme au service d'un seigneur\nest un puissant désir. Ce pourrait être une idée\nd'arracher moi aussi les mauvaises herbes.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06クロム\nVous en faites déjà plus qu'il n'est nécessaire.\nLaissez-moi vous être utile à mon tour, et\ncomptez sur moi en combat.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nClanne... Chercheriez-vous à vous cacher ? Il est\npourtant difficile de ne pas vous remarquer.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nAaah ! Désolé, Messire Chrom. Je me cachais\njuste parce que vous m'impressionnez trop !\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nAvez-vous des frères et sœurs, Messire Chrom ?\nComment étaient-ils ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クロム\nMa sœur aînée avait le cœur pétri de\ncompassion, et ma petite sœur était\ngentille et joyeuse.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クラン\nAaah... Si seulement j'étais aussi fort que vous,\nje serais bien plus utile au Dragon divin...\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クロム\nVous me semblez être déjà assez fort, mais\nvotre puissance continuera à croître tant que\nvous vous efforcerez de repousser vos limites.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クロム\nJe n'étais pas si fort que ça, à mes débuts.\nC'est grâce à mes amis et à mon peuple que\nj'ai pu développer mes pouvoirs.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nJe vous remercie pour ces encouragements.\nÇa me fait vraiment plaisir, et ça m'incite\nà poursuivre mes efforts !\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nJe tenais à vous exprimer ma joie de travailler\navec vous. Je suis votre contact incontournable\npour tout ce qui concerne le Dragon divin !\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06クロム\nTout le plaisir est pour moi. Cela paraît... très\nspécifique. Fort bien, la prochaine fois que j'ai\nune question sur le Dragon divin, je le saurai.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nMessire Daraen et vous formez un Emblème\nunique à vous deux, n'est-ce pas ? Vous faites\nquoi, quand vous n'êtes pas en combat ?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06クロム\nMa foi, je m'entraîne et je me balade. Quant à\nDaraen... il passe la plupart de son temps à\nlire des romans et des ouvrages de magie.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06フラン\nQue faudrait-il que je fasse pour devenir une\nguerrière aussi forte que vous, Messire Chrom ?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06クロム\nL'important est de s'entraîner quotidiennement\net d'avoir une bonne alimentation. Et bien sûr,\nil ne faut jamais baisser les bras.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06クロム\nPersévérer même dans l'adversité, et se battre\npour ceux qui nous sont chers. C'est cette\nvolonté qui donne de la force.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nVous êtes vraiment le meilleur. Merci pour\nvos conseils ! Je continuerai à développer\nma force pour protéger mes amis.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'imagine que vous devez avoir votre opinion\nd'une bonne gouvernance. J'aimerais beaucoup\nentendre vos conseils sur la question.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06クロム\nJe doute d'être bien placé pour vous répondre.\nTout ce que je peux dire, c'est que je m'efforce\nde comprendre les gens avec qui je travaille.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, quelle splendide musculature ! Je serais\nbien avisé de m'entraîner encore davantage.\nDemain, je m'y mets dès le lever du soleil !\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06クロム\nDe l'exercice à l'aube ? Je salue votre\nrésolution. Peut-être devrais-je m'entraîner\naux premières heures du jour, moi aussi.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nJe vois que vous courez à nouveau de bon\nmatin. Je doute que je puisse jamais fournir\nde tels efforts.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nCe n'est pas un effort pour moi, j'adore\nm'entraîner. Vous ne trouverez personne qui\naime davantage l'exercice dans tout Firene.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06クロム\nVraiment ? Il se pourrait bien que vous ayez\ntrouvé à qui parler. Je n'ai pas mon pareil pour\nbriser tout ce qui m'entoure en m'entraînant.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt vous... Vous en tirez vraiment de la fierté ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nC'est un honneur de combattre à vos côtés,\nEmblème des Liens ! Je vais à présent devoir\nme montrer encore plus vigilant.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x08\x06クロム\nJ'apprécie votre enthousiasme, mais il\nn'est pas nécessaire d'être aussi formel.\nNous sommes des amis, non ?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nブシュロン\nVous m'avez aidé à retrouver mon chemin,\nquand je me suis perdu l'autre jour. C'était\ntrès généreux de votre part.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06クロム\nJ'étais autrefois à la tête d'un groupe baptisé\nles Veilleurs. C'est chez moi une seconde\nnature de guider les gens.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nJe me posais la question... Avez-vous toujours\nété aussi costaud ? Ou devez-vous ces muscles\nà un entraînement intensif ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nJe crois que ma force me vient de mon travail\ncomme garde royal. Grâce à cela, je peux même\nbrandir cette hache sans effort.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06クロム\nUn de mes Veilleurs maniait la hache avec\nune habileté meurtrière. Quand il n'oubliait\npas de s'en munir...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nPartir au combat sans arme ?! Quelle horreur !\nS'il est encore en vie, je serais ravi de faire\nsa connaissance.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nDites-moi, Chrom... Je ne sais pas quoi faire.\nJe me suis un peu emportée et... j'ai fracassé\nun mur en m'entraînant.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x08\x06クロム\nAh, je peux vous parler d'expérience... vous\ndevriez tout d'abord aller vous excuser.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVous n'avez pas l'air d'avoir le moral, Etie.\nTout va bien ? Je suis là si vous avez besoin\nde parler à quelqu'un.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nJ'ai juste besoin de dépenser mon énergie,\naprès ce conseil de guerre... Allons courir\nune centaine de tours, on pourra papoter !\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nエーティエ\nVous vous êtes levé tôt, aujourd'hui. Je crois\nque même le prince Alfred est encore au lit.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06クロム\nJe n'arrivais pas à dormir, alors j'ai décidé de\nm'entraîner jusqu'à tomber de fatigue. Et vous,\npourquoi êtes-vous debout ?\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nJe me suis dit que ce serait agréable de courir\nsous les étoiles, pour une fois. Voudriez-vous\nvous joindre à moi ?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06クロム\nCourir sous les étoiles... voilà une proposition\nqui me plaît. Je vous suis. Je vais certainement\ntomber comme une masse, après cela.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVous avez fait des merveilles lors de la dernière\nbataille, Céline. Reposez-vous bien avant que\nnous devions repartir à l'assaut.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nMerci. Sans votre présence, l'issue aurait été\ntoute autre. Je vous en prie, n'abusez pas de\nvos forces, vous non plus.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nD'où provient donc cette délicieuse odeur ?\nCe parfum léger et délicat qui vient\nréchauffer mon cœur...\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIl s'agit d'un thé noir qu'on ne produit qu'en\nFirene. Il porte le nom d'Ylisse, tout comme\nla contrée dont vous êtes originaire.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe voudrais tellement gagner en force pour être\nà même de protéger mon royaume. Je suis prête\nà accomplir tout ce qu'exige un tel dessein.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06クロム\nMoi aussi. Et je suis heureux de vous faire\nprofiter de ma force, car je sais que nous\navons des objectifs communs.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nSi l'aube se lève un jour sur un monde en paix,\nje voudrais que nous nous retrouvions tous\nautour d'une délicieuse tasse de thé.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06クロム\nJ'espère qu'il s'agira du même thé que celui de\nla dernière fois. Il fera bon deviser de l'avenir\nen se gorgeant de son fumet charmant.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nDaraen et vous nichez tous deux dans ce\nbracelet, si je ne m'abuse ? Quel bonheur vous\ndevez connaître, d'être ainsi toujours ensemble.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06クロム\nUn lien profond m'unit à Daraen.\nRien d'étonnant à ce que nous servions\nensemble en tant qu'Emblèmes.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nBien que Daraen et vous constituiez un\nEmblème unique, il est hélas rare de vous\nvoir en même temps...\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06クロム\nNe soyez pas si déçu. Je m'arrangerai pour\nque nous apparaissions ensemble de temps\nen temps.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ルイ\nJ'ai grandi entouré d'hommes. Alors que vous...\nJe crois savoir que vous avez quatre sœurs ?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06クロム\nC'est exact. Je me suis souvent demandé\nce que ça faisait d'avoir un frère.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nPeut-être pourrions-nous vous dénicher\nun frère de substitution. Je gage que nombre\nde nos alliés sauraient endosser ce rôle.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06クロム\nTiens, ça pourrait être amusant. Et allez-vous\nsolliciter ce rôle vous-même ?\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nDaraen et vous formez un magnifique duo !\nJ'ai lu bien des contes de fées à votre sujet !\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06クロム\nAh bon ? C'est gentil de me dire cela.\nJe vous remercie.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nQu'est-ce que vous mangez, Chloé ?\nL'odeur est très agréable, mais je ne peux\npas en dire autant de l'aspect...\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nC'est un sandwich garni de lard, de tripes et\nde sang de vache. C'est très bon et nourrissant !\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロエ\nRegardez ce que j'ai déniché au marché !\nUn milkshake aux œufs de poisson et du\npain perdu au sang d'oiseau.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロム\nOh ! Eh bien, voilà qui est... surprenant.\nCela me rappelle le genre de plats qu'un\nde mes amis avait essayé de cuisiner.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nC'est tellement bon que j'ai de la peine à me\nretenir de glousser de plaisir. Si vous voulez\ny goûter, je partagerai volontiers avec vous.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロム\nSouvent, je regrette de ne pas pouvoir manger.\nMais aujourd'hui, j'avoue éprouver un réel\nsoulagement à être un Emblème.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nLe lien de parenté qui vous unit à Marth\nle Roi-Héros fait de vous un adversaire\nde grande valeur. Livrons-nous un duel.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06クロム\nAvec plaisir, j'ai hâte de voir de quoi est capable\nle prince héritier d'une puissante nation.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ai beau être au premier rang dans l'ordre de\nsuccession, il m'arrive d'être parfois en proie\nau doute. Cela vous est-il déjà arrivé aussi ?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06クロム\nOui, même si l'anxiété d'être appelé à régner\nme paraît insignifiante au regard de la douleur\nque m'a infligée la perte de ma sœur.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVous évoquez avec tant d'insouciance votre\npassé... Les contraintes de votre ascendance\nroyale ne vous pesaient-elles donc jamais ?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06クロム\nBien sûr que si. Mais le temps que j'ai passé\nauprès des Veilleurs m'a ouvert les yeux.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06クロム\nLa liberté n'est qu'une vue de l'esprit.\nSi le doute vous étreint, essayez donc\nd'examiner les choses sous un autre angle.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est un point de vue intéressant.\nMa foi, vous avez peut-être raison.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nMon rêve est de devenir un puissant chevalier !\nUne véritable légende ! Je suis ravi de pouvoir\nme battre à vos côtés !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06クロム\nHa ha ! Vous me rappelez mon neveu. Eh bien,\nœuvrons ensemble à réaliser votre rêve, alors.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVotre façon de combattre est impressionnante.\nOù avez-vous donc appris ces techniques ?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nJe passais dix heures par jour à m'entraîner\ndans mon village natal, au milieu des alpagas,\npour m'efforcer de devenir un chevalier.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アンバー\nTout me sourit depuis que vous m'avez fait un\ncompliment sur ma façon de combattre. Je ne\ntarderai plus à devenir un chevalier légendaire.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nJe ne suis peut-être qu'un roturier, mais j'en ai\nappris suffisamment auprès du prince Diamant\net de vous-même pour y parvenir !\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06クロム\nJe suis vos exploits d'un œil attentif.\nVous pourriez rivaliser avec bien des\nchevaliers aguerris.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06クロム\nJe continuerai à vous assister de toutes\nmes forces pour que vous conserviez cette\npugnacité jusqu'à devenir une légende.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nLes missions que vous accomplissiez en tant\nque garde semblent similaires à celles que\nje menais à la tête d'une troupe de volontaires.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai encore beaucoup à apprendre pour être\nà la hauteur de vos Veilleurs. C'était surtout\npour m'occuper.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAccepteriez-vous de me parler de votre\nmonde ? J'aimerais m'en inspirer pour écrire\nun nouveau roman.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x08\x06クロム\nJe pourrais vous parler de la Sainte-Reine\nqui m'a précédé. Pour moi, c'était avant tout\nma gentille grande sœur.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIl paraît que vous disposez d'un immense\npouvoir qui vous permet de détruire n'importe\nquel mur.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06クロム\nEn fait, ce n'est pas mon intention de détruire\ndes murs. Il s'avère simplement que j'en\ndémolis souvent quand je m'entraîne.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nTout ce qui compte, c'est le résultat. Vous ne\nvoudriez pas me donner un coup de main pour\nextraire quelques gemmes ?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06クロム\nMais avec plaisir. Faisons également appel à\nDaraen. Il saura sûrement comment en récolter\nun maximum.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nMalgré votre talent, vous vous effacez toujours\ndevant les autres. Auriez-vous plus confiance\nen vous si je vous faisais des compliments ?\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nQuoi ?! Je chercherais à disparaître sous terre\nsi vous deviez me féliciter sans arrêt ! Je préfère\nme contenter de cette bonne intention, merci.\x0E\x04\x00\x00
