MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nGregory, comment vas-tu ? Est-ce que\ntu as l'impression de t'habituer à ce monde ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nC'est probablement à cause de ton grand âge.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nEh ben ! Tu te venges, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nHé hé... Allons, je rigole !\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Je sais très bien pourquoi il t'a désigné second.\nTu te bats avec tant de courage pour protéger\ntes amis...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nTu parles, je n'ai fait que fuir. Et parfois je\nme demande si j'ai vraiment arrêté.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nMais qu'est-ce que tu racontes ?\nC'est complètement absurde !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\nQuoi, qu'est-ce que j'ai dit de mal ?\nT'as l'air bien sérieuse, tout à coup.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nMauvier nous a certes poussés à faire ce choix,\nmais c'est quand même nous qui avons décidé\nde perpétuer son œuvre, tous les trois.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Ce n'est pas pour toi un moyen de fuir.\nTu es mon second et je t'ordonne de\ncroire en toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nグレゴリー\nSi tu veux, ouais.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEst-ce que je peux te raconter une histoire\nassez ancienne ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nÇa dépend. Elle est ancienne du genre\nà dormir debout ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nElle date d'avant ton arrivée parmi nous.\nÀ ce moment-là, le Dragon divin vivait encore.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nAh oui, on peut dire que ça remonte.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'étais en mission de repérage à Port-Givre.\nC'est alors que j'ai vu quelques Aberrations.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	J'étais toute seule, mais elles constituaient une\nmenace, alors je les ai attaquées. Avec le recul,\nc'était complètement irresponsable.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Elles ont pris le dessus, et je ne pouvais\nplus m'enfuir. J'ai compris que je vivais\nprobablement mes derniers instants.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	C'est alors que quelqu'un est arrivé de nulle\npart et s'est mis à se battre pour me protéger.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nTu parles de...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nJe me souviens de ce qu'il m'a dit.\n« Dans ces cas-là, on fuit. Comment\ntu vas faire, une fois blessée ? »\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nC'est vrai que j'ai dit ça, tiens. Ça remonte\nà si longtemps que j'avais complètement oublié.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nTu as beau manquer d'assurance, ça ne t'a\npas empêché de risquer ta vie pour me sauver.\nEt aujourd'hui encore, je ne le comprends pas. \x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nJe sais pas non plus... Quand je t'ai aperçue\nlà-bas, je ne pouvais pas me débarrasser de\nl'idée que je devais essayer de te sauver.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Quand j'étais plus jeune, j'étais entouré\nde gens qui m'ont blessé. Et jamais personne\nn'est venu m'aider.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	J'avais beau prier que quelqu'un vienne\nme sauver, jamais personne n'a répondu à\nmes prières. Et, connaissant cette douleur...\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Il était pour moi impensable de ne pas\nessayer de t'aider.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'étais vraiment soulagée. Tu étais comme\nun rayon de soleil perçant le nuage de\nmon désespoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nÀ ce point ? Enfin, je veux dire... Je suis bien\ncontent de t'entendre dire ça...\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Mais au moment où je me précipitais à ton\nsecours, je ne pensais pas qu'on allait gagner.\nJe me suis dit qu'on allait fuir tous les deux.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nC'est quand même grâce à toi si je m'en\nsuis sortie vivante.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Et surtout... Je savais que j'avais trouvé un\nami qui me soutiendrait.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	C'est pour cette raison que je t'ai\nimmédiatement proposé de venir\nte battre avec nous à Lythos.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Hé hé... Cette proposition t'a vraiment effrayé.\nTu as paniqué et tenté à maintes reprises de\nla refuser.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nグレゴリー\nHa ha... Mais toi, tu n'as pas accepté mon refus.\nQuand tu veux quelque chose, tu l'obtiens.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Je t'avoue que j'étais surpris que tu veuilles\nme parler. T'avais aucune idée de qui j'étais.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nTu t'étais précipité dans une situation\ndangereuse pour me sauver. Comment\naurais-je pu me méfier de toi ?\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Au contraire, j'étais remplie d'espoir à l'idée\nque tu risques ta vie pour une inconnue.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nグレゴリー\nAlors comme ça, le seul jour où j'ai montré\nune once de courage a marqué le début\nd'une grande histoire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cセレスティア\nExactement. Est-ce que tu comprends,\nà présent, que tu ne fuis pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nZelestia... tu dis que les Quatre Zéphyrs sont\nta famille. Qu'est-ce que t'entends par là,\nau juste ?\x0E\x04\x02\x00
MID_RELIANCE_A_#002	Le mot « famille » a une connotation détestable\npour moi, et je pensais que c'était notre cas\nà tous les quatre.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nTu as raison. Nous avons tous subi des\npertes traumatisantes, avant de nous connaître.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	J'ai perdu les dragons mages, tu as perdu\nton foyer et Madeline a perdu ses parents.\nQuant à Mauvier, il a perdu... sa maîtresse.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nJe ne l'ai entendu parler qu'une seule et\nunique fois. Il a dit qu'il regrettait de ne pas\navoir pu la protéger.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Et qu'elle serait morte bien trop tôt, à cause\nde lui, au cours d'une bataille inutile.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nNous avons tous notre part de chagrin à\nporter. Ce fardeau est toutefois moins lourd\nsi nous avons un foyer où nous réfugier.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Et tous les quatre, nous en étions démunis\nJe pense que c'est pour cette raison que\nMauvier a formé les Quatre Zéphyrs.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nグレゴリー\nPrésenté ainsi, ça a du sens. Mais une\nfamille, c'est quand même autre chose, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nJe pourrais être d'accord. Les Quatre Zéphyrs\nétaient des amis et des alliés, pas une famille\nau sens propre.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Néanmoins, nous avons passé tant de temps\nensemble, à parler et à rire, que j'ai fini par me\nrendre compte que nous comblions un manque.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Nous nous sommes soutenus mutuellement\ncomme personne d'autre ne pourrait le faire.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Cette manière dont nous nous soutenions,\non ne peut l'attendre de ses amis. Non, cela\ndemande une confiance très profonde.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nOui, j'imagine que ça nous rapproche\nd'une famille...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nC'est en tout cas ce que je crois.\nC'est pour cette raison que nous devons\nfaire attention les uns aux autres.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Les Quatre Zéphyrs forment une famille. Si l'un\nd'entre nous meurt, les autres doivent continuer\nà protéger ce que nous avons construit.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Et ce jusqu'au dernier d'entre nous.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nグレゴリー\nEn même temps, vu que tu es un dragon mage,\nt'as quand même de grandes chances pour que\nla dernière, ce soit toi...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nグレゴリー\nRien du tout. Oublie.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Bon, maintenant qu'on se voit officiellement\ncomme une famille, qui remplit quel rôle ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis la mère. Mauvier était l'aîné,\ntoi, le cadet, et Madeline est la benjamine.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nHé hé. C'est parfait ! Enfin... pourquoi je suis\nle cadet, d'abord ? Et ensuite, où est le père ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nTu préférerais être le père ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nグレゴリー\nHa ! Pas du tout, non.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Et d'ailleurs, tu serais pas plutôt la sœur aînée\nque la mère ? Tu fais beaucoup trop jeune,\ntu sais...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nCette flatterie me va droit au cœur, ha ha.\nMais... je vous aime tous comme une mère.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	C'est pour ça que parfois, tu te conduis avec\nmoi comme un enfant gâté. Allons, n'essaie\npas de le cacher.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Ha ha, tu vois comme on peut plaisanter l'un\navec l'autre ? Ne dirais-tu pas qu'une famille\nferait de même ?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nOuais, je le reconnais. En fait, je suis\nassez soulagé que tu aies verbalisé\nce que je ressentais. \x0E\x04\x02\x00
MID_RELIANCE_A_#031	Les Quatre Zéphyrs forment à jamais une\nfamille, un foyer dans lequel nous pourrons\ntoujours nous réfugier.\x0E\x04\x00\x00
