MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\nBravo, mon grand ! Ce n'est pas tous les jours\nqu'on célèbre un événement comme celui-là !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nBon, d'accord, vous m'avez percée à jour.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nMais cette journée sera un jour l'anniversaire\nde notre première rencontre ! Vous ne voulez\npas vous offrir quelques fruits pour fêter ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nJe vous les fais à moitié prix, pour la peine !\nVous n'allez pas marchander avec une\npetite fille sans défense !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06モーヴ\nTa moralité est douteuse, mais j'avoue que\nta fibre commerçante m'impressionne.\nAllons, je vais te prendre ces fruits.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nYoupi ! Encore une vente à mon actif !\nC'était un plaisir de faire affaire avec vous !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nLes fruits que je t'ai achetés l'autre jour\nétaient succulents, Anna.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nAnna ?! C'est « Mademoiselle Anna », je vous\nferai dire ! Parlez-moi correctement ou bien\ndébarrassez le plancher !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nAccepterais-tu de me vendre d'autres fruits,\nMademoiselle Anna ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nSans problème ! Laissez-moi juste une minute\npour dire ma prière.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nTa prière ? J'ignorais que tu étais si pieuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nC'est parce que je ne le suis pas du tout !\nMais il m'arrive de prier, de temps en temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nJ'ai peur de ne pas te suivre.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\nJe ne sais pas trop comment expliquer... Je vais\nfaire ma prière, vous n'avez qu'à m'observer.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nTrès bien. Fais, je t'en prie.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nHum hum.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\nS'il vous plaît, faites que mes ventes crèvent\nle plafond aujourd'hui encore.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nDonnez-moi des clients satisfaits, que je\nrendrai heureux au moins pour un instant.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nEt faites qu'ils pensent à moi la prochaine fois\nqu'il leur faudra quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nÇa devrait suffire ! Voilà, je prie toujours pour\nce genre de choses.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nEh ben quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\nJ'avoue que je te prenais pour une\narnaqueuse à la petite semaine.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nJ'étais loin d'imaginer que tu priais avec\ntant de passion.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nJe t'ai mal jugée, Mademoiselle Anna, et je\nte présente mes excuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nBah, c'est pas la peine ! Voyons plutôt ce qui\nvous tenterait, comme fruits !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\nVous voilà, Mauvier ! Alors, vous allez m'acheter\nquelque chose, oui ou non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nQu'est-ce qui vous arrive ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nJ'étais en train de prier.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06アンナ\nDe prier ? De prier qui ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nJe l'ignore. Personne ? Je prie, c'est tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nTa prière de l'autre jour m'a grandement\nintrigué, et je souhaitais m'y essayer moi-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nPour de vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nJe n'aurais jamais cru que la prière puisse\nprovoquer de telles émotions.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nC'est pas trop votre truc, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nJ'ai longtemps été un disciple du Dragon déchu.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nJour après jour, je m'adonnais à la prière, mais\nsans rien ressentir du tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nOh. Donc si, vous savez prier, sauf que\nvous le faites mécaniquement.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nC'est tout à fait ça. Mes parents étaient de\nfervents adorateurs du Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nMais ma famille a été emportée par une\népidémie. Leurs prières ne les ont pas sauvés.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nPour ma part, et malgré le fait que je priais,\nje n'ai jamais bien su en quoi je croyais.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nTon exemple m'a appris que la prière ne\nse limite pas à l'adoration divine. Elle peut\nconsister à souhaiter le bien d'autrui.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nC'est ça, c'est comme ça que je la vois, moi\naussi. Ça fait plaisir de tomber sur quelqu'un\nqui comprend !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nJe te sais gré de cet enseignement.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nOh là là, détendez-vous, un peu ! Et alors,\nvous avez prié pour quoi, vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nJ'ai prié pour une personne que je serais prêt\nà protéger au péril de ma vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nEh ben, c'est drôlement gentil. J'aimerais bien\nque quelqu'un prie pour moi de cette façon,\nun jour !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nJ'ai prié pour toi aussi, Mademoiselle Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nHein ? C'est vrai ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nPour que tu conserves toujours la santé, et que\ntu continues à nous enchanter de ton sourire\nen vendant tes articles.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nHa ha, très bien !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nJ'ai justement de quoi vous remercier pour vos\nprières, figurez-vous. Vous avez aimé les fruits\nde l'autre fois, je crois ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nEn effet... Mais je tiens à te les payer !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nPas la peine, c'est la maison qui régale.\nDorénavant, ce jour sera la date anniversaire de\nla fois où vous m'avez émue, et ça se fête !\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06アンナ\nAlors acceptez mon cadeau et filez d'ici avant\nque je change d'avis !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06モーヴ\nTrès bien, je te remercie.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06モーヴ\nMais pour célébrer l'événement comme il se\ndoit, je propose que nous partagions ces fruits.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06アンナ\nMerveilleux ! Ils coûtent tellement cher que\nl'occasion se présente pas tous les jours !\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06モーヴ\nJe m'en doutais. Allons, mangeons donc !\nEt discutons encore de prières, si tu veux bien.\x0E\x04\x00\x00
