MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08リュール\nCet endroit a quelque chose... d'anormal.\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x1A\nヴァンドレ\x0CStrike\n\x0E\x03\x02\x0C\nヴァンドレ\nEn garde, Messire Sigurd. Cette frappe est\npour Sa Majesté Lumera !\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nBeau travail. Vous avez montré de grandes\ncapacités au cours de cette épreuve.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nJe ne l'ai pas fait seul\x0E\x0A\x00\x06
MID_ED1_#003	\x0E\x03\x02\x0A\x08シグルド\nC'est vrai. Amis, alliés, famille... Les personnes\navec qui vous forgez des liens vous apportent\nde la force.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08シグルド\nJe dois vous poser une question. Désirez-vous\nvenger la mort de votre mère, Lumera ?\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nJe...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nQuand je l'ai perdue, j'étais triste... et en colère.\nJ'ai cru ne jamais pouvoir pardonner à celle qui\nme l'avait prise.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nVous voulez savoir si je veux une vengeance.\nEn fait, je ne sais plus...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08シグルド\nJ'ai perdu de nombreux amis, et même des\nmembres de ma famille, pendant des combats.\nPourtant, je n'en veux à personne.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08シグルド\nLe chagrin ne m'est pas inconnu. Mais je\nsais également qu'il n'y a pas de vérité unique.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08シグルド\nC'est l'enseignement que j'ai transmis à mon\nfils, Seliph, pour l'aider dans son futur.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nVotre fils ? Vous avez eu un enfant\navec Deirdre ?\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08シグルド\nOui. À présent, écoutez-moi. Vous portez en vous\nune noble et fière conviction.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08シグルド\nVous savez que le chagrin, la justice et la vérité\nsont des valeurs subjectives. Pourrez-vous\ntoujours vous battre avec conviction ?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nBien sûr. Quand cette guerre aura pris fin,\nje veillerai à ce que le monde reste en paix.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08シグルド\nC'est la réponse parfaite, mon ami\x0E\x0A\x00\x06
MID_ED1_#016	\x0E\x03\x02\x0A\x08シグルド\nTant que notre combat ne sera pas achevé,\nje resterai à vos côtés pour veiller sur vous.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
