MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nSi j'en crois ce que l'on m'a rapporté, vous\nêtes aussi généreuse que vaillante au combat.\nJe suis impatient à l'idée de vous assister, Nel.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nJe n'y suis pas parvenu seul. Force est de\nreconnaître que des amitiés telles que la nôtre\npeuvent véritablement faire la différence.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLa lueur que j'aperçois dans vos yeux ne\ntrompe pas, vous êtes une combattante\nau cœur vaillant et juste.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nVenant d'un chevalier de votre stature, Sigurd,\nce compliment est un véritable honneur. Je ferai\ntout mon possible pour ne point vous décevoir.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIl m'est arrivé d'être incapable de protéger mes\namis par le passé, et je refuse de perdre encore\nun être cher de cette manière.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08シグルド\nPour autant, cette blessure ne vous empêche\npas d'aller toujours de l'avant. Je sais que cette\npersonne veille sur vous, encore aujourd'hui.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nLa détermination que montrent les Quatre\nZéphyrs est une grande source d'inspiration.\nJ'aurais beaucoup à apprendre de vous.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nAprès avoir été fondés par Mauvier, les Quatre\nZéphyrs sont rapidement devenus une famille.\nIls sont ce que j'ai de plus précieux au monde.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nNous avons noué des liens indéfectibles. Même\nsi l'un des nôtres venait à périr, nous resterions\nà jamais les Quatre Zéphyrs.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08シグルド\nIl en va de même pour les affinités qui sont nées\nentre nous, et je suis fier de combattre à vos\ncôtés. Je ferai tout pour instaurer la paix.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nUn peu plus tôt, je vous ai vu admirer une\neffigie d'animal, fort charmante au demeurant.\nUn présent pour quelque connaissance ?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nHm, non, c'est pour moi. J'aime tout ce qui est\nmignon. Comme votre cheval, par exemple !\nCet équidé est à croquer, Sigurd.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJe pense que, dans certains cas, il est aussi\nimportant de fuir que de combattre. Mieux\nvaut survivre que périr, voilà ce que je me dis.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08シグルド\nUne stratégie non dénuée de sagesse... mais qui\nne peut s'appliquer à toute situation. La guerre\nest impitoyable, vous ne le savez que trop bien.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nVous êtes l'incarnation de la candeur et de\nl'honnêteté, des qualités qui sont souvent\nl'expression d'une enfance bienheureuse.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nPourtant... c'est loin d'être le cas. Mon enfance\nétait tout sauf idyllique, croyez-moi.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nTout ce que j'ai aujourd'hui, je le dois aux\nQuatre Zéphyrs... et aux véritables héros dont\nj'ai croisé la route, comme vous.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08シグルド\nVos paroles m'honorent, Gregory. Puissent nos\ndestins rester liés de la sorte.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nOn m'a relaté que vous aviez défendu votre ville\nardemment, et entièrement seule. Il est bon de\ncompter chevalier si redoutable dans nos rangs.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nUn chevalier se doit de protéger son peuple,\nc'est là son devoir ! Je jure de me montrer\ndigne de vos louanges.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nVotre détermination fait honneur au titre de\nchevalier. Elle transparaît dans votre\ncomportement et, plus encore, au combat.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nC'est un grand honneur de recevoir un tel\ncompliment de votre part. J'aspire à devenir\nun chevalier de même stature que mes parents.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nVos parents étaient assurément de valeureux\nchevaliers. Avez-vous toujours nourri l'ambition\nde marcher dans leurs pas ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nOui. J'avais la plus grande admiration pour eux,\net je voulais honorer leur mémoire en devenant\nmoi-même un grand chevalier.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08シグルド\nVous êtes un chevalier exceptionnel et je vous\nfais pleinement confiance pour garder mes\narrières. Mettons fin à cette guerre ensemble.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nAvec joie ! Par les liens que nous avons noués,\nnous posons les fondations d'un avenir meilleur.\x0E\x04\x00\x00
