MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nEt donc vous ne m'aimez pas, Princesse Ivy ?\nMême si chacun est en droit d'avoir ses\npréférences, cette pensée m'attriste...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nMais attendez ! Vous ne m'aimez certes pas,\nmais moi je vous aime bien assez pour deux.\nAlors le problème est réglé !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nHa ha ha !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nTu es vraiment étonnant, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06カゲツ\nAh ! Le voilà, votre sourire !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nVoir votre visage s'illuminer ainsi\ncompense largement votre antipathie.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrincesse Ivy ! J'ai grandi dans les Sables\nd'Opale.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nD'accord... Pourquoi ressens-tu le besoin\nde me le dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nVous avez dit qu'il vous déplaisait de ne pas\narriver à me cerner.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nJ'ai donc décidé de tout vous dire à mon sujet,\nde sorte que cette réserve disparaisse.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nJ'ai déjà entendu pire idée.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nQuand vous me connaîtrez mieux, vous ne\nserez plus la princesse et moi le vassal : vous\nserez mon amie comme je serai le vôtre !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nOn devrait au moins essayer !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nEuh... Ha ha...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nQue vous dire d'autre ? J'ai un petit frère\net une petite sœur, tous deux très mignons.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nMon père est un excellent bretteur. Ma mère\na d'étranges pouvoirs dont j'ai dû hériter.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nJ'aime profondément ma famille, mais j'ai\nlongtemps rêvé d'explorer le monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nC'est pourquoi un jour, je leur ai laissé une\nlettre leur expliquant ma décision de partir.\nEt je n'ai pas terminé mon périple.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nOh non ! Aurais-je commis un impair ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nQuel idiot je fais ! Oser songer que le récit\nde ma vie vous intéresserait !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nJ'implore votre pardon, Princesse Ivy. J'aurais\ndû remarquer plus tôt que ce n'était pas ce que\nvous désiriez.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nTu te trompes. En réalité... tu m'as fait\ngrand plaisir.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nJ'ignorais que tu tenais à ce point à ce que\nnous soyons amis.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アイビー\nJ'en suis flattée, et je te remercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nAh... Vous êtes trop aimable !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nKagetsu, ce n'est pas que je ne t'apprécie pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nJ'ai dit que j'avais du mal à te cerner.\nCela ne veut pas dire que je n'apprécie\npas ta personne.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nD'ailleurs, après cette journée, j'oserais même\ndire que j'ai une meilleure opinion de toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06カゲツ\nC'est merveilleux ! Il n'est pas donc pas\nimpossible que nous devenions prochainement\namis !\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08アイビー\nJ'ai déjà entendu pire idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nL'heure est venue, Princesse Ivy !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nL'heure pour le navire de notre amitié d'enfin\nlarguer les amarres pour s'élancer vers le large !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nHmm... La sortie du port semble compromise.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nJ'ai dû me tromper, ce n'est peut-être pas\nencore l'heure du grand départ.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nCe n'est pas ça, Kagetsu...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nOh ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nPour tout te dire, je n'ai que peu d'amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nQuand j'étais petite, les adultes trempaient\ntoujours dans quelque intrigue.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nJ'ai grandi dans l'idée que le monde\nentier fonctionnait comme eux.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nPar conséquent... Il m'a fallu bien du temps\npour parvenir à faire suffisamment confiance\nà quelqu'un pour lui offrir mon amitié.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nEn tant que princesse héritière, vos contacts\nse réduisaient à un certain type de personnes...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nJ'imagine que grandir dans un tel\nenvironnement a dû être très éprouvant.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nEn effet. C'est pour cela qu'au début,\nje te trouvais si déconcertant.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nQuand une personne me montre de l'amitié\nalors que je la connais à peine, la méfiance\nsurgit instinctivement.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nMais tu n'as jamais tenté de profiter de moi.\nTu ne poursuis aucun dessein caché.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nHa ha, ça non ! Je suis bien trop simple\npour intriguer !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アイビー\nJe n'ai commencé que très récemment à\ncomprendre ta... pureté.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nVoilà pourquoi je n'arrivais pas à te cerner.\nTu ne pouvais pas être aussi simple. Alors...\nqui étais-tu réellement ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nJe sais à présent que tu es exactement celui\nque tu prétends être. Et c'est là tout ton\ncharme.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nOh, vous êtes bien gentille !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アイビー\nEt voilà pourquoi, Kagetsu...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nJ'aimerais que nous soyons amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nOh, vraiment ? Merveilleux ! J'accepte avec\ngrand plaisir, Princesse Ivy !\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06カゲツ\nSoyons amis jusqu'à la fin des temps !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アイビー\nHm-hm ! Qu'il en soit ainsi.\x0E\x04\x00\x00
