MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nVous êtes d'un naturel si délicat et élégant,\nj'aurais beaucoup à apprendre de vous.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nCe doit être un frère exemplaire. Je me\ndemande si ma sœur a jamais eu des\nsentiments similaires à mon endroit.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nラファール\nVous est-il jamais arrivé d'en vouloir à votre\nfrère ? J'ai nourri de la haine envers ma sœur,\nun temps, mais cela appartient au passé.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nエイリーク\nMon frère avait le don détestable de jouer\navec mes nerfs, mais ça n'a jamais entamé\nl'amour que j'avais pour lui.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nエイリーク\nSi vous doutez des sentiments de Dame Nel\nà votre égard, vous devriez simplement lui\nparler. C'est votre sœur, après tout.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nNos querelles sont aujourd'hui oubliées, fort\nheureusement, mais je ne manquerai pas\nde vous demander conseil à l'avenir.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVous semblez être une personne réservée,\nEirika. Je pense qu'affirmer davantage votre\npersonnalité vous ferait le plus grand bien.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nエイリーク\nAffirmer ma personnalité ? Pourquoi cela ?\nTout ce qui compte à mes yeux, c'est vous\naider au mieux, vous et les autres.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJ'aimerais beaucoup saluer votre frère, mais\nil n'apparaît jamais que dans le feu du combat.\nPourriez-vous me parler un peu de lui ?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0C\nエイリーク\nEphraim est fort et bienveillant, mais\nj'aimerais beaucoup qu'il cesse de me\nconsidérer comme une enfant.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nÀ mes yeux, mes alliés sont comme ma\npropre famille. Je ne reculerai devant rien\npour les protéger.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nエイリーク\nJ'ai les mêmes sentiments à l'égard de mes\namis, et je suis convaincue que cela nous\nrend plus fortes.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0C\nエイリーク\nJe jetterai jusqu'à mes dernières forces dans\nla bataille pour protéger les vôtres, Zelestia.\nVous pouvez vous reposer entièrement sur moi.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nJe vous en remercie, Eirika. Sachez que je\nvous protégerai comme un membre de ma\npropre famille, moi aussi.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nVos vêtements sont pour le moins étranges,\nGregory. Est-ce une tenue traditionnelle de\nvotre terre natale ?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh non, rien d'aussi cérémonieux. Si je\nm'habille comme ça, c'est uniquement\npour intimider l'ennemi.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nJe doute que vous ayez besoin de tels\nartifices pour dissuader quiconque de\ns'en prendre à vous. Vous êtes redoutable.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nMerci, mais même si vous aviez raison, je peux\nvous garantir que personne n'aurait peur de moi\nsi je portais les vêtements que j'aime.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVous me dites redoutable, Eirika, mais je pense\nque vous êtes trop gentille avec moi. Je suis loin\nd'être parmi les plus forts...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nエイリーク\nJe n'y crois pas une seule seconde. Si vous\nétiez si faible, n'auriez-vous pas cessé de\ncombattre depuis longtemps ?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nエイリーク\nS'enfuir, c'est aussi s'octroyer une chance\nde survivre jusqu'au prochain combat. C'est\nune force dont je pourrais m'inspirer.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nVous me flattez, et j'ai peur de commettre des\nerreurs stupides si je deviens trop confiant.\nMais merci quand même, c'est gentil.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nDame Eirika, vous êtes une princesse, n'est-ce\npas ? J'espère en apprendre beaucoup sur le\ndevoir d'un chevalier à vos côtés !\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nエイリーク\nJe vous en prie, ne soyez pas si protocolaire.\nTout ce que je souhaite, c'est combattre à vos\ncôtés, sur un pied d'égalité.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nJe sais qu'un chevalier se doit de rester\ntoujours vigilant, mais votre bonté a souvent\nle don de me décontenancer.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nエイリーク\nMa force physique laisse peut-être à désirer,\nmais je suis telle que je suis. Après tout, le plus\nimportant est de rester fidèle à soi-même.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nLes altesses royales peuvent être si différentes.\nCertaines sont dignes et solennelles, d'autres\nbienveillantes, comme vous et le Dragon divin.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nJ'ai le plus grand mal à trouver ma place, en\ntant que chevalier. Je dois gagner la confiance\nde celui ou celle que je sers, sans distinction.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nエイリーク\nNe vous posez pas tant de questions, et tâchez\nde suivre une personne que vous appréciez et\nqui vous apprécie en retour.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nエイリーク\nSi quelqu'un a bien voulu vous accorder sa\nconfiance, d'autres feront de même. C'est\nainsi qu'on gagne de nouveaux alliés.\x0E\x04\x00\x00
