MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nVous avez été impressionnante, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nAvec un peu de recul, je pense que si vous\navez menti, c'est avant tout parce que nous\nne nous connaissons pas très bien, vous et moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nEt cela doit changer. Que diriez-vous de me\nparler un peu de vous, Yunaka ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nOuh là, me voilà sur la sellette...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nSi vous ne voulez rien me dire, je n'insisterai\npas, je vous assure.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nTrès bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nAvant de me joindre à vous, disons que je me\nlaissais porter. Je cherchais ma place dans ce\nmonde.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nJ'ai tourné le dos à la personne que j'étais alors.\nEn tout cas, c'est ce que je voulais croire.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nVous n'avez pas l'air de l'apprécier beaucoup,\ncette personne-là.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nOh si, elle ne me dérangeait pas. C'est plutôt\nles autres qu'elle dérangeait. C'est pourquoi\nj'ai dû lui dire au revoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nMais je suis contente de la personne que je suis\ndevenue. Sans compter que depuis que je vous\nconnais, je m'amuse comme une petite folle !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nHa ha, vous m'en voyez ravi\x0E\x0A\x00\x06
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nJ'ai apprécié cette conversation, Yunaka.\nNous devrions faire ça plus souvent,\nqu'en dites-vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nMarché conclu !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08リュール\nDe quoi voulez-vous parler aujourd'hui,\nYunaka ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nC'est pas facile pour moi, mais j'aimerais vous\nexpliquer pourquoi j'ai du mal à dire la vérité.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nAlors voilà, je crache le morceau sans réfléchir,\nd'accord ? En fait, je...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nEn fait, je... Avant, j'étais...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nÇa ira comme ça, vous n'avez pas à m'en parler.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nMais je...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nJe vois bien à quel point il vous en coûte\nd'aborder ce sujet. Il suffit de vous regarder.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nJe vous ai bien dit l'autre fois que je\nn'insisterais pas. C'est aussi simple que ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nCela ne vous dérange vraiment pas que je vous\ncache des choses ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nNon. Moi aussi, j'ai des secrets, vous savez.\nIl est inutile de vous torturer pour ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nJe ne veux entendre que ce que vous vous\nsentez prête à me dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nJe vous remercie. Du fond du cœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nCe que je suis prête à vous dire, c'est que j'ai\nbeaucoup de chance d'avoir un\x0E\x0A\x00\x06
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nJe sens que j'ai enfin trouvé ma place dans\nle monde. Celle que je cherchais, vous vous\nrappelez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nC'est à vous seul\x0E\x0A\x00\x06
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nC'est très gentil, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nJe vous dirai tout ce que je peux sur mon\npassé, mais l'important, c'est le présent.\nVous et moi, ici, aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nNous commençons à peine à nous découvrir\nl'un\x0E\x0A\x00\x06
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nUne aventure... Ça me plaît. Je serai heureu\x0E\x0A\x00\x0A\x02x\x04se\nde parcourir le reste du chemin à vos côtés,\nYunaka.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nOK, Votre Divinité. Je suis prête à cracher\nle morceau.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ユナカ\nVous avez promis de ne pas m'enquiquiner avec\nmon passé tant que ça ne serait pas le cas...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06ユナカ\nMais je ne serai jamais davantage prête que je\nne le suis déjà, et vous avez le droit de savoir.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nSi c'est vraiment ce que vous voulez,\nje vous écoute.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06ユナカ\nOK... On y va.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06ユナカ\nJe m'appelais Larimar. J'ai changé de nom\npour tirer un trait sur mon passé d'assassin.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nContinuez.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06ユナカ\nJe n'ai jamais été très attachée à Larimar...\nou à ses parents, qui l'ont abandonnée quand\nelle était enfant.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06ユナカ\nMais elle est mon passé. Et elle sera donc\ntoujours une part de moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ユナカ\nAutrement dit, même si tout ça est derrière moi,\nvous ne connaîtrez jamais celle que je suis\nvraiment sans la connaître, elle.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nVous avez fait preuve de courage en venant\nme parler.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nEt je tiens à vous connaître vraiment. Je vous\nsuis reconnaissant\x0E\x0A\x00\x06
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ユナカ\nMerci, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nEt comme vous m'avez confié votre secret,\nYunaka, c'est à moi de vous confier le mien.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06ユナカ\nJ'ignorais que vous en aviez un.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nQuand vous m'avez dit être heureuse de\ncombattre à mes côtés, j'ai failli sauter de joie.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ユナカ\nPourquoi ça ?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nParce que j'ai fini par me rendre compte que\nje ne pouvais pas imaginer ma vie sans vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nVous êtes la personne la plus importante de\nmon existence. Je vous veux toujours à mes\ncôtés.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nEh bien voilà, c'est mon secret.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ユナカ\nVotre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nSi vous l'acceptez, j'aimerais vous remettre\nl'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ユナカ\nMais cet anneau vous est précieux...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nVous m'êtes précieuse. C'est la raison pour\nlaquelle je veux que vous l'ayez.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nQu'il s'agisse de l'ancienne vous ou de celle\nque vous êtes devenue, je vous chéris toutes\nles deux.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ユナカ\nVous êtes vraiment génial\x0E\x0A\x00\x06
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06ユナカ\nJe veux tout savoir à votre sujet. Je veux vous\naccepter tel\x0E\x0A\x00\x08
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06ユナカ\nPlus de mensonges ni de secrets. Je veux\npasser le reste de ma vie en votre compagnie.\nC'est ce que je désire vraiment.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nJe partage ce désir. Soyons sincères l'un\x0E\x0A\x00\x06
MID_RELIANCE_S_#031	\x0E\x03\x02\x08\x06ユナカ\nAvec joie, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06ユナカ\nUn nouveau chapitre s'ouvre aujourd'hui.\nJ'ai hâte de voir de quoi notre futur sera fait.\x0E\x04\x00\x00
