MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nPrincesse Céline, je peux vous demander\nquelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nEn tant que princesse de Firene, je fais le\nserment de retrouver ces lieux qui peuplent\nvotre mémoire.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06モーヴ\nMerci, Princesse Céline.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nCelui-ci vous évoque-t-il quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nHm... Non. Ça ne me rappelle rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nEt qu'en est-il de celui-là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nNon. Je ne reconnais pas davantage ce décor.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nMince. Nous avons passé en revue tous les\ntableaux des célèbres paysages de Firene\nque je possède.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nEt aucun d'entre eux ne dépeint les lieux\ndont vous chérissez la mémoire.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nJe suis désolé. Vous avez consacré du temps\nà rassembler ces tableaux pour moi, mais aucun\nd'entre eux n'éveille le moindre souvenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nCet endroit présente-t-il une autre particularité,\nen dehors du paysage, dont vous pourriez vous\nrappeler ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nCela me revient, maintenant.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nDes tourtes. C'était ma mère qui les préparait.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nAvec mes parents, nous allions déjeuner sur\nl'herbe, juste sous l'arbre. Et nous contemplions\nle paysage.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nCes tourtes étaient divines !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi ! Voilà un souvenir délicieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nPardonnez-moi, je sais bien que cette histoire\nne contribue en rien à localiser cet endroit.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nNe vous en faites pas. En tout cas, il semble\nque c'était une époque heureuse pour vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nOh. Ça y est, je crois que j'ai compris.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nPendant tout ce temps...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nMauvier ? Vous portez-vous bien ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06モーヴ\nPrincesse Céline. Vous m'avez été\nd'une aide inestimable.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nJe dispose de toutes les informations dont\nj'ai besoin. Encore merci.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x02\x0A\x08セリーヌ\nAh, Mauvier, un instant !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セリーヌ\nJe me demande quelle mouche l'a piqué... ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMauvier, pourquoi avez-vous cessé de chercher\nces lieux que vous avez connus, enfant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nPrincesse Céline...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nJe suis désolé.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nJe ferais mieux de m'expliquer. Après tout,\nc'est à votre aide que je dois d'avoir résolu\nle dilemme que j'affrontais.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nJe me garderai bien d'insister, s'il s'agit d'un\nsujet sensible. Mais j'avoue être curieuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nN'ayez crainte. Voyez-vous, je ne doutais pas\nqu'avec votre aide, je retrouverais la colline\nde mon enfance.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nC'est alors que ça m'a frappé.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nSi mes souvenirs sont si précieux, la beauté\ndes lieux n'y est pour rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nCette colline et cet arbre solitaire m'ont marqué\ncar j'y ai vécu des instants de bonheur en\ncompagnie de ma famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAaah. Je vois.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nLe sourire de ma mère, la main de mon père qui\nvenait m'ébouriffer. Nos bavardages, nos éclats\nde rire, la joie de vivre que nous partagions.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nEt les tourtes, oh, j'en raffolais. Lors\nde ces déjeuners sur l'herbe, il n'y avait\nque du bonheur au menu.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nOh, Mauvier...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nJe m'aperçois aujourd'hui que je ne serais\nguère transporté à la vue de cette colline,\nsi je l'apercevais maintenant.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nMes parents ont quitté ce monde il y a bien\nlongtemps. Sans eux, cette colline n'est rien\nqu'un tas de terre.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nJe suggère que nous continuions à chercher\ncet endroit.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nExcusez-moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nVotre famille n'est peut-être plus là, mais\nje crois que nous passerions tous un bon\nmoment là-bas, avec vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nPrincesse Céline...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nVoilà qui est très généreux de votre part, et\nj'accepte volontiers. J'apprécie grandement\nvotre aide, ainsi que votre compagnie.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nCela n'est rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nRetrouvons cet endroit afin que vous y formiez\nd'autres souvenirs chaleureux avec vos amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nMerci, Princesse Céline.\x0E\x04\x00\x00
