MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, bonjour, Merrin !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nSans vouloir me vanter, ce coup de grâce\nen jetait.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nJe dois toutefois poursuivre l'entraînement.\nSur le champ de bataille, il n'est d'autre option\nque la perfection.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nYah !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nOh ! Mais qu'est-ce que...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nAAHH !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nOh non, Merrin ! Est-ce que vous allez bien ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nChloé ? Depuis combien de temps\nm'observez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nAssez longtemps, en fait.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nJ'aurais pu me manifester plus tôt,\nmais je ne voulais pas interrompre\nvotre entraînement.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\n... J'aurais aimé que vous ne me voyiez\npas ainsi, si... si godiche !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nJamais un chevalier de conte de fées\nne ferait d'aussi stupide erreur. Vous\ndevez être très déçue.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nOh non, vous vous êtes blessée au front.\nNous devrions aller le soigner.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nJe me sens vraiment pitoyable.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nCe n'était qu'une petite erreur.\nN'allez pas vous tourmenter pour si peu.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nQuand je pense à vous, je pense à tous\nvos efforts, et pas à une erreur commise\nune seule fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nPour moi, vous n'avez rien perdu de votre\nallure de preux chevalier de conte de fées.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nChloé... Merci.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nEt puis, n'ai-je pas dit que je vous soignerais ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nHa ha ! En effet. C'est néanmoins quelque peu\ndifférent d'un estomac maltraité.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nAu final, commettre des erreurs a peut-être\ndu bon, surtout si quelqu'un comme vous\ns'occupe de moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nMerrin, vous y arriverez !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nOui, je peux le faire !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nAH !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nHa ha ! J'ai réussi. J'ai exécuté ce coup\nde grâce à la perfection.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nC'était magnifique, Merrin !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nC'est à vous que je le dois, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nVous m'avez aidée à m'entraîner toute la\njournée, et nous voyons là les fruits de\nnotre diligence.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nJe vous suis profondément reconnaissante.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nÊtes-vous toutefois sûre de vouloir vous\nentraîner avec moi ? Je suis persuadée que\nles partenaires plus aptes ne manquent pas...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nNon, Chloé, pour rien au monde je ne\nm'entraînerais avec qui que ce soit d'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nMais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nPour être honnête, vous êtes une des rares\namies avec qui je peux être... une godiche.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nJe n'ai pas à me demander si vous seriez\ndéçue de me voir autrement qu'en irréprochable\nchevalier de conte de fées.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nEt pour cela, vous avez mon infinie\ngratitude.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nHa ha ! Qu'il en soit ainsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nVous savez que je ne suis pas la seule\nà vous admirer.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nQui donc pourriez-vous bien décevoir ?\nPeu importe s'il vous arrive de trébucher.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nTout le monde sait que vous avez la classe,\net quelques minuscules erreurs n'y changeront\nrien.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nEt surtout, tout le monde sait que\nvous avez le cœur d'un véritable chevalier.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nChloé, il faut que je vous dise...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nJ'ai tant de chance de vous avoir rencontrée.\nBattez-vous encore à mes côtés, j'en serais\nhonorée.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nCe serait un rêve devenu réalité, Merrin.\x0E\x04\x00\x00
