MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nHmm... Aah !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nCela n'est pas nécessaire, même si j'apprécie\nvotre offre. Je serais déjà honorée si vous vous\ncontentiez de me dire ce que vous en pensez.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nÀ moins bien sûr que cela ne vous intéresse pas,\nauquel cas nous ferons tous les deux comme si\ncette conversation n'avait jamais eu lieu.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リンデン\nAh ! Vous acceptez donc que je lise votre livre.\nJe vous en remercie, Jade !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAlors là, ma petite Jade ! Je dois dire que j'ai ri\nà m'en décrocher la mâchoire, comme on dit.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nDe toute évidence, votre plume fait des\nmerveilles dans le registre comique.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nQue d'éloges ! Merci, Messire Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nVos personnages sont tellement vivants... on\ns'attendrait presque à les voir sortir de la page !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nCombien d'entre eux sont donc basés sur des\npersonnes réelles ? Plusieurs m'ont fait penser\nà certains de nos amis communs...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nIl se peut que j'aie fait ici ou là quelque parallèle\navec des individus existant ou ayant existé.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\nVous avez l'œil pour repérer les choses, et du\ntalent pour saisir sur le papier vos observations.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nVotre roman est magnifique, vraiment. Merci\nencore d'avoir accepté de partager avec moi\nvotre passion.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nC'était avec plaisir ! Merci à vous de l'avoir lu.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nCette flamme littéraire brûle en moi aussi,\nà vrai dire. J'ai rédigé une chronique de\nmes jeunes années.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nAh, vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nMais oui. Je n'en ai pas parlé à beaucoup\nde gens.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nSi cela ne vous dérange pas de me le montrer,\nj'aimerais beaucoup lire ce que vous avez écrit.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nHo ho ho ! Formidable ! J'espérais bien que\nvous me le demanderiez.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nQuelle joie c'est pour moi d'avoir découvert\nun autre écrivain dans nos rangs... J'ai du mal\nà contenir mon émotion !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nSi vous en avez l'occasion et l'envie, nous\npourrons comparer la liste de nos œuvres\ncomiques préférées.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nOh oui ! Ce serait avec le plus grand plaisir !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nQuel heureux hasard de nous être rencontrés !\nMes vieux jours me paraissent d'un coup\ntellement plus lumineux !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nCe fut une agréable surprise pour moi, Jade !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nJe venais à peine de refermer votre précédent\nchapitre, et vous me présentiez déjà le suivant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nMa foi, à présent que vous lisez mes premières\nébauches, chaque passage de réécriture me\nsemble aller nettement plus vite.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nAh, bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ジェーデ\nAlors ? Qu'en pensez-vous ? Ne m'obligez pas\nà vous tirer les vers du nez. Je n'hésiterais pas\nà utiliser tous les moyens.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nC'était... magnifique.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nJ'ai lu ce chapitre avec encore plus de plaisir\nque le précédent.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAh, voilà qui fait plaisir à entendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nJ'apprécie en particulier ce nouveau personnage\nque l'on voit apparaître dans ce chapitre ! Vous\navez bien fait de l'introduire dans l'histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nIl rit, il pleure... Il semble si plein de vie ! Cela\npourrait bien devenir mon nouveau personnage\npréféré dans votre œuvre.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nJe dois admettre avoir ressenti une certaine...\nproximité avec lui.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nJe suis ravie de vous l'entendre dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nJ'espère que vous ne trouverez pas cela trop\nprésomptueux de ma part, mais... c'est de vous\nque je me suis inspirée pour ce personnage.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nAha, je m'en doutais ! C'est une merveilleuse\nsensation de vivre l'aventure aux côtés de son\nalter-ego de fiction.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リンデン\nEt je considère sa formidable joie de vivre\ncomme le plus grand des compliments.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nEncore une fois, je vous remercie de m'avoir\nlaissé lire votre merveilleux livre, Jade.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ジェーデ\nC'était un honneur pour moi, je vous assure.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nJe vais aller préparer quelques pâtisseries, pour\nvous remercier. Vous accepterez bien cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nDe brillants éloges, et en plus des pâtisseries\ntoutes chaudes ? Je dois rêver... je suis gâtée !\x0E\x04\x00\x00
