MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nAinsi, vous avez voyagé de par les mondes\ndans le seul but de venir en aide à de parfaits\ninconnus ? Vous êtes un personnage singulier.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nUne fois de plus, c'est une joie de vous\nrencontrer. Je me souviens avoir senti des\naffinités entre nous. Savez-vous pourquoi ?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nQui peut le dire ? Peut-être votre esprit\nvous joue-t-il des tours.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVous jouissez encore d'une force considérable,\nSoren, et mes pouvoirs de dragon mage font\npâle figure en comparaison. Je vous envie.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nVous ne devriez pas, je n'ai jamais demandé\nà avoir une telle force.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSoren, j'aimerais revenir sur notre\nconversation précédente...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nJe me suis montrée envieuse envers vous,\nalors que je vous connais à peine. Veuillez\nme pardonner, c'était indélicat de ma part.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nC'est sans conséquence. Et quand j'ai affirmé\nque je n'avais jamais souhaité cette force,\nje me voilais la face.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nC'est elle qui m'a permis de trouver la place\nqui me convient dans ce monde. Sans cela,\nc'est un vœu que jamais je n'aurais exaucé.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVous êtes un fin stratège, pas vrai ? Mettez\nmon nom dans la colonne des réservistes, avec\nceux qu'on appelle vraiment en dernier recours.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nSi vous prévoyez de déserter, je tâcherai\nau contraire de vous affecter à une position\ninterdisant toute possibilité de fuite.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nPourquoi cherchez-vous constamment\nà fuir ? Avez-vous des dettes auxquelles\nvous tentez d'échapper ?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nVous croyez que je suis endetté jusqu'au cou ?\nMais enfin ! Quelle drôle d'idée...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVous voulez pas vous promener un peu avec\nmoi ? Je suis sûr que vous avez besoin de\nchanger d'air de temps en temps, vous aussi.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nSans façon, merci.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nOh... Je vois. Eh bien, si jamais vous avez\nquelque chose sur le cœur, n'hésitez pas\nà venir m'en parler. Je suis là pour vous.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nNous n'avons absolument rien en commun,\nvous et moi, alors je vous saurais gré de\nm'épargner vos sollicitations inopportunes.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nマデリーン\nMessire Soren, auriez-vous un moment\nà me consacrer ? J'aimerais vous inviter à\nme rejoindre pour un duel d'entraînement !\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nFaut-il vraiment que vous vous adressiez\nà moi ? Vous avez certainement d'autres\ncamarades de jeu qui n'attendent que cela.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nVos attaques sont par trop prévisibles, c'est\ncomme si vous annonciez distinctement à\nl'ennemi de quel côté il doit esquiver.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nMalgré vos dehors froids et distants, je\nconstate que vous m'avez observée avec\nattention. Voilà qui est surprenant.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nVous devriez peut-être envisager autre\nchose que votre carrière de chevalier,\nne serait-ce qu'un temps.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nComment ? V-Voulez-vous dire que...\nVous pensez que je ne ferai jamais un\nbon chevalier ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nVous me rappelez une personne qui n'était\npas... destinée à cette vocation. Rien ne vous\noblige à forcer les choses.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nJe vous remercie pour vos conseils, mais je n'ai\nnullement l'intention d'outrepasser mes limites.\x0E\x04\x00\x00
