MID_TUT_CATEGORY_TITLE_Battle	Batailles
MID_TUT_BMAP_ENGAGE_ATTACK_1	Ces attaques disponibles uniquement une fois\npar fusion sont très puissantes.
MID_TUT_BMAP_ENGAGE_ATTACK_2	Par exemple, Adrénaline du guide inflige\nde lourds dégâts. Pour l'utiliser, choisissez\nAdrénaline du guide et une arme.
MID_TUT_BMAP_TERRAIN_TITLE	Effets de terrain
MID_TUT_BMAP_TERRAIN_0	Le type de terrain fournit divers effets\nau combat. Par exemple, il est plus difficile\nde toucher une unité placée dans un buisson.
MID_TUT_BMAP_TERRAIN_1	Les unités au sol ne peuvent pas se déplacer\naussi loin que d'habitude si elles doivent\nfranchir un buisson.
MID_TUT_BMAP_TERRAIN_2	Les effets du terrain sont indiqués dans le coin\nsupérieur gauche de l'écran. Utilisez-les pour\navoir l'avantage au combat.
MID_TUT_BMAP_RECOVERY_TITLE	Soins
MID_TUT_BMAP_RECOVERY_0	Une unité qui perd tous ses points de vie (PV)\nne peut plus se battre. Utilisez un objet telle une\npotion pour la guérir avant que cela n'arrive.
MID_TUT_BMAP_RECOVERY_1	Utilisez une potion en la sélectionnant\ndans le menu Objets.
MID_TUT_BMAP_SYNCHRO_TITLE	Engagement avec les Emblèmes
MID_TUT_BMAP_SYNCHRO_0	Une unité peut combattre aux côtés\nd'un Emblème. C'est ce que l'on\nnomme l'engagement.
MID_TUT_BMAP_SYNCHRO_1	L'engagement augmente la puissance\nd'une unité et déverrouille des\ntechniques d'engagement.
MID_TUT_BMAP_KIZUNA_LV_TITLE	Niveau de lien
MID_TUT_BMAP_KIZUNA_LV_0	En combattant aux côtés d'un Emblème,\nun allié gagne de l'EXP de lien, qui augmente\nleur niveau de lien.
MID_TUT_BMAP_KIZUNA_LV_1	Augmenter le niveau de lien d'une unité\nlui confère de nouveaux effets\net augmente diverses caractéristiques.
MID_TUT_BMAP_RANGE_TITLE	Portée d'attaque
MID_TUT_BMAP_RANGE_0	Chaque arme a une portée définie.\nUn arc avec une portée de deux peut\nattaquer des ennemis situés à deux cases.
MID_TUT_BMAP_RANGE_1	Les armes d'une portée de 1 ne peuvent contrer\nles attaques à distance, et les armes d'une\nportée de 2, les attaques adjacentes.
MID_TUT_BMAP_BREAK_TITLE	Briser la garde d'un ennemi
MID_TUT_BMAP_BREAK_0	Vous pouvez briser la garde d'un ennemi\nen lui portant un coup avec une arme\nayant l'avantage.
MID_TUT_BMAP_BREAK_1	Les unités dont la garde est brisée ne peuvent\npas contre-attaquer jusqu'à leur tour suivant.\nTirez-en profit.
MID_TUT_BMAP_BREAK_2	Les épées ont l'avantage sur les haches, les\nhaches sur les lances et les lances sur les épées.\nLes arts l'ont sur les arcs, tomes et dagues.
MID_TUT_BMAP_WAND_TITLE	Bâtons
MID_TUT_BMAP_WAND_0	Les bâtons permettent d'assister des alliés ou\nd'entraver des ennemis. Seules certaines classes\ncomme les moines guerriers peuvent les utiliser.
MID_TUT_BMAP_WAND_1	Un bâton de soins restaure les points de vie\n(PV) d'un allié, par exemple.
MID_TUT_BMAP_WAND_2	Les bâtons sont très utiles, mais ils se brisent\naprès un certain nombre d'utilisations.
MID_TUT_STYLE_PRANA_TITLE	Unités adeptes qi
MID_TUT_STYLE_PRANA_0	Les unités adeptes qi peuvent utiliser la garde\nenchaînée. Cela leur permet de protéger les\nalliés adjacents contre les attaques ennemies.
MID_TUT_STYLE_PRANA_1	Avec la garde enchaînée, l'allié ne subit pas de\ndégâts. L'unité adepte qi les subit à leur place,\nà hauteur de 20 % de ses PV max.
MID_TUT_STYLE_PRANA_2	La technique de garde enchaînée n'est\ndisponible que si l'unité adepte qi a\ntous ses PV.
MID_TUT_BMAP_MAGIC_TITLE	Magie
MID_TUT_BMAP_MAGIC_0	La magie a une longue portée, mais peut\négalement être utilisée pour attaquer\nles ennemis adjacents.
MID_TUT_BMAP_MAGIC_1	La magie est souvent efficace\ncontre les ennemis dotés\nd'une défense physique élevée.
MID_TUT_STYLE_MAGIC_TITLE	Unités mystiques
MID_TUT_STYLE_MAGIC_0	Les unités mystiques ignorent le bonus\nd'esquive (Esq) de terrain de l'ennemi\nsi elles attaquent avec de la magie.
MID_TUT_STYLE_MAGIC_1	Les unités mystiques peuvent attaquer au loin,\nmême dans des situations où un ennemi devrait\nêtre difficile à toucher.
MID_TUT_BMAP_GOD_ENERGY_TITLE	Énergie d'Emblème
MID_TUT_BMAP_GOD_ENERGY_0	Parfois, une énergie d'Emblème subsiste dans\ncertaines cases.
MID_TUT_BMAP_GOD_ENERGY_1	Si une unité engagée termine son action\nou attend sur une telle case, sa jauge\nde fusion se remplit complètement.
MID_TUT_OVERALLINFORMATION_TITLE	Zone de danger
MID_TUT_OVERALLINFORMATION_0	Déplacez le curseur sur une unité ennemie pour\nafficher sa portée d'attaque. Appuyez sur \x0E\x08\x02\x04\x02A\npour laisser cette zone constamment affichée.
MID_TUT_OVERALLINFORMATION_1	Appuyez sur \x0E\x08\x02\x06\x04ZL pour afficher la zone de\ndanger de tous les ennemis à la fois.
MID_TUT_BMAP_SPECIALATTACK_TITLE	Efficacité
MID_TUT_BMAP_SPECIALATTACK_0	Les icônes associées à certaines armes\nindiquent qu'elles sont efficaces contre\ndes types d'ennemis spécifiques.
MID_TUT_BMAP_SPECIALATTACK_1	Les armes infligent des dégâts bonus\naux adversaires ayant la même icône.
MID_TUT_STYLE_COOP_TITLE	Unités de soutien
MID_TUT_STYLE_COOP_0	Les unités de soutien aident au combat\nen ajoutant une attaque enchaînée\nà l'offensive d'un allié.
MID_TUT_STYLE_COOP_1	Si elles sont à portée, elles se joindront au\ncombat d'un allié.
MID_TUT_STYLE_HORSE_TITLE	Unités de cavalerie
MID_TUT_STYLE_HORSE_0	Les unités de cavalerie ont une capacité\nde déplacement supérieure aux autres unités.
MID_TUT_STYLE_HORSE_1	Très mobiles, elles peuvent se précipiter vers\nun ennemi afin de lui porter le premier coup\nou traverser la carte pour aider un allié.
MID_TUT_STYLE_COVERT_TITLE	Unités furtives
MID_TUT_STYLE_COVERT_0	Les unités furtives gagnent le double\ndes bonus habituels d'esquive (Esq)\nliés aux effets de terrain.
MID_TUT_STYLE_COVERT_1	Ces unités ont un avantage dans les zones\ncontenant des types de terrain bénéfiques,\ncomme les buissons.
MID_TUT_STYLE_HEAVY_TITLE	Unités cuirassées
MID_TUT_STYLE_HEAVY_0	Les unités cuirassées ignorent l'effet\nde brise-garde quand elles sont attaquées\navec une arme ayant l'avantage.
MID_TUT_STYLE_HEAVY_1	Leurs PV et leur défense élevés en font de\nbonnes unités de première ligne, mais leur faible\nrésistance les rend vulnérables à la magie.
MID_TUT_STYLE_FLY_TITLE	Unités volantes
MID_TUT_STYLE_FLY_0	Ignorant les pénalités liées au déplacement,\nles unités volantes peuvent aussi franchir\ndes cases inaccessibles aux unités au sol.
MID_TUT_STYLE_FLY_1	Ces unités peuvent se déplacer facilement\nau combat, mais sont vulnérables face aux arcs.
MID_TUT_STYLE_DRAGON_TITLE	Dragons
MID_TUT_STYLE_DRAGON_0	Les dragons obtiennent des effets\nsupplémentaires des techniques\net attaques de fusion.
MID_TUT_STYLE_DRAGON_1	Augmentez leur niveau de lien avec les\nEmblèmes pour exploiter tout le potentiel\ndes capacités d'Emblèmes.
MID_TUT_STYLE_BATTLE_TITLE	Types d'unité
MID_TUT_STYLE_BATTLE_0	Il existe divers types d'unités : unités de\ncavalerie, adeptes qi, mystiques, etc.\nChaque type présente différents avantages.
MID_TUT_STYLE_BATTLE_1	Vous pouvez voir à quel type appartient\nune unité en consultant ses caractéristiques.
MID_TUT_BMAP_ITEMDROP_TITLE	Objets récupérés sur des ennemis
MID_TUT_BMAP_ITEMDROP_0	Lorsque vous vainquez un ennemi doté\nd'une icône de récupération, vous pouvez\nobtenir les objets qu'il transportait.
MID_TUT_BMAP_ITEMDROP_1	Les objets que vous pouvez obtenir\napparaissent en vert dans l'inventaire\nde l'ennemi.
MID_TUT_BMAP_XHELP_TITLE	Détails
MID_TUT_BMAP_XHELP_0	Vous pouvez consulter les informations\nconcernant une unité en la sélectionnant avec \x0E\x08\x02\x04\x02X.
MID_TUT_BMAP_XHELP_1	Rendez-vous dans l'écran Détails pour voir\nles informations concernant les armes et\nles techniques.
MID_TUT_BMAP_XHELP_2	Reprenez la bataille en appuyant sur \x0E\x08\x02\x04\x02B ou \x0E\x08\x02\x04\x02X.
MID_TUT_BMAP_BONDSSUPPORTTALK_TITLE	Liens
MID_TUT_BMAP_BONDSSUPPORTTALK_0	Lorsque le niveau de lien d'un Emblème et\nd'une unité progresse, des dialogues spéciaux\nont lieu.
MID_TUT_BMAP_BONDSSUPPORTTALK_1	Vous pouvez regarder les dialogues de lien\ndisponibles pendant que vous êtes à Somniel\nou en pleine exploration de la carte du monde.
MID_TUT_BMAP_BONDSSUPPORTTALK_2	Une fois un dialogue de lien regardé, le niveau\nde lien peut être renforcé davantage.
MID_TUT_BMAP_SUPPORT_TITLE	Soutien
MID_TUT_BMAP_SUPPORT_0	Lorsque des alliés se soignent ou combattent\nensemble, ils gagnent des points de soutien,\nce qui peut débloquer des dialogues de soutien.
MID_TUT_BMAP_SUPPORT_1	Regarder les dialogues de soutien à Somniel\nou sur la carte du monde augmente le niveau\nde soutien entre les personnages.
MID_TUT_BMAP_SUPPORT_2	Les unités ayant atteint un niveau de soutien\nbénéficient de bonus de caractéristiques\nlorsqu'elles sont adjacentes.
MID_TUT_BMAP_VISIT_TITLE	Visites
MID_TUT_BMAP_VISIT_0	Si vous visitez des maisons pour avertir leurs\noccupants d'un danger, vous recevrez peut-être\ndes objets ou des écus en récompense.
MID_TUT_BMAP_VISIT_1	Déplacez-vous sur une case illuminée en face\nd'une maison pour la visiter, puis sélectionnez\nl'ordre approprié.
MID_TUT_BMAP_VISIT_2	Attention ! Si un ennemi atteint une maison,\ncelle-ci sera détruite.
MID_TUT_BMAP_TIMECRYSTAL_TITLE	Cristal temporel draconique
MID_TUT_BMAP_TIMECRYSTAL_0	Vous pouvez remonter vos actions pour revenir\nà un certain point de la bataille à l'aide du\ncristal temporel draconique.
MID_TUT_BMAP_TIMECRYSTAL_1	Sélectionnez Cristal temporel dans le menu.\nChoisissez le nombre d'actions à remonter avec\n\x0E\x08\x02\x06\x04Up et \x0E\x08\x02\x0A\x08Down, et confirmez avec \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_REINFORCEMENT_TITLE	Renforts
MID_TUT_BMAP_REINFORCEMENT_0	Les ennemis appellent parfois des renforts\ndurant le combat.
MID_TUT_BMAP_REINFORCEMENT_1	Les renforts arrivent souvent de forts\nou des bords de la carte, alors soyez\nsur vos gardes.
MID_TUT_BMAP_TRANSPORTER_TITLE	Convoi
MID_TUT_BMAP_TRANSPORTER_0	Utilisez le convoi pour stocker\net récupérer des objets.
MID_TUT_BMAP_TRANSPORTER_1	Seuls \x0E\x06\x03\x00 ou des alliés situés sur\ndes cases adjacentes peuvent utiliser le convoi\npendant la bataille.
MID_TUT_BMAP_DEADSOUL_TITLE	Esprits des vaincus
MID_TUT_BMAP_DEADSOUL_0	Si vous êtes connecté au réseau, des esprits\nreprésentant les unités tombées lors de batailles\nd'autres joueurs peuvent apparaître sur la carte.
MID_TUT_BMAP_DEADSOUL_1	Les esprits jaunes apparaissent là où beaucoup\nd'alliés sont tombés. Vous obtenez de l'EXP et\nde l'EXP de lien en attendant sur leurs cases.
MID_TUT_BMAP_DEADSOUL_2	Les esprits violets apparaissent là où beaucoup\nd'ennemis sont tombés. Vous pouvez ramasser\nleurs objets en attendant sur leurs cases.
MID_TUT_BMAP_DOOR_TITLE	Portes
MID_TUT_BMAP_DOOR_0	Vous pouvez détruire une porte en l'attaquant.
MID_TUT_BMAP_DOOR_1	Un voleur peut utiliser l'ordre Ouvrir porte\npour franchir une porte sans la démolir.
MID_TUT_BMAP_TREASUREBOX_TITLE	Coffres au trésor
MID_TUT_BMAP_TREASUREBOX_0	Les coffres au trésor renferment des objets.\nUtilisez l'ordre Ouvrir coffre à côté d'un coffre\npour en récupérer le contenu.
MID_TUT_BMAP_TREASUREBOX_1	Si un ennemi s'empare du trésor en premier,\nvous pouvez le récupérer en vainquant\ncet ennemi.
MID_TUT_BMAP_BREAKINGWALL_TITLE	Destruction de terrain
MID_TUT_BMAP_BREAKINGWALL_0	Si un terrain est indiqué comme destructible,\nvous pouvez l'attaquer et le détruire.
MID_TUT_BMAP_BREAKINGWALL_1	Une fois le terrain détruit, vous pouvez\nfranchir librement la zone.
MID_TUT_BMAP_HPSTOCK_TITLE	Pierres de résurrection
MID_TUT_BMAP_HPSTOCK_0	Certains ennemis puissants ont des pierres\nde résurrection.
MID_TUT_BMAP_HPSTOCK_1	Si leurs PV tombent à 0, ils consomment\nles pierres pour les récupérer.
MID_TUT_BMAP_HPSTOCK_2	Continuez d'attaquer ces ennemis jusqu'à\nce qu'ils aient utilisé toutes leurs pierres de\nrésurrection.
MID_TUT_BMAP_INTERFERINGCANE_TITLE	Bâtons d'entrave
MID_TUT_BMAP_INTERFERINGCANE_0	Certains bâtons peuvent gêner les ennemis\nen stoppant leur déplacement ou en plaçant\ndes obstacles sur leur passage.
MID_TUT_BMAP_SEARCH_TITLE	Ténèbres
MID_TUT_BMAP_SEARCH_0	Dans les zones sombres, seules les zones\nautour des alliés, des fanaux et des torches\nsont visibles.
MID_TUT_BMAP_SEARCH_1	Avancez prudemment ! Des ennemis pourraient\nêtre tapis dans les ténèbres.
MID_TUT_BMAP_POISON_TITLE	Altération d'état : poison
MID_TUT_BMAP_POISON_0	Les dagues infligent du poison. Les voleurs\net classes similaires utilisent des dagues.
MID_TUT_BMAP_POISON_1	Les ennemis empoisonnés subissent des dégâts\nsupplémentaires.
MID_TUT_BMAP_POISON_2	Porter de multiples coups de dagues\naugmente la puissance du poison.
MID_TUT_BMAP_POISON_3	Les unités restent empoisonnées pendant\nla durée de la bataille, à moins d'être guéries\nà l'aide d'un antidote ou d'un bâton Vitalis.
MID_TUT_BMAP_TORCH_TITLE	Fanaux
MID_TUT_BMAP_TORCH_0	Pour allumer un fanal, déplacez-vous\nà côté de celui-ci et utilisez l'ordre Allumer.
MID_TUT_BMAP_TORCH_1	Révélez des ennemis cachés en illuminant\nles zones plongées dans l'obscurité.
MID_TUT_BMAP_SMASH_TITLE	Armes de repoussement
MID_TUT_BMAP_SMASH_0	Lorsque vous touchez un adversaire avec des\narmes puissantes telles qu'une lame ou une\npique, il est repoussé d'une case.
MID_TUT_BMAP_SMASH_1	Brisez la garde des ennemis en les repoussant\nsur des unités ou des obstacles comme un mur.
MID_TUT_BMAP_SMASH_2	Ces armes sont lourdes et ne peuvent effectuer\nde double frappe. De plus, l'adversaire attaque\nen premier lorsque vous initiez le combat.
MID_TUT_BMAP_DARKSYNCHRO_TITLE	Engagement noir
MID_TUT_BMAP_DARKSYNCHRO_0	Certains ennemis utilisent également\nles Emblèmes au combat.
MID_TUT_BMAP_DARKSYNCHRO_1	Ces Emblèmes Noirs sont incapables de\nfusionner, mais ont néanmoins accès aux\nattaques de fusion.
MID_TUT_BMAP_DARKSYNCHRO_2	Une lumière indique à quel moment un ennemi\npeut utiliser une attaque de fusion. Gardez\nl'œil ouvert !
MID_TUT_BMAP_BOWTURRET_TITLE	Balistes
MID_TUT_BMAP_BOWTURRET_0	Une unité se tenant sur une baliste peut utiliser\nl'ordre Tirer si elle est équipée d'un arc.
MID_TUT_BMAP_BOWTURRET_1	Les balistes ont une portée et une puissance\nélevées. Vous infligerez donc de lourds dégâts\navant que vos ennemis n'approchent.
MID_TUT_BMAP_BOWTURRET_2	Cependant, les balistes ont un nombre\nd'utilisations limité, alors planifiez\nsoigneusement vos attaques.
MID_TUT_BMAP_CONVERSATION_TITLE	Conversations
MID_TUT_BMAP_CONVERSATION_0	Une icône de conversation indique qu'une unité\na quelque chose à dire. Utilisez l'ordre Parler\nà côté d'elle pour lui adresser la parole.
MID_TUT_BMAP_CONVERSATION_1	Parfois, ces unités se joindront à vous\nen tant qu'alliées, alors n'hésitez pas\nà engager la conversation.
MID_TUT_BMAP_CONVERSATION_2	Dans certains cas, seuls certains alliés\npeuvent parler à ces unités.
MID_TUT_BMAP_MAGICTURRET_TITLE	Artillerie magique
MID_TUT_BMAP_MAGICTURRET_0	Une unité se tenant sur une artillerie magique\npeut utiliser l'ordre Tirer si elle est équipée\nd'un tome.
MID_TUT_BMAP_MAGICTURRET_1	Les artilleries magiques sont de puissantes\narmes à la portée élevée, idéales pour attaquer\nà distance.
MID_TUT_BMAP_MAGICTURRET_2	À l'instar des balistes, elles ne peuvent être\nutilisées qu'un nombre limité de fois, alors\nplanifiez soigneusement vos attaques.
MID_TUT_BMAP_QUICKSAND_TITLE	Sables mouvants
MID_TUT_BMAP_QUICKSAND_0	Les sables mouvants sont un type de terrain\nunique. Lorsque vous quittez une telle case,\nvotre déplacement est fortement réduit.
MID_TUT_BMAP_QUICKSAND_1	Veillez à éviter les sables mouvants\nlorsque cela est possible pour garder\nune certaine mobilité.
MID_TUT_BMAP_RECKLESS_TITLE	Fureur
MID_TUT_BMAP_RECKLESS_0	Les ennemis engagés avec un Emblème Noir\nsont parfois frappés de fureur lorsqu'ils utilisent\ndes pierres de résurrection.
MID_TUT_BMAP_RECKLESS_1	Faites attention ! Leur force supplémentaire\nprovient de l'utilisation forcée de la puissance\nde l'Emblème.
MID_TUT_BMAP_DANCE_TITLE	Danse
MID_TUT_BMAP_DANCE_0	Les danseurs peuvent utiliser l'ordre Danser\nlorsqu'ils sont à côté d'alliés ayant déjà\nfini leur tour.
MID_TUT_BMAP_DANCE_1	L'unité ciblée par votre danse pourra se\ndéplacer à nouveau et entreprendre une\nautre action lors de ce tour.
MID_TUT_BMAP_FLAMETURRET_TITLE	Canons
MID_TUT_BMAP_FLAMETURRET_0	Si une unité partage une case avec un canon,\nelle peut utiliser l'ordre Tirer.
MID_TUT_BMAP_FLAMETURRET_1	Les canons font exploser une grande zone\nautour du point d'impact et mettent le feu\nau terrain.
MID_TUT_BMAP_FLAMETURRET_2	Les alliés peuvent subir des dégâts dans\nl'explosion. En outre, l'attaque ne peut\ndiminuer les PV ennemis en dessous de 1.
MID_TUT_BMAP_PICKUPARING_TITLE	Récupérer des anneaux
MID_TUT_BMAP_PICKUPARING_0	Invoquez des Emblèmes en plaçant\n\x0E\x06\x03\x00 à côté d'anneaux\ntombés au sol.
MID_TUT_BMAP_LINKINGUP_TITLE	Engagement au combat
MID_TUT_BMAP_LINKINGUP_0	Les alliés sans anneaux\x0E\x01\x0B\x00 peuvent\nse déplacer à côté d'un Emblème invoqué et\nsélectionner Parler pour s'engager avec lui.
MID_TUT_BMAP_DRAGONCREST_TITLE	Fragment de Dragon déchu
MID_TUT_BMAP_DRAGONCREST_0	Pour détruire le fragment de Dragon déchu,\nvous devez vaincre ses gardiens :\nZephia et Griss.
MID_TUT_BMAP_DRAGONCREST_1	Zephia et Griss utilisent le pouvoir du fragment\npour déclencher des bombes volcaniques\ndévastatrices.
MID_TUT_BMAP_VOLCANICBOMB_TITLE	Bombes volcaniques
MID_TUT_BMAP_VOLCANICBOMB_0	Les bombes volcaniques tombent régulièrement,\nlaissant un intervalle de quelques tours entre les\nfrappes.
MID_TUT_BMAP_VOLCANICBOMB_1	Les bombes détruisent les rochers\net infligent de lourds dégâts aux alliés\nsi elles les touchent.
MID_TUT_BMAP_VOLCANICBOMB_2	Une mise en garde indiquera également\nl'endroit où tomberont les bombes, alors\ntenez-vous à distance.
MID_TUT_BMAP_AVALANCHE_TITLE	Avalanches
MID_TUT_BMAP_AVALANCHE_0	L'ancien\x0E\x0A\x00\x08
MID_TUT_BMAP_AVALANCHE_1	Une mise en garde indique où frappent\nles avalanches. Prêtez-y attention\net déplacez-vous prudemment !
MID_TUT_BMAP_AVALANCHE_2	Rochers et ennemis empêchent les unités\nde partir en arrière.
MID_TUT_BMAP_TURNLIMIT_TITLE	Tours limités
MID_TUT_BMAP_TURNLIMIT_0	Certaines batailles doivent être remportées\nen un nombre limité de tours.
MID_TUT_BMAP_TURNLIMIT_1	Remplissez les conditions de victoire avant\nla fin des tours ou la bataille se soldera par\nune défaite.
MID_TUT_BMAP_DRAGONBEAM_TITLE	Rayon du fragment de Dragon déchu
MID_TUT_BMAP_DRAGONBEAM_0	Lumera corrompue utilise le pouvoir du\nfragment de Dragon déchu pour déclencher\nune attaque puissante.
MID_TUT_BMAP_DRAGONBEAM_1	Une mise en garde apparaît juste avant que\nle rayon ne frappe. Quittez la zone concernée\npour éviter des dégâts considérables.
MID_TUT_BMAP_DARKHERALDIC_TITLE	Emblèmes Noirs
MID_TUT_BMAP_DARKHERALDIC_0	Bien que puissants, les Emblèmes Noirs sont\nvulnérables aux attaques d'unités engagées ou\nfusionnées avec un Emblème de leur monde.
MID_TUT_BMAP_BARRIER_TITLE	Barrière noire
MID_TUT_BMAP_BARRIER_0	Barrière créée par les Emblèmes Noirs qui\nréduit les dégâts subis par Sombron déchu.
MID_TUT_BMAP_BARRIER_1	Vainquez les Emblèmes Noirs pour affaiblir\nla barrière.
MID_TUT_BMAP_ENGAGERING_TITLE	L'Anneau du Pacte
MID_TUT_BMAP_ENGAGERING_0	Si vous atteignez le niveau de soutien A avec un\nallié, vous pouvez lui donner l'Anneau du Pacte\npour nouer un lien encore plus fort avec lui.
MID_TUT_BMAP_ENGAGERING_1	Il est stocké dans la commode située\ndans votre chambre.
MID_TUT_BMAP_ENGAGERING_2	Si vous ne trouvez pas votre allié\nde prédilection à Somniel, essayez de\nvous reposer dans votre lit un moment.
MID_TUT_GOD_MARTH_TITLE	Emblème Marth
MID_TUT_GOD_MARTH_0	L'Emblème Marth assène des coups rapides\nde manière répétée, dominant ses ennemis\npar sa grâce agile.
MID_TUT_GOD_MARTH_1	La technique d'engagement Perception\npermet d'esquiver plus facilement les\ncontre-attaques ennemies.
MID_TUT_GOD_MARTH_2	L'arme de fusion Rapière inflige des dégâts\nbonus à la cavalerie et aux ennemis cuirassés.
MID_TUT_GOD_MARTH_3	La technique de fusion Célérité divine\najoute une attaque supplémentaire\nmoins puissante.
MID_TUT_GOD_MARTH_4	L'attaque de fusion Adrénaline du guide est une\nattaque en rafale ultra-rapide infligeant des\ndégâts importants.
MID_TUT_GOD_SIGLUD_TITLE	Emblème Sigurd
MID_TUT_GOD_SIGLUD_0	Doué d'une mobilité exceptionnelle,\nl'Emblème Sigurd peut se déplacer\naisément sur le champ de bataille.
MID_TUT_GOD_SIGLUD_1	La technique d'engagement Mobilité\npermet à l'unité d'effectuer un déplacement\nsupplémentaire suite à une attaque.
MID_TUT_GOD_SIGLUD_2	L'arme de fusion Caballucide inflige\ndes dégâts bonus à la cavalerie.
MID_TUT_GOD_SIGLUD_3	La technique de fusion Galop augmente\nle mouvement (Mvt) de 5.
MID_TUT_GOD_SIGLUD_4	L'attaque de fusion Dépassement consiste en\nune charge en avant, infligeant des dégâts à\ntous les ennemis sur son passage.
MID_TUT_GOD_CELICA_TITLE	Emblème Celica
MID_TUT_GOD_CELICA_0	L'Emblème Celica utilise de puissantes attaques\nmagiques. C'est un atout majeur contre les\nAberrations.
MID_TUT_GOD_CELICA_1	La technique d'engagement Posture sainte\nrenvoie une partie des dégâts infligés par des\nAberrations à l'assaillant.
MID_TUT_GOD_CELICA_2	L'arme de fusion Séraphins inflige des dégâts\nbonus aux Aberrations.
MID_TUT_GOD_CELICA_3	La technique de fusion Écho permet à une unité\nd'initier deux fois le combat en lançant une\nattaque magique à 50 % de dégâts.
MID_TUT_GOD_CELICA_4	L'attaque de fusion Téléragnation téléporte\nune unité vers un ennemi éloigné et attaque\navec une magie puissante.
MID_TUT_GOD_MICAIAH_TITLE	Emblème Micaiah
MID_TUT_GOD_MICAIAH_0	L'Emblème Micaiah se spécialise dans la\nguérison des alliés grâce à sa magie puissante.
MID_TUT_GOD_MICAIAH_1	La technique d'engagement Clerc permet\nà l'unité engagée avec Micaiah d'utiliser\nun bâton, indépendamment de sa classe.
MID_TUT_GOD_MICAIAH_2	L'arme de fusion Flash permet d'attaquer\net d'illuminer une zone.
MID_TUT_GOD_MICAIAH_3	La technique de fusion Augmentation\naugmente la portée et la zone d'effet du bâton.
MID_TUT_GOD_MICAIAH_4	L'attaque de fusion Grand sacrifice restaure\nentièrement les PV de tous les alliés, mais\nréduit les PV de l'unité qui l'utilise à 1.
MID_TUT_GOD_ROY_TITLE	Emblème Roy
MID_TUT_GOD_ROY_0	L'attaque et la défense hors pair de l'Emblème\nRoy en font un combattant de première ligne\nidéal.
MID_TUT_GOD_ROY_1	La technique d'engagement In extremis permet\nà une unité de survivre à la plupart des combats\navec 1 PV.
MID_TUT_GOD_ROY_2	L'arme de fusion Brise-lance, contrairement à\nla plupart des épées, a l'avantage contre les\nlances, mais est vulnérable contre les haches.
MID_TUT_GOD_ROY_3	La technique de fusion Élévation augmente\ntemporairement le niveau et les caractéristiques\nd'une unité.
MID_TUT_GOD_ROY_4	L'attaque de fusion Lion flamboyant frappe\nplusieurs cases devant une unité, tout en\nmettant le feu au terrain.
MID_TUT_GOD_LEAF_TITLE	Emblème Leif
MID_TUT_GOD_LEAF_0	Sa capacité à manier diverses armes permet\nà l'Emblème Leif de s'adapter à n'importe\nquelle situation de combat.
