MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nJe dois dire que vous avez fait de remarquables\nprogrès. Vos talents se sont vraiment améliorés.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nBien entendu. Rien ne me procurerait davantage\nde plaisir que de vous voir apprécier le tricot.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nHé, Clanne ! Que faites-vous donc, tout là-bas ?\nSi vous voulez me parler, approchez-vous.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nN-Non, je préfère pas ! J'ai peur de m'évanouir,\nsi je m'approche davantage de votre splendeur !\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クラン\nIl paraît que vous avez un frère, j'imagine qu'il\ndoit être tout aussi impressionnant que vous...\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMon frère a voué son existence au bien de\nson peuple. J'espère réussir à lui ressembler.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クラン\nJe me sens mieux rien que de vous savoir\nà mes côtés, Messire Hector. Vous avez\nune présence très réconfortante.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMon armure et ma hache sont là pour protéger\nmes amis. Et vous en faites partie, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nOh, merci beaucoup ! Je ferai moi aussi\ntout mon possible pour vous protéger.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nVoilà qui me rassure pleinement. Je compte\nsur vous pour protéger mes arrières !\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nMessire Hector, s'il vous faut quoi que ce soit,\nvous n'avez qu'à demander. Je serai la première\nà accourir à vos côtés, plus vite que quiconque !\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nJe vous suis reconnaissant pour votre zèle,\nmais il n'est pas nécessaire d'en faire\nune course permanente.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nVous aussi, vous avez un frère aîné, hein ?\nDe vous à moi, les grands frères, c'est souvent\ndes angoissés de la vie.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nJ'admets qu'il était souvent sur mon dos, mais\nje suppose que c'est parce qu'il tenait à moi.\nJ'ai bien du mal à l'égaler.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06フラン\nJe me sens plus tranquille quand nous\ncombattons ensemble. Votre présence\na quelque chose de rassurant...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nPeut-être est-ce dû à cette armure et à ma\nhache. Mais si grâce à cela, vous vous sentez\nplus sûre de vous en combat, j'en suis ravi.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nOh, c'est le cas. Quand vous êtes avec nous, j'ai\nl'impression qu'il ne peut rien m'arriver de mal.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nMa foi, si j'ai autant développé ma force,\nce n'est pas tant pour vaincre des ennemis\nque pour protéger mes amis.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nUn lien semble nous unir. Mon bracelet a\nété confié autrefois au royaume de Firene\nde l'autre Elyos.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nVraiment ? Oh ! Nous avons davantage\nen commun que je ne le pensais !\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVous avez beau essayer de les dissimuler sous\nvotre armure, je vois bien vos muscles. On ne\nme la fait pas, à moi.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nJe ne cherchais pas spécialement à les cacher,\nmais... Je dois reconnaître que vous avez l'œil,\nPrince Alfred.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMême si nous nous exerçons ensemble depuis\nun certain temps, je suis encore à des lieues\nd'afficher une carrure comme la vôtre.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nHmm... C'est peut-être une question de\nmétabolisme ? Vous n'avez toutefois\npas à rougir de votre silhouette.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est fort délicat de votre part, mais il faut que\nje me muscle davantage si je veux me maintenir\nà notre niveau. Allez, à l'entraînement !\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nSi vous insistez ! J'ai justement élaboré tout\nune série d'exercices qui pourraient être utiles.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nQu'est-ce qui vous arrive, Boucheron ?\nVous pleurez... Un drame s'est-il produit ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nOh... non non. Désolé si je vous ai effrayé.\nJe pensais juste au livre que je suis en train\nde lire, c'est une histoire tellement triste...\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nJ'ai entendu dire que vous étiez un pêcheur de\ngrand talent. Avec des bras comme les vôtres,\nvous devez remonter de sacrés monstres.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nIl me semble que vos muscles n'ont rien à\nenvier aux miens. Je suis sûr que vous faites\nde très belles prises, vous aussi.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nブシュロン\nJe connais Messire Alfred depuis ma plus tendre\nenfance. Et vous, y a-t-il quelqu'un que vous\navez toujours connu ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nOui. Un de mes plus proches amis s'appelait\nEliwood, et nous avons grandi ensemble.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nNous ne parlions pas tellement de nos muscles,\nmais nous aimions bien nous affronter en duel.\nJ'adorerais me battre à nouveau avec lui...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nJe ne fais peut-être pas encore partie de\nvos amis proches, mais j'espère qu'un jour,\nvous me compterez parmi eux !\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nエーティエ\nAdepte moi aussi de l'exercice physique, je suis\nforcément intéressée par des muscles comme\nles vôtres. Ça vous dirait de discuter un peu ?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nJe n'ai rien contre une petite discussion. Mais\nje ne vois pas bien ce que je pourrais vous dire\nà propos de mes muscles...\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous me rappelez une amie. Une prêtresse,\nqui avait une sacrée énergie.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nEt si je vous rappelle cette amie... est-ce parce\nqu'elle aimait l'entraînement physique comme\nmoi ? Dans ce cas, comment s'entraînait-elle ?\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nエーティエ\nPuis-je me joindre à vous pour l'entraînement\naujourd'hui, Hector ?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nBien sûr. Mais... y a-t-il quelque chose qui\nvous tracasse ? Vous semblez avoir perdu\nvotre gaieté habituelle.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nJe me creuse la tête pour trouver comment\ncontribuer à l'effort de guerre. J'espère que\nl'entraînement m'éclaircira les idées.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nAh, je vois. Un peu de mouvement m'aide, moi\naussi, quand je coince sur un problème. Nous\nallons sûrement trouver quelque chose !\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nVotre force est un atout providentiel pour\nnous, Hector. Accepteriez-vous de converser\nun instant ?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nBien sûr. Je serais ravi de mieux vous connaître.\nVotre compagnie est bien plus agréable que\ncelle de la Céline que j'ai connue autrefois.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe n'aspire qu'à la paix, et me retrouve pourtant\nà pourfendre des ennemis. J'ai beau tenter de\nme raisonner, cette pensée me hante.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nHélas, il arrive que la seule voie vers le salut\nsoit la voie des armes. C'est une leçon amère\nqu'il faut pourtant assimiler.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nIl paraît que vous avez un frère aîné.\nEst-il semblable au prince Alfred ?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEh bien, il ne partage pas l'obsession du prince\npour les muscles, mais il est tout aussi dévoué\nà son peuple.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha, je gage qu'il y a bien davantage à dire\nsur votre frère. Il devait avoir une profonde\naffection pour vous.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nPeut-être. Ce qui est sûr en tout cas, c'est\nqu'il aimait me causer des ennuis... Enfin, ce\nque vous dites me fait plaisir malgré tout.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04ルイ\nHector, je voulais vous poser une question !\nQue vous évoque le spectacle de deux\npersonnes riant de conserve ?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nComment ? Ce que cela m'évoque ? Eh bien,\nje me dis : « en voilà deux qui s'amusent bien ».\nPourquoi me demandez-vous cela ?\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous me fixez sans arrêt... Il y a quelque\nchose dont vous souhaitez m'entretenir ?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nExcusez-moi. Je m'interrogeais simplement\nsur la personne dont la présence à vos côtés\nvous siérait le mieux.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04ルイ\nJe vous ai déjà entendu évoquer un ami\nd'enfance qui vous était cher. Vous plairait-il\nde m'en dire davantage ?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nVous parlez probablement d'Eliwood. Nous\navons beaucoup voyagé ensemble. Et nous\naimions également nous affronter en duel.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nAh, contempler deux amis déployer toutes leurs\nforces dans un torrent d'émotions... Quel\nsublime spectacle.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nJ'ignore ce que vous entendez par « sublime »,\nmais en tout cas, nous nous amusions\nbeaucoup !\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nVotre bracelet était donc en Firene,\ndans votre monde ? C'est très étrange.\nM'avez-vous rencontrée, là-bas ?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nOui. Votre double était très différente de vous.\nPour commencer, elle aimait des plats\ntout à fait communs.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nC'est mon jour de chance ! Regardez ces\npains vapeur que j'ai achetés. Ils sont fourrés\nau foie de poisson. Je vais me régaler !\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nBeurk. Les gens mangent vraiment pareille\nchose ? Les Firéniens de ce monde sont\nbien étranges...\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nPensez-vous qu'à force de nous battre,\nnous ferons régner la paix en ce monde ?\nTout comme dans mes contes de fées ?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nDans un monde si tumultueux, on ne peut\nqu'espérer que la situation s'améliore.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nL'époque est difficile, et vous devez croire\nen vos amis. C'est ensemble que vous\nparviendrez à instaurer la paix.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nVoilà une perspective admirable. Je me battrai\nen sachant que mes amis sont là pour moi,\net que vous en faites partie.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAinsi donc, vous êtes l'Emblème Hector.\nIl suffit de contempler votre impressionnante\ncarrure pour sentir un regain de confiance.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMerci. Vous aurez l'occasion de voir que\nmon armure et ma hache ne sont pas là\npour faire joli !\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVous savez admirablement tirer parti du poids\nde votre armure sur le champ de bataille.\nJe serais ravi de m'entraîner avec vous.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nVos prouesses au combat ne manquent pas\nde m'impressionner non plus. Elles me\nrappellent un ami cher à mon cœur.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nMême après avoir livré tant de batailles, je me\npose encore la question... Pourrai-je un jour\négaler le talent de mon illustre père ?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nOui. Je vous ai vu vous jeter dans la mêlée et\nje peux affirmer que vous avez l'étoffe d'un roi.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nCes mots me vont droit au cœur. Mon vœu\nle plus cher est de mettre ma puissance au\nservice de la prospérité de mon royaume.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nLa façon dont vous pensez à votre royaume\nme donne envie de me rallier à votre panache.\nJ'admire les idéaux qui vous animent.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08アンバー\nJe reconnais que vous avez de l'allure, Hector,\nmais votre hache, alors... elle est carrément\nstylée ! Ce doit être une arme légendaire !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nVoilà qui est finement observé ! Cette hache\na en effet une longue histoire... même si elle a\naussi connu des heures sombres.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous avez un bon contact avec les animaux.\nCe n'est absolument pas mon cas. Une fois,\nje me suis fait percuter par un cheval ailé !\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nUn cheval ailé ? Un pégase, vous voulez dire !\nCe sont de chouettes animaux. Même si je me\nsuis déjà pris plusieurs coups de sabots...\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous avez déjà combattu en tournoi, n'est-ce\npas ? Je parie que vous avez affronté un bon\nnombre de farouches adversaires !\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nEn effet. Je me suis vaillamment battu pour finir\nà la seconde place, devenant ainsi l'un des\nvassaux du prince Diamant !\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nEt puisque vous en parlez, je suppose que vous\nappréciez vous aussi de vous battre en tournoi ?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nAbsolument ! Dans mon monde, nous passions\nnotre temps libre à nous affronter dans l'arène.\nQue de bons souvenirs !\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nC'est un honneur de combattre à vos côtés,\nMessire Hector. Je ferai tout mon possible\npour ne pas vous décevoir.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNul besoin d'être aussi formelle. Nous sommes\ndes alliés, détendez-vous donc un peu.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai un blocage, je n'arrive pas à écrire en\nce moment... Accepteriez-vous de me parler\nde votre monde, pour m'inspirer un peu ?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNaturellement. Voyons voir... Je pourrais vous\nraconter le premier duel d'entraînement entre\nmon ami Eliwood et moi-même, par exemple !\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous avez déjà remporté un tournoi, non ?\nComment avez-vous fait pour vaincre ces\nfarouches guerriers ?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nMon point fort est la défense. J'ai paré leurs\nattaques, et riposté à chaque fois que j'en\navais l'occasion.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nExcellente stratégie. Je privilégie les tactiques\ndéfensives, moi aussi, grâce à mon armure.\nQue diriez-vous d'un petit duel ?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nM'entraîner avec vous, Messire Hector...\nCe serait avec le plus grand plaisir.\nAlors... en garde !\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nAh, c'est vous, le prince Alcryst ? Je suis\nHector. J'espère que nous deviendrons de\nbons compagnons d'armes !\x0E\x04\x00\x00
