MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous semblez fatiguée, Dame Nel.\nJe pense qu'une pause déjeuner\nvous ferait le plus grand bien.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIl est bien rare de vous voir attablée devant\nun bon repas. Une alimentation saine est\npourtant la clé de la victoire.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nInutile de vous tracasser, j'ai déjà bien mangé.\nC'était il y a... quelques jours, à peine ! Hum...\nVous avez raison, j'en ai grand besoin.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous semblez veiller personnellement au\nbien-être de tous, ici. Cela commande le\nrespect et montre que vous avez bon cœur.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nJe pourrais vous retourner le compliment,\nvous êtes toujours là quand nous avons\nbesoin de vous.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nLes visages semblent s'illuminer à votre\npassage, c'est tout bonnement fascinant.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nHa ha, voilà un compliment aussi agréable\nqu'inattendu. Que me vaut cet honneur ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nJe crains que vous privilégiiez le bien-être de\nvos proches au détriment du vôtre. Laissez-moi\nvous aider autant que possible, d'accord ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nVotre prévenance vous honore, mais je vais\nbien, rassurez-vous. Mes compagnons veillent\nsur moi en retour, comme vous en cet instant !\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nJ'ai une confession à vous faire : voilà un\nmoment que j'admire votre tenue, Gregory.\nElle est vraiment épatante !\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, elle vous plaît ? Vous savez, je pense qu'elle\nvous irait comme un gant. Elle pourrait même\nvous donner un air encore plus costaud.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVotre présence me fait gagner en\nassurance... Mais je ne voudrais pas\npécher par excès de confiance.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEh bien, j'ai livré maints combats, et je puis\naffirmer qu'il est toujours préférable de prendre\nles armes avec un allié à ses côtés.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSi j'étais aussi fort et courageux que vous,\nje ne serais pas constamment en train de\nme demander de quel côté je vais détaler.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIl est inutile de vouloir ressembler à quelqu'un\nd'autre. J'ai certes mon armure et ma force,\nmais vous avez votre sens tactique.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nNous devons mettre nos atouts en commun\npour mieux surmonter nos faiblesses. C'est\nle seul moyen de triompher !\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nMettre nos atouts en commun...\nOui, ça se tient. Je trouverai un\nmoyen de coordonner nos efforts !\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nQuelque chose ne va pas, Madeline ?\nVous me dévisagez. Aurais-je quelque\nchose sur le nez ?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nOh, non. J'étais simplement en train d'observer\nque vous aviez une démarche étonnamment\nlégère, malgré votre lourde armure.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nVous semblez toujours capable de déceler\nce qu'il y a de meilleur en chacun, et c'est\nune qualité dont je devrais m'inspirer.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nMoi ? Vous inspirer ? C'est trop d'honneur,\nMessire Hector. Je crois plutôt que c'est moi\nqui ai beaucoup à apprendre de vous.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nマデリーン\nMessire Hector, comment êtes-vous devenu\nun si grand héros ? Révélez-moi votre secret.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nMon secret ? Je n'en ai aucun, je le crains...\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nJe me contente de combattre pour ceux qui\nme sont chers, en me disant que celui qui va\nme les arracher n'est pas encore né !\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nCeux qui vous sont chers... Serait-ce donc\ncela ? J'ai encore beaucoup à apprendre, et\nj'espère que vous continuerez à m'y aider.\x0E\x04\x00\x00
