MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x16\x10ジェーデ_兜あり\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x12\x10ジェーデ_兜あり\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nAh. Oui... Je m'en souviens, maintenant.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nTu n'arrêtais pas de me parler, pendant que je\ncherchais à méditer, isolée dans mon armure...\nEt puis tu m'as comparée à un plat de crustacé.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nUn plat qui impliquait de... mettre toutes sortes\nd'ingrédients dans une carapace de crabe.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nOui, c'est cela, oui. Mais, dis-moi... ton armure...\npourrais-je la goûter d'un petit coup de langue ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nCette conversation est terminée.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nTon armure serait le parfait substitut d'une\ncarapace de crabe, avec tout cet espace...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nJe me demande juste à quelle température\nil faudrait laisser mijoter le métal...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nIl est absolument hors de question que\ntu touches à mon armure.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nEt il est aussi... absolument évident que\ntu n'écoutes pas ce que je dis.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\nPardon, tu disais ? Oh, euh... Désolé.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nJe dois toutefois admettre que cette\nconversation me donne faim. Alors,\ncette recette à l'étuvée, tu vas la faire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nOui, bien sûr. Il n'y a rien de plus agréable que\nde partager un repas entre amis.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nMais que notre arrangement soit bien clair :\nen tant qu'amie, je vais goûter le plat préparé\npar un autre ami, et c'est tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nTrès bien. Je me mets donc aux fourneaux.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ボネ\nMais d'abord, laisse-moi goûter ton armure...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ジェーデ\nAh, mais non !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAurais-tu un moment à m'accorder, Bunet ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nAh, Jade. Oui, tout à fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nAh... Serait-ce un parfum de fleur que je sens ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nJe voulais te remercier d'avoir cuisiné ce plat\ndélicieux, l'autre jour. Cette fleur est pour toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nC'est pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nOh, je suis touché. Cela t'offenserait-il si...\nsi je grignotais l'un de ces délicats pétales ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nTu cherches à savoir si la fleur d'une amie a\nune saveur particulière, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nJ'ignorais que tu avais appris à lire dans\nles pensées...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai suffisamment subi tes manies\npour pouvoir les déceler.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nJe vois. Eh bien, cette compréhension semble\nêtre réciproque.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nTiens, regarde.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nOuah. Toute cette nourriture a l'air succulente.\nPourquoi as-tu préparé tout cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nJ'avais prévu que tu viendrais sans doute\nme remercier.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nJ'ai donc pris les devants et préparé ce modeste\nfestin en ton honneur.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nJe t'en remercie, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nCela va-t-il constituer à présent la dynamique\nde nos relations ? Allons-nous nous remercier\nà tour de rôle en nous faisant des politesses ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nDe solides amitiés se sont déjà bâties sur\ndes bases plus fragiles que celles-là.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nJe suppose que cela nous offre en effet un\ncadre fiable... avec des limites bien définies.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nTout à fait. Puisque nous sommes d'accord,\nje vais juste en profiter...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nTouche mon armure et tu es un homme mort.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nHé hé. Très bien, j'ai compris.\x0E\x04\x00\x00
