MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06クラン\nTrès bien. Vas-y, ma belle. Tu peux y arriver !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\nHa ha... Elle doit être heureuse d'avoir trouvé\nun protecteur si dévoué.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nBonjour, Clanne. Comment notre camarade\nvégétale se porte-t-elle, aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nElle est complètement rétablie ! Elle a l'air\nrobuste, je pense que je vais bientôt retirer\nle tuteur.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nC'est fantastique ! Tout cela, elle le doit\nà ta diligence et à ton zèle.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nJe n'étais pas seul. Vous vous en êtes aussi\noccupée. Je suis sûr que ça l'a aidée à\nreprendre des forces.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nOh, je ne suis venue la voir que de temps\nen temps. Tes efforts ont joué le plus\ngrand rôle.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nMais j'y pense... J'avais mis quelque chose de\ncôté pour le moment où elle serait à nouveau\nen pleine forme.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nTiens. Voilà ta récompense pour avoir mis tant\nd'efforts à raviver cette fleur des champs,\nClanne. Tu l'as amplement méritée !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nOh, bon sang ! C'est...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nC'est une broche en forme de fleur.\nN'est-elle pas parfaite ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クラン\nElle doit... coûter une fortune. Ah... je ne peux\npas l'accepter.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nOh, elle n'a pas coûté tant que ça.\nDe toute manière, tes efforts méritent\nd'être récompensés !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nJe suis désolé, Citrinne. En aidant cette fleur\ndes champs, mon but n'était pas de recevoir\nune récompense.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nNe prenez pas mon refus comme un affront.\nC'est juste que... Oh, je suis vraiment navré.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nN'aie crainte, Clanne. Je te promets que\ntu ne m'offenses pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nJe te demande pardon pour la manière dont j'ai\ngéré cette situation. Il semblerait qu'une fois de\nplus, je sois allée trop loin.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nLa moindre de mes petites attentions finit\ntrop souvent par trahir le statut privilégié\nde ma famille.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nJe sais que c'est un travers qu'il me faut\ncombattre, et je m'y efforce, mais... mes efforts\nsont rarement couronnés de succès.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nCitrinne ? Est-ce que ça va ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nJe t'en prie, ne t'en fais pas pour moi.\nJe devrais y aller.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nVoir cette fleur des champs en si bonne forme\nm'emplit de joie. Beau travail, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nOh, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x04\x03\x04
MID_RELIANCE_A_#002	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh, Clanne ! Quelle bonne surprise !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nBonjour, Citrinne ! Ça fait un moment, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nJe voulais m'enquérir au sujet de cette fleur des\nchamps. Se porte-t-elle toujours aussi bien ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nOh. Je crains que non. Elle s'est remise à\ndépérir et je ne sais plus quoi faire pour elle.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh non ! C'est affreux...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nNon, ça ira. Je pense qu'elle a fait son temps.\nC'est ainsi que va la nature.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nN'abandonne pas, Clanne. Nous trouverons un\nmoyen de la revigorer. Laisse-moi y réfléchir...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nJe pourrais peut-être faire venir un engrais\nriche en nutriments. Cela devrait suffire à...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nOui. Bien sûr. Une débauche de richesse\nn'y pourra certainement rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nMais je veux faire quelque chose.\nLe fruit de tes efforts s'amenuise...\nTu dois être dévasté.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nEn fait, je suis plutôt reconnaissant.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nMais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nPrendre soin tous les deux de cette fleur\nnous a rapprochés, vous et moi. Alors oui...\nje lui suis reconnaissant.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh, Clanne... C'est adorable.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nTenez. Cette fois-ci, c'est moi qui vous\ndonne quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nCe sont des graines de la fleur des champs.\nJe les ai récoltées avant qu'elle ne fane.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\nAinsi, la fleur perdurera. Formidable !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nTes graines valent plus que des pierres ou\ndes joyaux. Ce cadeau me va droit au cœur !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nAccepterais-tu de m'aider à les semer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nBien sûr ! Nous pouvons les semer partout\nà Somniel pour le recouvrir de fleurs des\nchamps.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nOui, bonne idée ! Et... Clanne ?\nJ'espère que tu accepteras un cadeau en retour.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nEncore la broche ? Mais je croyais...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nCette fois, ce n'est pas une récompense\npour ton labeur. Je souhaite simplement\nqu'elle te revienne.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nHi hi... D'accord. Si vous le présentez\ncomme ça, j'accepte. Merci, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nEt merci de l'avoir acceptée, Clanne.\x0E\x04\x00\x00
