MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHmm. Hmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nPlus j'avançais dans ce livre d'histoire, moins\nje comprenais le monde. C'était effrayant.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nVoilà pourquoi j'ai arrêté de le lire. C'est fini.\nJ'abandonne.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nBrodia... est un royaume de guerriers. Je ne\npeux nier sa regrettable tendance passée à\ns'emparer d'autres territoires par la force.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEt il est vrai que beaucoup d'habitants d'Elusia\nont souffert à cause de Brodia, au point\nde nous haïr.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est une composante indéniable du passé\nde mon royaume, mais je ne la laisserai pas\ngangréner son avenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nCe ne sera pas facile, mais je le pense vraiment.\nIl faut que les choses changent.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nDans votre propre royaume, vous voulez dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nOui. Je te prie de me croire.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nJe ne sais pas... Vous avez laissé de côté\nles pages sombres de l'histoire de Brodia,\nl'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nMon intention n'était pas de te les cacher.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nMais... je suppose que je n'ai pas la conscience\ntranquille face à ces événements.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nJe comprends ta colère à mon égard.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nNon, non. Je ne suis pas en colère.\nSimplement...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nArgh, c'est difficile à dire. Tout ça m'a\nprofondément touchée. C'est vraiment\npesant, l'histoire...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHmm. Hmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis surpris de te voir à nouveau plongée\ndans ce livre d'histoire, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nJe pensais que tu avais abandonné.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nJe vous présente mes excuses, Prince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nVous projetez de mettre un terme aux guerres\nque mène votre royaume quoi qu'il en coûte,\npas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nJ'y ai réfléchi un bon moment, et j'ai réalisé\nquelque chose d'important.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nL'histoire ne devrait pas m'effrayer au point de\nne plus m'y intéresser. En fait, ce devrait être\nune raison de plus pour poursuivre ma lecture !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\nMaintenant, je parcours ce livre d'histoire à la\nrecherche de moyens de mettre fin aux conflits.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nFramme... C'est admirable. Je t'en remercie.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nEn même temps, je n'ai pas encore trouvé\nde bonnes idées.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nCe n'est pas grave. Ta décision d'agir est plus\nimportante que les idées que tu puisses trouver.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nOuais. On ne changera pas le passé, mais on\npeut agir aujourd'hui pour un meilleur avenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ai bien l'intention de laisser une marque\nplus éclairée dans l'histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nC'est une promesse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nOui. Je te le promets, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nBien. Alors je vais continuer de m'instruire\net apporter mon aide autant que je peux.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nSi tu t'y tiens, je t'aiderai dans tes études.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nVous ?! M-M'aider dans mes études ?\nY a pas moyen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nVous êtes le prince héritier. Vous n'avez pas de\ntemps à perdre avec les « leçons de Vander ».\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nNe t'en soucie pas. Et puis crois-le ou non,\nj'ai toujours été plutôt bon élève.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nVenant de vous, « plutôt bon » veut sans doute\ndire « super parfait au-delà de tout ».\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nAccordons-nous sur « acceptable ». Je suis\ncertain que Vander verra d'un bon œil l'arrivée\nd'un soutien qui t'aidera à te concentrer.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAllons-nous nous plonger ensemble dans les\nlivres et élaborer nos propres plans de paix ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nOh, d'accord. Vous m'avez convaincue.\nMerci, Diamant. Mon avenir est déjà un peu\nplus radieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\nJe serai une sage gardienne... et je parlerai\ndu roi de Brodia comme mon ancien partenaire\nd'études !\x0E\x04\x00\x00
