MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nDame Veyle, pardonnez mon intrusion,\nmais je désirais vous rendre mes hommages.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nマデリーン\nÀ sa place, je ne nourrirais nul regret, heureuse\nd'avoir accompli mon devoir de chevalier.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Et immensément fière qu'on se souvienne\nde moi avec autant de tendresse.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nJ'espère que c'est le cas...\nVous avez le cœur bon, Madeline.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Vous savez... Si Marni était vivante, je crois\nqu'elle serait un chevalier à votre image.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nVous me faites là un immense compliment.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nDame Veyle, je voulais vous remercier\nde m'avoir conté l'histoire de Marni.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nCe n'est rien. Merci à vous de m'avoir écoutée.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nJe n'ose imaginer la blessure que doit laisser\nla perte d'un chevalier aussi courageux et\naussi loyal.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Et vous poursuivez le combat, malgré\ncette souffrance qui vous tord le cœur...\nVous disposez d'une âme forte.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Et sachez qu'en vous disant cela, je ne me livre\npas à quelque oiseuse flatterie.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	J'estime seulement que vous faites\ndu bon travail.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nVous estimez que... pardon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nマデリーン\nPardonnez-moi. Il me semblait que vous\nméritiez quelque éloge pour n'avoir pas\nflanché malgré cette perte tragique.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Je n'ignore pas que j'outrepasse largement\nmes attributions. Mais je me devais de le dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nOh ! Dame Veyle ! Pardonnez-moi de m'être à\nnouveau exprimée si impudemment...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNon... Je verse des larmes de joie. Mauvier\nm'a répété les dernières paroles de Marni.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Avant de rendre son dernier souffle, Marni\na dit exactement ce que vous venez de dire.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	« Dis-lui qu'elle a fait du bon travail »...\nVous ne pouviez connaître ce détail, et vous\navez pourtant tenu les mêmes propos.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	J'entends enfin ses dernières paroles de mes\npropres oreilles... Les larmes ne s'arrêtent\npas de couler !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nマデリーン\nJe... Je vois.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Bien...\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Dame Veyle... Me permettrez-vous\nde devenir votre chevalier ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nComment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nマデリーン\nJe ne peux remplacer Marni,\net je n'en ai nulle intention.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Mais je désire endosser son rôle... Afin de vous\nprotéger et de demeurer à vos côtés.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nOh, Madeline.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Votre proposition me comble de joie.\nMais je suis au regret de devoir la refuser.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nマデリーン\nBien entendu... Je suis trop faible.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nNon, vous êtes un chevalier de premier ordre.\nMais vous n'êtes pas mon chevalier.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Marni nous a peut-être quittés, mais elle\nconserve cette place à mes yeux.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	J'aimerais pouvoir vous donner une réponse\ndifférente, mais c'est ce que je ressens.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nマデリーン\n... Je comprends.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Marni a eu de la chance d'être au service\nd'un cœur aussi dévoué que le vôtre.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nMais si vous ne pouvez pas être mon chevalier...\nPeut-être accepterez-vous d'être mon amie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nマデリーン\nVotre amie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ヴェイル\nOui. Nous pourrons bavarder et rire ensemble...\nDécouvrir ce que l'avenir nous réserve.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	Je veux que vous soyez là quand je deviendrai\nun dragon et que je sauverai le monde.\nQu'en dites-vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nマデリーン\nC'est un honneur. Oui, devenir votre amie\nme procurerait une grande joie.\x0E\x04\x02\x00
MID_RELIANCE_A_#035	Je crains de n'être guère à la hauteur,\ntoutefois... Je manque d'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nPour commencer, vous pouvez essayer d'être\nun peu moins guindée. Si vous avez des\nquestions à me poser, parlez sans vous gêner.\x0E\x04\x02\x00
MID_RELIANCE_A_#037	À part ça, il s'agit simplement d'être présentes\nl'une pour l'autre en cas de besoin. Alors,\nqu'en dites-vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nマデリーン\nParfait. Ce serait parfait.\x0E\x04\x00\x00
