MID_WU_C_1_IN_#001	Coucou, me voici.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Je vais vous encourager. Fort !\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Hé hé !\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Vous savez quoi. Ce n'est pas grave.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Continuez de dormir.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Je vais vous border et vous laisser dormir.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Bonjour, Votre Divinité.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Je sais bien que vous\navez les paupières lourdes.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Mais je vous promets qu'une\njournée superbe nous attend !\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Je pensais vous trouver ici.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Ha ha, je vous connais trop bien.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Vous n'êtes pas gêné\x0E\x0A\x00\x06
MID_WU_S_2_SOON_#002	Ooh...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Je suis votre plus grande fan. Vous n'avez\nrien à craindre.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Vous dormez à poings fermés.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Exactement comme quand je veillais sur vous.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Je voudrais vous dire quelque chose.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Tout ce temps où vous dormiez...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Au fond de moi, je savais que\nnous serions allié\x0E\x0A\x00\x06
MID_WU_S_2_HELLO_#001	Ha ha, bonjour !\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Je pensais vous laisser dormir,\nmais j'ai changé d'avis.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Votre plus grande alliée vous attend !\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Allez, debout !\x0E\x04\x00\x00
