MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nJe ressens la chaleur des sentiments que vous\nportez à votre frère, et cela me fait dire que\nnous allons nous entendre à merveille.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nOn m'a laissé entendre que vous étiez capable\nde dire la bonne aventure, Micaiah. C'est\nfascinant ! J'ai hâte de deviser avec vous.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nEt moi également, Zelestia. Je vois déjà en\nvous... de la bonté et de la compassion.\nDes qualités qui ne vous quitteront jamais.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLoin de moi l'idée de vouloir vous offenser,\nmais vous semblez bien trop humble pour\ncommander des armées entières.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nVous n'êtes pas la première à penser cela,\net si l'on m'a portée en triomphe, c'est de\nmanière fortuite.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVous avez donc reçu les plus grands honneurs\npar le passé. Dites-moi, comment était le maître\nque vous étiez chargée de protéger ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nC'était un souverain bienveillant. Il pensait\navant tout au bien de ses sujets, au point qu'il\nm'arrivait de craindre qu'il manque de poigne.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nC'est le revers de la médaille, pour qui fait\npreuve de bonté. En temps de paix, je gage\nqu'on l'aurait loué pour sa sagesse.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nMerci de vous être ainsi ouverte à moi.\nEt si nous évoquions des sujets plus légers\nla prochaine fois, comme nos plats préférés ?\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nJe vous remercie pour votre aide lors de notre\ncombat, Gregory. Je sais désormais que je peux\ncompter sur vous.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nC'est gentil de votre part, mais je ne m'y\nhabituerais pas trop, si j'étais vous. Je finirai\nbien par vous décevoir un jour ou l'autre.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nJe vous félicite, vous avez su battre en retraite\nquand la situation l'imposait. J'aimerais pouvoir\nfaire preuve d'autant de discernement.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nAttention, si vous continuez à me lancer des\nfleurs comme ça, je vais finir par croire que\nje commence à devenir utile...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJ'ai appris que vous aviez été contrainte\nde prendre les armes dans votre monde.\nPourquoi ne pas vous être enfuie ?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nÇa m'était tout bonnement impossible. Mais il\ns'est passé quelque chose, alors que j'allais\nau-devant de combats perdus d'avance...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nJ'ai... changé. Il le fallait, si je voulais avoir\nune chance de survivre. J'avais la violence\nen horreur, mais j'ai continué malgré tout.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nMalgré votre douceur, vous êtes une vraie\ncombattante. Enfin, s'il vous prend l'envie de\nfuir un jour, ce n'est pas moi qui vous jugerai.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nEst-il vrai que vous possédez le don de prédire\nl'avenir ? Voilà qui doit vous donner un\navantage certain sur le champ de bataille.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nAu risque de vous décevoir, je n'entrevois\nle futur que d'une manière très vague.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nMadeline, je m'inquiète pour vous...\nComment se porte votre blessure ?\nLaissez-moi voir cela de plus près.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nJe vais mieux, merci. Oh ! Sans même\npouvoir les toucher, je sens que vos\nmains sont chaudes.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nJe trouve que mon entraînement laisse à\ndésirer, ces derniers temps. Auriez-vous\ndes conseils pour m'aider à m'améliorer ?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nIl n'existe aucun moyen rapide de perfectionner\nson art, il faut simplement faire de son mieux\nchaque jour.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nEt si j'en crois l'ardeur avec laquelle vous\nprotégez les vôtres, je suis déjà convaincue\nque vous faites un grand chevalier.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nJe ne puis accepter de tels compliments\nd'ordinaire, mais cela me va droit au cœur.\nJe poursuivrai mes efforts !\x0E\x04\x00\x00
