MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Pas mal...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu prétends ne rien faire de particulier pour\nobtenir cette musculature dodue.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est donc dans ta façon de vivre que\nse cache ton secret ! C'est pourquoi j'ai\ndécidé de t'observer !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nJe vois. C'est logique... Enfin, il y a\nune certaine logique.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nRavi de voir que nous sommes sur la même\nlongueur d'ondes. C'est parti !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nVa, mène ta vie ainsi que chaque matin. Oublie\nque je scrute chacun de tes mouvements.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nSoit. Si Son Altesse n'y voit pas d'inconvénient,\nje vais commencer par finir ma nuit.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe t'en prie. Je m'installerai ici pour\nprendre des notes.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x04\x03\x04
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nMidi. Boucheron bouquine. Je vois pas en\nquoi ça développe les muscles.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nLa reliure du livre n'est même pas renforcée.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nNon... Non ! Snif... Pauvre, pauvre petit Fifi !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm, et voilà qu'il se met à pleurnicher !\nPetite nature !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x04\x03\x04
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe crois que je tiens quelque chose... La pêche,\nbien sûr ! C'est sans doute la clé de ces muscles\nsaillants !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\nHa ha ! Par ici, le petit poisson !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais quand même, c'est curieux. On ne risque\npas de suer des masses en restant assis,\nune canne à la main.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nCeci dit, ça a l'air divertissant.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x04\x03\x04
MID_RELIANCE_B_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe n'y comprends rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe t'ai observé toute la journée et je n'ai pas\nvu la moindre goutte de sueur perler à ton front.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0C\nブシュロン\nJe suis navré que vous n'en ayez rien tiré.\nVous avez gaspillé votre journée avec moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, je n'ai rien gaspillé du tout ! J'ai même\nappris beaucoup de choses !\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe me suis notamment rappelé à quel point\nil était agréable de passer du temps en\ncompagnie d'un vieux copain.\x0E\x04\x00\x00
MID_RELIANCE_B_#032	\x0E\x03\x02\x0C\nブシュロン\nCes paroles me vont droit au cœur,\nPrince Alfred.\x0E\x04\x00\x00
MID_RELIANCE_B_#033	\x0E\x03\x02\x0E\x0Cアルフレッド\nMon seul regret, c'est d'avoir passé la journée\nà observer tes activités au lieu de me joindre\nà toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#034	\x0E\x03\x02\x0C\nブシュロン\nHa ha ! N'hésitez pas à partager mon quotidien\ncomme il vous plaira. Ce sera amusant, en effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nCe n'est pas aussi facile que ça en a l'air\nde pêcher, hein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu n'aurais pas un tuyau pour moi ?\nUne technique spéciale de contraction\noptimale du biceps ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nブシュロン\nJe regrette, mais je n'ai qu'une chose en tête\nlorsque je pêche : le flotteur.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt donc, tu fais comment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\nIl faut être patient, j'imagine.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nLa patience. Compris. Alors c'est parti,\nsoyons patient.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nDe la patience... De la patience...\nDe la PATIENCE !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nGrrr...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai une meilleure idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nOn va trouver un gros filet, le jeter à l'eau,\net avec tes gros biscotos, on le remontera\nà l'aise.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nImagine la montagne de poissons qu'on\nattrapera comme ça, et d'un seul coup !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\nNotre butin serait certes considérable.\nMais votre idée relève davantage du\nchalutage que de la pêche.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nCertes. Je te l'accorde.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nSi la pêche vous ennuie, retournez à vos\nactivités. Je n'en prendrai pas ombrage.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa ! Tu lis en moi comme dans un livre ouvert.\nC'est vrai, ça ne me réussit pas tellement de\nrester immobile.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais pas question de renoncer à la pêche\npour si peu !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nブシュロン\nEt pourquoi pas, si je puis me permettre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nParce que c'est une façon de partager\ndu temps avec toi, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nOh... Je comprends.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nOn a toujours été proches, mais ça fait un bail\nqu'on a plus passé un bon moment, juste tous\nles deux.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlors les instants comme celui-ci,\nje veux les savourer.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est pourquoi je vais m'asseoir et continuer\nà pêcher. Et si je remonte pas le plus menu\nfretin, ça m'est égal.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nAh.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nVous savez, à propos de mon physique...\nje suppose que je bénéficie simplement d'une\nmorphologie naturellement musculeuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nMais je me réjouis d'avoir reçu ce don s'il me\npermet d'assurer votre sécurité.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nBoucheron ! Ça mord !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nVous tenez là un gros poisson, à mon avis.\nNe le laissez pas s'échapper.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe fais ce que je peux !\nMais j'ai peur que la ligne ne rompe !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nJe vais vous aider. Nous remonterons\nce poisson ensemble !\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cアルフレッド\nAvec toi, ce sera un jeu d'enfant !\nPrépare-toi à goûter au grand air, petit poisson !\x0E\x04\x00\x00
