MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nAuriez-vous un instant à m'accorder,\nBoucheron ? Vous m'en voyez fort contrite.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh ! Pourquoi les spécialités firéniennes\nsont-elles aussi glissantes ? Elles ne daignent\npas adhérer à ma fourchette...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nCe morceau est trop gros. Tu ferais mieux de te\nservir du couteau. C'est tout de suite plus\ndistingué.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nDonc, je coupe en petits morceaux... Ma foi,\nc'est fort ardu...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nJe sais bien que ce n'est pas ton fort, mais\nj'étais loin de me douter qu'il t'en coûtait\nautant.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パネトネ\nJe ferais bien d'ingérer de l'eau pour me calmer\nles nerfs.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\nNon, attends ! Ce bol sert à se rincer les doigts.\nCe n'est pas fait pour boire !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パネトネ\nBeurk ! C'est d'une fourberie sans nom !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nComment faisais-tu donc quand tu partageais\ntes repas avec la famille royale de Solm ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nJe me suis toujours débrouillée en imitant\nles autres.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nC'est tout à fait admirable.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\nHélas, j'ai bien peur de ne jamais pouvoir\nmaîtriser les règles de bienséance...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nNe t'avoue pas vaincue. Ce n'est jamais simple\nd'apprendre ces choses-là.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パネトネ\nEn vérité, j'ai grandi dans une famille loin des\ncanons du maintien convenable.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パネトネ\nEt dire que je pensais pouvoir me glisser dans\nl'épiderme d'une noble... Quelle arrogance !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nTon éducation n'a aucune importance. Si tu es\ndisposée à apprendre, je suis ton homme.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nOn n'est jamais à l'abri d'une maladresse, mais\ntu peux compter sur moi pour t'aider.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\nÀ la vérité ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nMais naturellement ! On apprend toujours de\nses erreurs, pas vrai ? Reprenons du début.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08パネトネ\nVous avez amplement raison. Quelle idée de\nse laisser abattre comme je le fais !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パネトネ\nÀ partir de maintenant, je vais bomber la tête !\nVous pouvez compter sur moi, Boucheron !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nAvant de se repaître, il faut se tenir droit\net réciter une oraison.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nEnsuite, la coutume firénienne veut que l'on\nadresse sa gratitude aux aliments eux-mêmes.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nRemercier la faune et la flore qui composent\nchaque mets... Quelle tradition enjôleuse !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x02\x0C\nブシュロン\nAh... Tu révises les règles de bienséance que\nnous avons passées en revue l'autre jour ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nAffirmatif ! Veuillez observer, je vous prie !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nVoyez comme je tiens ces couverts d'une main\nvirtuose pour dévorer ce plat !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nEn exploitant les ustensiles à l'extérieur et\nen coupant en menus morceaux...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nEt voilà le résultat !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nブシュロン\nBravo, Panette ! Tu es encore un peu\nhésitante, mais tes progrès sont notables.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nMerci, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\nMon apprentissage de l'étiquette avait toujours\nété placé sous le signe de la désespérance.\nJe voulais me libérer de mon passé.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nMais grâce à vos enseignements, j'ai enfin pu\ntravailler mes bonnes manières dans la joie\net la félicité !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nJe vous dois entièrement ma réussite.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nOh non, tu t'es donné beaucoup de mal. Tout\nle mérite te revient. Je suis fier de toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nÀ mon tour d'apprendre l'étiquette solmoise !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nブシュロン\nNe me dis pas que tu as oublié. Il était question\nd'apprendre à tour de rôle les traditions de\nchaque pays.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nAh, oui, ça me revient.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\nEh bien, Solm est un royaume plutôt baroque.\nLa noblesse n'est pas particulièrement à cheval\nsur les principes.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パネトネ\nEn fait, il est de bon ton de privilégier la foire et\nla joyeuseté en bonne compagnie. Danser,\nchanter, ce genre de choses...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パネトネ\nNaturellement, il faut parfois aussi se tenir raide\ncomme un piquet, selon la situation.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nHmm. Voilà qui est intéressant !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nブシュロン\nChaque pays a ses traditions, mais nous avons\nquelque chose en commun.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パネトネ\nLa gentillesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nExactement. C'est la base de l'étiquette,\nquel que soit le pays où l'on se trouve.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nEt en matière de gentillesse, tu fais\nun sans-faute, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パネトネ\nPareil pour vous, mon cher Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nJe ne l'aurais jamais compris sans toi,\nalors je t'en remercie.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08パネトネ\nEt merci à vous également. Il faut croire que\nmon sang bleuit de jour en jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nÀ propos de sang bleu, je suppose qu'il y a\nd'autres règles qui s'appliquent à la noblesse\nde Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08パネトネ\nTout à fait ! Il ne reste plus qu'à poursuivre\nensemble les leçons sur l'art de la gentillesse.\x0E\x04\x00\x00
