MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0A\x08リュール\nÇa alors. Aurais-je la berlue ?\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06マルス\nC'est donc bien ce que je soupçonnais.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0C\nヴァンドレ\nQue croyez-vous que cet anneau puisse être ?\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x08\x06マルス\nL'Anneau du Pacte. Il appartient à la reine\nLumera, et renferme son pouvoir.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nQue savez-vous d'autre sur l'Anneau du\nPacte, Marth ?\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06マルス\nLumera a une fois déclaré que les Dragons\ndivins donnaient un anneau spécial à la\npersonne en qui ils avaient le plus confiance.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06マルス\nCet anneau renforce le lien qui les unit\net les rapproche encore davantage.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x08\x06マルス\nIl confère des pouvoirs spéciaux tant au Dragon\ndivin qu'au récepteur de l'anneau, avec qui\nle pacte est conclu.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nAlors... Mère a un jour donné cet anneau à\nune personne en qui elle avait confiance ?\nAvec qui elle était liée ?\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x08\x06マルス\nJe le suppose. Mais ses amis et alliés\nn'ont pas survécu à la guerre.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x08\x06マルス\nAlors nous ne pourrons jamais savoir à qui\nelle l'a donné... si elle l'a effectivement donné.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nMère...\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x08\x06マルス\nMais nous savons que de son vivant, vous étiez\nla personne la plus importante à ses yeux.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x08\x06マルス\nCet anneau vous revient, j'en suis persuadé.\nÀ vous de le donner à l'allié en qui vous\nportez toute votre confiance.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nJe réfléchirai longuement avant de décider\nqui est digne de le porter.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNotre arrivée en ces lieux doit être l'œuvre\nde Sa Majesté Lumera.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08リュール\nC'est une pensée réconfortante d'imaginer\nque Mère veille sur moi. Mais la bataille qui\ns'annonce est la mienne. Je dois être fort\x0E\x0A\x00\x06
MID_ED1_#020	\x0E\x03\x02\x0A\x08リュール\nAllons-nous-en. J'aimerais tant rester, mais...\nnous avons encore beaucoup à faire.\x0E\x04\x00\x00
