MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nHm hm hm...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nOh non ! C'est mon plat préféré !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nJe sais !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nOh, j'ai autre chose. Celui-ci est glacé au miel et\naccompagné d'une sauce crémeuse au fromage.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nAah ! C'est mon autre plat favori !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nPrincesse Timerra, pourquoi faites-vous cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nPourquoi avoir préparé les plats auxquels j'ai\nle plus de mal à résister ? Qu'avez-vous derrière\nla tête ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nMon idée, c'est que tu devrais manger\nautre chose que de la nourriture insipide.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nQuoi ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nVous ne comprenez pas ? Ma vie entière repose\nsur une discipline rigoureuse. Ma danse en\ndépend, ici et sur le champ de bataille !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nÉcoute-moi. En tant que future reine de Solm,\nje ne souhaite que le bonheur de mes sujets.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nAlors je te le demande... Qu'est-ce qui te\nrendrait heureux ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nEn cet instant, ce qui me rendrait heureux...\nc'est de manger ce qu'il y a devant moi sans\nen laisser une miette.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nAlors pourquoi te priver ? Fais ce qui te rend\nheureux !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nÉcoute. Savoure ce délicieux repas avec moi,\net ensuite...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nJe danserai avec toi. Tu verras, ce sera\nsuper. Tu es d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nMais, Princesse Timerra...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nミスティラ\nAllons, un petit plaisir n'a jamais fait de mal à\npersonne. Tu n'es pas de mon avis ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セアダス\nSi. Vous avez raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セアダス\nMerci. Hmmmm... Regardez un peu les plats\nincroyables que vous avez préparés pour moi...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nAllez, il est grand temps que j'y goûte.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nミスティラ\nVoilà comment il faut voir les choses !\nProfites-en avant que ça ne refroidisse !\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08セアダス\nQue la fête des saveurs commence !\x0E\x04\x00\x00
