MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nJe me bats pour sauver le monde qu'aimait\nma mère, mais j'ai besoin de votre aide, Leif.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nEh bien oui ! Il faut s'assurer qu'\x0E\x0A\x00\x10\x04il\x08elle puisse se\nreposer tranquillement, et cela demande bien\ndes efforts.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nJ'ai entendu Framme dire le mot « vénérable ».\nEst-ce plus fort qu'« appréciable » ?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nOui, effectivement.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nCela revient à dire qu'on a beaucoup de respect\npour quelqu'un en raison de sa grande sagesse.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06リーフ\nJe vois. Ce mot est donc associé à des\nsentiments très forts. Je tâcherai de l'utiliser\nquand l'occasion se présentera.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nVous avez l'air extrêmement concentrée.\nQu'est-ce qui peut bien vous préoccuper\nà ce point ?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nJe prépare une tenue en l'honneur du\nDragon divin !\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nAujourd'hui encore, vous vous entraînez,\nFramme ? Vos efforts incessants sont\ntout à fait remarquables.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nIl faut que je sois en forme pour prier\nSa Divinité. Mes prières sont dignes des\nplus grandes performances athlétiques !\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06フラン\nBon, maintenant, on a plus qu'à attendre que\nSa Divinité passe par ici...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nOui. On a une vue bien dégagée.\nMais vous croyez vraiment que\nj'ai bien fait de vous emmener ?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06リーフ\nBien sûr ! Et d'ailleurs, c'est moi qui vous\nl'ai demandé. Je suis curieux de découvrir\nvotre manière d'observer votre culte.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06リーフ\n\x0E\x0A\x00\x10\x04Il\x08Elle arrive ! Allons-y, Framme. Ce sera\nle meilleur angle pour \x0E\x0A\x00\x0C\x04le\x04la regarder, vous\nne croyez pas ?\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNng, ngh, hyah... Et encore un entraînement\nmatinal rondement mené !\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06リーフ\nQuelle détermination doit être la sienne pour\ns'entraîner ainsi dès l'aube... Je dois suivre\nson exemple.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nPourquoi regardez-vous votre bras avec tant\nd'insistance ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nJuste un petit colloque entre mon corps et moi.\nMes bras sont formels : tout va pour le mieux.\nEt vous, comment allez-vous, Leif ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJe le dissimule du mieux que je peux, mais\nj'étais un enfant maladif. Ma mère se faisait\nun sang d'encre pour moi.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06リーフ\nJ'en conclus que c'est votre entraînement\nintense qui vous a valu cette santé de fer ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nÀ n'en pas douter. Je m'y adonne avec sérieux\net ne manque jamais la moindre séance.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06リーフ\nJ'aurais beaucoup à apprendre de la\ndétermination avec laquelle vous surmontez\nles problèmes sans jamais baisser les bras.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nBoucheron ? Que faites-vous ici ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nLe cheval qui me servait de point de repère\ns'est enfui. Pouvez-vous m'indiquer comment\nrejoindre le prince ?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nAvez-vous à nouveau perdu votre chemin ?\nAlfred vous cherchait.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nC'est ce que tout le monde me dit. S'il ne reste\npas au même endroit, on risque de tourner en\nrond à n'en plus finir.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nブシュロン\nVous n'êtes pas trop occupé, Leif ?\nVous voulez venir pêcher avec moi ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06リーフ\nBonne idée. Le temps est idéal pour ça.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06リーフ\nEt vous aurez besoin de moi pour éviter de\nvous perdre en route.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nHa ha ha, je plaide coupable. Que ce soit sur\nle champ de bataille ou en dehors, je serais\ntoujours perdu sans vous.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nEtie, vous allez bien ? J'ai entendu un drôle\nde bruit.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nDésolée ! J'y suis allée un peu fort en\nm'entraînant et j'ai abattu un mur sans\nfaire attention.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVous m'avez l'air un tantinet nerveux... Vous\nsavez ce qui fait des miracles dans ces cas-là ?\nLe soulevé de poids !\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06リーフ\nJe peux toujours essayer. Je me vois mal\ndévelopper le moindre muscle, mais ça pourrait\nquand même me donner un coup de fouet.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nQuand je vois tout ce que vous vous imposez\nau nom de l'entraînement, ça me fait presque\npeur.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nCe n'est pas pour les demi-portions, on est\nd'accord. Mais j'ai une arme secrète !\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nUn baume musculaire firénien. Ça décuple\nles effets de l'entraînement, et ça marche\npour tout le monde !\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06リーフ\nMais même cette pommade ne vous dispense\npas de vous entraîner... Si seulement il existait\nun moyen de ne pas se fatiguer du tout...\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe dois solliciter votre aide, Leif, si je veux\nprotéger ma bien-aimée Firene... et plus\nencore, le monde entier.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06リーフ\nElle vous est acquise, Céline. Combattons\nensemble pour assurer la sécurité du peuple\ndans un monde de paix.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nPrendrez-vous le thé avec moi ? J'ai justement\nfait l'emplette des feuilles les plus raffinées\nde Firene.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06リーフ\nLeur senteur est incroyable. Elle évoque les\nfleurs, le soleil, toute la richesse de cette terre\nfertile...\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nQue nous vaut cette excellente humeur ?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nUne nouvelle pousse est éclose dans\nles parterres de fleurs de la cour. Et j'ai\ndégusté un délicieux thé tout à l'heure.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nIl convient de chérir ces petites joies.\nJ'espère que vous ne me trouverez pas puérile.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06リーフ\nJamais ! Vous m'avez appris que le bonheur\nse bâtit par la lente accumulation de ces\nmenus plaisirs.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04ルイ\nY a-t-il quelque chose que je puisse faire pour\nvous, Leif ? Peut-être vous trouver quelqu'un\navec qui il vous sera agréable de discuter ?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06リーフ\nHum, ça ira, Louis. Mais merci de votre offre.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04ルイ\nJe viens de préparer du thé.\nLe dégusterons-nous ensemble\nen profitant du paysage ?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06リーフ\nIl sent merveilleusement bon, Louis. J'imagine\nque le « paysage » dont vous parlez désigne\nces gens que nous apercevons là-bas ?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nVous avez une mine bien funèbre aujourd'hui,\nLouis. Quelque chose vous tracasse ?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nOui. Malgré mes efforts répétés, j'éprouve\nencore quelque difficulté à me fondre\ntotalement dans le décor.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x08\x06リーフ\nAh, c'est pourtant un talent précieux pour\ntendre une embuscade. Hélas, je n'ai pas\nde conseil à vous prodiguer.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ルイ\nJe songeais davantage à pouvoir observer des\nscènes sans en gâter le naturel par ma présence.\nMais merci quand même.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クロエ\nAvec votre armure étincelante, vous ressemblez\nen tous points à un héros de conte de fées.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06リーフ\nJe n'ai toutefois rien d'un héros.\nCe rôle m'a été imposé par d'autres.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nQue mangez-vous, Chloé ?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nUn grand serpent cuit dans un bouillon d'herbes\nmédicinales. J'en ai un pincement au cœur de\nne pas pouvoir le partager avec vous.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クロエ\nDites, Leif... Ne vous surmenez pas,\ns'il vous plaît.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06リーフ\nD'où vous vient cette sollicitude subite ?\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nEh bien, vous avez l'air tendu en permanence.\nMais vous pouvez vous détendre ! Je suis là\npour vous, vous savez.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06リーフ\nJe crois que je ne me suis pas encore\ncomplètement acclimaté à ce monde. Mais\navec votre aide, j'y parviendrai. Merci, Chloé.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nC'est un grand honneur de m'entretenir avec\nvous, Leif. Il y a de nombreux points que je\nsouhaite aborder au sujet de mon royaume...\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06リーフ\nJ'ai moi aussi hâte de travailler avec vous,\nDiamant. Je serai heureux de vous aider\ndu mieux que je peux.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nLe peuple d'Elusia nourrit de profonds\nressentiments envers mon pays. Il me\nfaut instaurer la paix entre nos nations.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06リーフ\nRien ne presse. Je suis sûr que vous êtes le\nplus à même de trouver une issue, mais ces\nchoses-là ne se font pas du jour au lendemain.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nPour être franc, je ne suis pas aussi sûr de moi\nqu'on ne le croit... C'est quelque chose dont\nje n'ai jamais parlé, pas même à Alcryst.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06リーフ\nJe manquais moi aussi d'assurance à une\népoque... mais mes amis m'ont aidé en me\nmontrant la voie, et mon cœur s'est affermi.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06リーフ\nVous avez d'excellents amis vous aussi,\nDiamant. Poursuivre cette quête vous\nrendra plus fort. Et puis je suis avec vous.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nMerci, Leif. Je tâcherai de devenir un roi\naussi avisé que vous... Le Souverain Éclairé\nen personne.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アンバー\nJe suis Amber, l'un des vassaux du prince\nDiamant ! J'ai pas mon pareil pour amadouer\nles alpagas !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06リーフ\nUn expert dans l'art d'amadouer les alpagas...\nQu'on ne me demande pas pourquoi,\nmais ça fait plaisir à entendre.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nVous semblez être de belle humeur\naujourd'hui, Amber. Auriez-vous reçu\nquelque agréable nouvelle ?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nJ'ai trouvé la recette d'une potion secrète\nlégendaire qui donnerait de l'énergie\nà l'infini ! Vous voulez la voir, Leif ?\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アンバー\nJe voudrais former un bataillon entier d'alpagas,\nmais je n'arrive pas à convaincre le prince\nDiamant...\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x08\x06リーフ\nHmm... Il est vrai qu'à sa place, je préférerais\nles chevaux. Des alpagas pourraient renâcler\nà la mobilisation.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06リーフ\nMais quels sont les avantages que les alpagas\nsont les seuls à posséder ? Vous pourriez le\nconvaincre en lui présentant ces arguments.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nOh, les avantages ne manquent pas ! Déjà, eh\nbien... Ils sont très mignons ! Les ennemis\nn'auront plus le cœur à se battre !\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nJade ? Je sens le poids de votre regard...\nJ'ai quelque chose sur le visage ?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nHein ? Non, désolée, Leif. Je poursuivais en\npensée une idée de roman... Mais elle m'a\néchappé.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nQu'est-ce qui vous arrive, Jade ? On dirait\nque quelque chose vous met en rogne.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nHein ? Non, tout va bien. En fait, je suis même\nd'excellente humeur. Ça se voit donc si peu ?\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLeif ? Auriez-vous un moment ?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06リーフ\nOui, j'ai justement un peu de temps.\nDe quoi voulez-vous me parler ?\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai besoin d'un rebondissement pour mon\nprochain roman. Connaîtriez-vous une histoire\nde votre monde susceptible de m'inspirer ?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06リーフ\nAh, je comprends ! Bien sûr, je serais ravi de\nvous aider. Commençons par l'histoire des\ndouze croisés...\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nBonjour, Alcryst. Profitez-vous comme moi\nde ce temps clément ?\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nC'est à moi que vous parlez ?! Oh, Leif,\nvotre bonté de cœur me rend nerveux...\nJe n'en suis pas digne.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nPourquoi restez-vous si loin, Alcryst ?\nJe vous en prie, approchez-vous un peu.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nTant de majesté... Tant de prestance... Hein ?\nOh ! Non merci, Leif. Je suis bien, ici, à\ndistance respectueuse.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nスタルーク\nBrodia est célèbre pour ses précieuses gemmes,\nmais je me bats pour notre peuple. C'est lui,\nle vrai trésor.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06リーフ\nVous pensez comme un vrai chef. Les citoyens\nde Brodia doivent être fiers de vous, Alcryst.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nNon, c'est impossible. Comment pourraient-ils\nl'être ? Si nos citoyens sont des gemmes, je suis\nquant à moi... un caillou.\x0E\x04\x00\x00
