MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n« Ici tout va bien. Comment allez-vous,\nà la maison ? »\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nOh ! Une minute... C'est une lettre ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nOui.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nOups, je suis désolée ! Tenez, reprenez-la !\nJe l'ai pas lue !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nCe n'est pas grave. Je ne l'ai pas vraiment\ncommencée, il n'y a pour ainsi dire rien à lire.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nVous avez décidé d'écrire une lettre ?\nVous étiez tellement contre, l'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nJe me suis senti... obligé de prendre un crayon\net du papier.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nMais maintenant, je ne sais par où commencer\nni quoi raconter.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nOh, ne dites pas de bêtise !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nDites-leur simplement ce que vous faites ces\ntemps-ci. Ils veulent savoir si vous êtes encore\nen vie !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06フラン\nJe vous aiderai à le faire, si vous voulez.\nMais écrivez cette lettre, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06カゲツ\nFramme... tu es adorable.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nT'inquiéter ainsi pour moi et ma famille,\nc'est exemplaire. Merci.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nAvec ton soutien, je ferai face à cette feuille\nblanche et je la vaincrai sans conteste.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nTiens, Kagetsu. Vous en faites, une tête !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nBonjour, Framme. Tu veux sans doute dire\nque j'ai l'air triste.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nIls n'ont pas encore répondu à votre lettre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nNon.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nMa famille semble avoir fait une croix\nsur moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nNon ! Il a dû y avoir un problème pendant\nl'acheminement de la lettre.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nPeut-être. Peut-être devait-il en être ainsi.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nEt je doute d'avoir le courage de lire\nleur réponse si je la recevais.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nHé, vous vous souvenez de ce type qui a fait\nface à une feuille blanche et l'a vaincue ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nEt puis, la réponse est peut-être encore en\nchemin ! Il est trop tôt pour abandonner.\nAyez confiance !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nQue j'aie confiance...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nAttendez encore un peu, d'accord ? Et ensuite,\non écrira aussi une réponse ensemble !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nTu as raison. Je me suis montré impatient.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nEn attendant, si tu me montrais la lettre\nque tes parents ont écrite ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nHm ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nCette lettre que tu tiens dans les mains.\nN'est-ce pas ce que tes parents t'ont envoyé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nJe suis curieux de voir ce que ta famille raconte.\nSi tu me le permets, bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nOh, euh, si vous voulez. Ce ne sont sans doute\nque les nouvelles habituelles.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nSi je peux juste regarder de quoi il s'agit...\nHmm... Hmm hmm... Ah !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nPourquoi cet air surpris ? Hm, montre-la-moi...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nVander nous a tout raconté... Arrête de faire\nl'idiote... Entraîne-toi plus sérieusement...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06カゲツ\nIls te réprimandent !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06フラン\nAah ! Arrêtez de lire !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06カゲツ\nHm. On dirait que tu as besoin de mon aide\npour t'entraîner...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\nNon, c'est inutile !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06カゲツ\nTu m'as aidé à écrire ma lettre.\nJe te suis redevable.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06カゲツ\nC'est un soutien réciproque entre amis,\nvoilà tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nJe préférais quand on parlait de\nvos problèmes...\x0E\x04\x00\x00
