MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nEst-ce que ce serait... Non, c'est impossible.\nEt pourtant, les similarités sont telles...\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x08\x06カムイ\nLa peine qui m'a alors submergée aurait pu\nfacilement m'engloutir si je n'avais pas été\naidée.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x08\x06カムイ\nJ'ai eu la chance d'avoir des amis qui m'ont\nsoutenue et m'ont permis de retrouver mon\nchemin.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06カムイ\nComme eux, Yato m'a accompagnée tout le\nlong de ce chemin.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nJe comprends ce que vous ressentez.\nJe le comprends même très bien...\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06カムイ\nVous serez peut-être amené\x0E\x0A\x00\x06
MID_ED1_#012	\x0E\x03\x02\x08\x06カムイ\nMais à travers la souffrance, n'oubliez pas que\nje suis à vos côtés, et que je vous aiderai à\nretrouver votre chemin.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nJe ne l'oublierai pas, même dans les moments\nles plus sombres. Je ne suis pas seul\x0E\x0A\x00\x06
MID_ED1_#014	\x0E\x03\x02\x08\x06カムイ\nAlors, vous surmonterez tout.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nMerci, Corrin, de m'accompagner sur le chemin\nque j'ai choisi.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
