MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nVotre présence me remonte toujours le moral,\nMicaiah. Je pense que c'est ce doux sourire\nque vous portez en permanence.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nブシュロン\nHo ho ho, j'aime pêcher. Une fois ma ligne jetée,\nje peux rester assis sans penser à rien.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nJe vois ce que vous voulez dire. En ce qui me\nconcerne, c'est dans l'ombre des forêts que\nje peux me détendre ainsi.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nVous semblez un peu déprimé.\nQuelque chose ne va pas ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nEh bien, le prince Alfred a encore dit qu'il\nétait jaloux de ma carrure.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nIl aurait voulu « échanger tout ce qu'il y a\nen dessous du cou ». Maintenant, j'ai cette\nimage en tête.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nHi hi, je peux comprendre pourquoi il a dit ça,\nmais je vous trouve tous deux très bien comme\nvous êtes.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nQuel est donc ce breuvage que vous ingurgitez\naprès chaque séance d'exercices ? J'ai vu\nAlfred avaler la même chose.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nC'est une boisson spéciale à base d'œuf cru.\nSi je ne fais pas fausse route, ça devrait aider\nà développer la masse musculaire !\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nQuel parfum agréable... et quelles splendides\nfleurs. L'endroit où vous avez grandi est réputé\npour ses jardins, n'est-ce pas ?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nOui, il m'arrive d'ailleurs de faire venir des\nfleurs. Même si c'est compliqué ces temps-ci,\navec la guerre.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nOh... Vos abdominaux sont si robustes.\nCela a dû vous valoir bien des efforts.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nOui, on peut dire ça. Avec mes muscles,\nc'est parfois l'amour vache.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nPourquoi dites-vous ça ?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nÀ cause de tout ce que je leur inflige ! Plus\nle programme est ambitieux, plus l'euphorie\nde l'épuisement est intense, ensuite.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nAinsi, vous étiez en Firene durant tout ce temps,\nMicaiah ? Mère m'a surprise en me dévoilant\ncela.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nOui, on gardait le secret autour de mon Anneau\nd'Emblème. Mais je suis bien contente qu'il soit\néventé et qu'on puisse enfin discuter !\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nDe simples prières ne sauraient suffire à\ninstaurer la paix. Nous devons poursuivre\nle combat, aussi périlleux que soit le chemin.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nVous avez raison. Nous devons présenter\nun front uni. Je vous épaulerai tout du long,\nCéline.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nEst-il vrai que l'avenir peut se révéler à vous ?\nCela vous est-il un fardeau ou une bénédiction ?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nIl m'est arrivé d'être en proie à des visions\ndésagréables, si c'est ce que vous voulez dire.\nJ'avais alors bien du mal à rester positive.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nMais toutes ne se réalisent pas. Nous avons\nle pouvoir de modeler notre propre avenir.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nDavantage que vos dons de clairvoyance,\nil me semble que c'est votre inexpugnable\noptimisme qui vous rend unique.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nVous avez des frères cadets, n'est-ce pas ?\nS'ils sont à l'image d'un certain garçon que\nj'ai connu, ils ne doivent pas être faciles à vivre.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nAh, comme je jalouse ce garçon dont vous\nparlez ! Mes jeunes années ont cruellement\nmanqué d'amitiés féminines.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x06\x04ルイ\nQuelle joie de porter les yeux sur vous, Micaiah.\nMon cœur ne se tient plus face à une créature\naussi radieuse.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, ce n'est pas tous les jours que ma simple\npersonne inspire une telle réaction ! Vous devez\nêtre d'humeur joyeuse.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nQuel était donc ce drôle de thé que vous avez\npréparé l'autre jour ? Il était si noir.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nDu thé noir en effet, infusé dans du jus\nde raisin. C'est ainsi que nous le faisons\nchez moi.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nDu jus de raisin ? Voilà une intéressante\nméthode. Y a-t-il une raison particulière à cela ?\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ルイ\nC'est une recette qui retarderait les outrages\ndu temps... Nous ne pouvons malheureusement\npas tous être des Emblèmes.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06クロエ\nEh bien, Micaiah, vous voilà radieuse !\nIl ne manque plus qu'un mignon petit oiseau\npour compléter le tableau.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nHi hi, merci ! Je dois dire que vous avez\nvous-même l'air de sortir tout droit d'un\nconte de fées.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06クロエ\nJ'ai trouvé du poisson salé et fermenté.\nIl paraît qu'il y a de quoi tomber à la renverse !\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nInutile que j'y goûte, je pense qu'avec cette\nodeur, j'y parviendrai sans trop de difficulté...\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nQu'est-ce qui vous a poussée à devenir\nchevalier, Chloé ?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nJ'aimais beaucoup l'idée qu'une jeune femme\nnoble enfourche un pégase pour protéger\nune princesse, comme dans les contes de fées.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nMais je prends mon devoir très au sérieux !\nJe me battrai pour que Firene connaisse la paix,\nsi vous acceptez de combattre avec moi !\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nCe conte de fées me plaît. Je serais heureuse\nd'y jouer un rôle.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIl paraît que la magie n'a nul secret pour vous,\nMicaiah. Et vous êtes une guérisseuse de talent\nde surcroît ? C'est impressionnant !\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nVoilà un éloge sans détour ! Je suis un peu\ngênée... mais vos paroles généreuses me vont\ndroit au cœur, Diamant.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nVous vous entraînez à nouveau ? Vous faites\npreuve d'une assiduité remarquable, Diamant.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nUn commandant ne peut s'octroyer le luxe d'un\njour de repos. Il faut s'entraîner au quotidien\npour mettre toutes les chances de notre côté.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEn tant que futur roi, j'ai étudié toutes\nles disciplines cardinales : la politique,\nl'économie, les arts martiaux...\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nPar contre, la magie... Je n'ai jamais su\nm'y prendre. Il semble que ce soit hors\nde ma portée...\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nAinsi... même le prince héritier de Brodia a des\npoints à améliorer. Voilà qui est surprenant !\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nSi c'est la magie qui vous pose problème, vous\npouvez compter sur moi. Je ne ménagerai pas\nma peine pour vous épauler au combat.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08アンバー\nMicaiah ! C'est vrai que vous avez d'autres\npouvoirs qui n'ont rien à voir avec votre état\nd'Emblème ? Je trouve ça génial !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nJe peux entrevoir l'avenir... Mais contrairement\nà ce que vous croyez, ce n'est pas toujours\nplaisant, ni génial.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08アンバー\nOn raconte que le désert de Solm abrite\nun oiseau orange très rare qui apporte le\nbonheur aux gens. Est-ce que c'est vrai ?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nJe l'espère bien ! J'aime beaucoup les oiseaux.\nJ'aimerais qu'un jour, nous partions ensemble\nà la recherche de cette créature légendaire.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08アンバー\nMicaiah, je me demandais... Vous n'avez\njamais froid, dans vos vêtements si fins ?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nLes Emblèmes ne connaissent pas ce genre\nde problèmes, mais votre sollicitude me touche.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nBon, si un jour, vous finissez quand même\npar avoir froid, je vous ferai venir un pull de\nmon village natal, tricoté en laine d'alpaga !\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nOh, merci, Amber. Je ne ressens peut-être\npas le froid, mais votre gentillesse ne manque\njamais de me réchauffer le cœur.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nOn dit que même un caillou ramassé sur la\nroute brillera tel un joyau si on le polit assez.\nCette pensée me donne du cœur à l'ouvrage.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nIl en va de même pour les gens. Mais à\nmes yeux, Jade, vous brillez déjà tel un joyau.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nDiamant se tordait de rire en lisant un roman\ntout à l'heure, et il m'a dit que c'était vous qui\nl'aviez écrit ! De quoi parle-t-il ?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nC'est une saga mettant en scène un dresseur\nd'alpagas. Je viens d'achever le cinquième\nvolume. Je crois que ça va bien marcher !\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIl paraît que vous étiez autrefois à la tête d'un\ngroupe de combattants pour la liberté appelé...\nla Brigade de l'Aube ? C'est bien ça ?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nOui. Mais nous n'étions pas aussi rayonnants\nque ce nom pourrait le laisser penser... Certains\nnous prenaient même pour des bandits...\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nVous ? On vous aurait prise pour un vulgaire\nbandit, du genre à lécher sa lame en grognant ?\nDésolée, mais... je ne peux pas le croire !\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nInutile de vous indigner ! C'est plutôt amusant.\nEt puis, malgré cette confusion, on s'accordait\nen général à nous trouver « vertueux ».\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nスタルーク\nJ'espère ne pas trop vous décevoir, Dame\nMicaiah. Je ne vaux rien comparé à mon frère...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nVous me rappelez quelqu'un. Mais en moins...\ndisons pudiquement « irrésolu ».\x0E\x04\x00\x00
