MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nYaaah !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nEt je ne me bats pas pour la victoire, mais\npour mettre un terme aux affrontements.\nUn combattant ne peut espérer mieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nJe sais pas si j'en suis capable.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nMalheureusement, il le faudra. C'est la seule\nmanière de changer un monde qui n'est régi\nque par le conflit.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nJe ferai de mon mieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\nSi vous m'aidez, Prince Diamant, j'y arriverai\npeut-être.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est précisément pour cela que nous nous\nentraînons ensemble. Pour faire grandir à la\nfois notre force et notre unité.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nÀ force de parler de bataille, je ferais bien un\nautre petit duel d'entraînement ! Qu'en dis-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nOn est là pour ça, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nExactement !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nTrès bien. Mais vous retenez pas, cette fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nCrois-tu que je me retenais jusqu'ici ?\nCe n'est vraiment pas dans mes habitudes !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nSi vous le dites. Mais si c'est vrai, il va falloir\nvous remuer un peu.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ha ! Alors là, tu ne perds rien pour attendre !\nEn garde !\x0E\x04\x00\x00
