MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nQu'est-ce qui vous arrive, Louis ?\nJe vous obsède, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nPas le moins du monde. Elles sont parfaitement\ndénuées de toute espèce de joliesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nBizarre ! Je savais que vous aimiez les raisins,\nalors j'ai pensé que ces petites choses vous\nplairaient.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nIl faut croire que les raisins de mer, ça plaît pas\nà tout le monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nD'abord, ce sont des algues, et non des raisins !\nJe n'ai que mépris pour ces viles usurpatrices !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nElles ressemblent à d'authentiques raisins,\nmais elles sont salées, tout comme ma\ndéception après les avoir goûtées.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nOh. Bah, moi j'aime bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nCe sont de mignonnes petites boules venues\nde l'océan, et elles ont un charmant goût marin.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nV-Vraiment ? Je vous présente mes excuses,\ndans ce cas.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nPourquoi vous excuser ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nJe tâche d'apprécier ce qui plaît à mes amis,\nautant du moins que je le puis.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nCependant, les raisins des mers sont au-delà\nde mes capacités !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nHa ha ! Pas de problème, Louis ! On peut aimer\ndes choses différentes et continuer à être amis.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nVraiment ? Dans ce cas, vous ne verrez pas\nd'inconvénients à ce que je continue à vous\nobserver ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nIl me serait odieux de renoncer à la\ncontemplation de mon cher Rosado\nvaquant à ses activités.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nBien sûr ! Préparez-vous à être ébloui\npar mon charme !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nConsidérez-moi comme ébloui d'avance !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nHé, Louis, ne bougez pas, s'il vous plaît.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nDu papier et de l'encre ? Vous livrez-vous\nau dessin ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nSi ma mémoire ne me trahit pas, vous avez\nun don pour représenter les paysages avec\nautant d'adresse que de promptitude.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nOuais ! C'est mon talent pas-vraiment-caché.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nMais quel est donc votre modèle ?\nLe décor qui nous entoure est plutôt morne.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nC'est vous, idiot ! Je vais vous dessiner.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nJe veux un tableau où nous apparaissons\ntous les deux. Je m'y ajouterai plus tard.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nMais un autoportrait ne serait-il pas plus\ncharmant, tout bien considéré ? C'est en\ntout cas ce qu'il me semble.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nOui, mais ce n'est pas ce que je cherche à\nfaire. Mon charme est plutôt mineur, cette fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nPlaît-il ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nJe veux un portrait dans lequel vous figurez,\nLouis.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nJe veux pouvoir songer à mon ami même\nquand il n'est pas auprès de moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nOh, Rosado. Voilà une touchante pensée !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nHé hé, je fais de mon mieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nVerriez-vous un inconvénient à ce que je porte\nun masque ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nUn masque ? Ce n'est pas parce que je ne me\nconcentre pas sur l'esthétique que je vais faire\nl'impasse sur votre visage !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nCe n'était qu'une modeste suggestion...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nGardez vos suggestions pour vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nD'habitude, les gens rougissent jusqu'aux\noreilles et murmurent « oui, oui ». Pourquoi\nêtes-vous si difficile ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nPardonnez-moi. Je suis bien évidemment ravi\nde faire partie de votre œuvre, mais je ne puis\nréprimer une légère gêne.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nOn ne me trouve guère de, euh... joliesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nJe vous arrête tout de suite, vous êtes\nla joliesse incarnée. Surtout quand vous\nprenez ce petit air gêné.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nCe n'est qu'un petit souvenir pour nous rappeler\nle bon vieux temps, rien de plus. Si vous n'en\nvoulez pas, ce n'est pas grave.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nMais vous me voyez, dans des années ?\nJe serai un vieillard, voulant à tout prix\nse rappeler son bon copain Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nSoit. Pour complaire à mon ami et assouvir\nsa passion, j'accepte mon destin.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ロサード\nMerci ! Et maintenant, restez immobile\nun moment, ça ne sera pas long.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ロサード\nUn jour, nous voudrons nous remémorer cet\ninstant, et nous aurons le tableau parfait\npour y parvenir !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nSi je dois endurer cette épreuve pour\ncommémorer notre amitié, je m'y prête\navec joie.\x0E\x04\x00\x00
