MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nBonjour, Votre Divinité ! Comment vous me\ntrouvez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nN'en soyez pas si sûr\x0E\x0A\x00\x06
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nNous verrons cela...\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0A\x08リュール\nVous êtes resplendissante ces derniers temps,\nHortensia.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe sais. Il se trouve que les gens apprécient\nqu'on soit gentil avec eux. Et que leur joie\nme fait rayonner de bonheur à mon tour.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nJe vois. Pas étonnant que les amis s'empressent\nautour de vous en ce moment...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nSans doute. Hé, attendez voir... Qu'est-ce\nque j'entends ?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nEst-ce une pointe de jalousie que je devine\ndans votre voix, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nQuoi ? Bien sûr que non !\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nHé hé, le Dragon divin est jaloux de moi...\nJe n'arrive pas à le croire. Mon ego vous\nremercie !\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais ne craignez rien. Aussi populaire que\nje devienne, je trouverai toujours du temps\npour vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nCar vous êtes quelqu'un de spécial pour moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nQuelqu'un de spécial ?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nAAH ! Mes efforts pour garder un air détaché\nen toute circonstance, anéantis en un instant !\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0E\x0Cオルテンシア\nPeut-on faire comme si vous n'aviez rien\nentendu ?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nCertainement pas !\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous êtes sans pitié.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nVous aviez raison, Hortensia. Je suis jalou\x0E\x0A\x00\x0A\x02x\x04se.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nJ'ai toujours apprécié les moments que nous\npassions ensemble. Je me désole qu'il y en ait\nmoins maintenant que vous êtes si populaire.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nDevant ce constat, ce que je devais faire m'est\napparu clairement.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est... l'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous me le donnez ?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nOui.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous n'avez pas idée de ce que ça représente\npour moi. Ce sera mon bien le plus précieux.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nJe suis en admiration devant la personne\nmerveilleuse que vous êtes devenue.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nÀ tel point que j'en viens à me dire qu'il va me\nfalloir faire des efforts pour être à la hauteur\nde votre bonté.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nNe soyez pas ridicule. Vous étiez déjà\nincroyable le jour de notre rencontre.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nEt vous avez encore réussi à vous\naméliorer depuis.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Continuez comme ça et vous allez\nfinir par me convaincre.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nParfait. Le plus tôt sera le mieux.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0E\x0Cオルテンシア\nAprès tout, si ce n'était pas la vérité, vous ne\nseriez pas quelqu'un de spécial à mes yeux.\x0E\x04\x00\x00
