MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nAaah... Quel enivrant fumet.\nUne odeur de fraîcheur et... de verdure.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nJe n'aime guère les fêtes. Je trouve cela\nexcessivement bruyant. Comme un plat où\ntrop d'épices seraient versées de concert.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08パンドロ\nAh, dommage. J'imagine que c'est le prix à\npayer pour avoir des sens aussi délicats\nque les tiens.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x06\x04ボネ\nJe veux que tu viennes me relater ce qui\nse passera. C'est là mon seul souhait.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08パンドロ\nAccordé, mon pote ! J'ai hâte de déguster\nton gueuleton des grands jours !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nAlors, Pandreo... Comment s'est passée\nla fête ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nMa pitance a-t-elle eu l'heur de plaire\nà cette critique gastronomique ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nOh, euh, carrément. Elle était très\nimpressionnée, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nMais ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nEh bien, pour être franc, c'est bien la seule\nqui était emballée.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nComment ? Mais j'y ai moi-même goûté,\nla saveur n'était rien moins que céleste.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nOh, ne me comprends pas de travers.\nC'était en effet excellent.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nC'était juste un poil trop... élaboré. Dans une\nfête, la nourriture est censée être facile à saisir\net à trimballer avec soi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nQuoi ? Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nEh bien, les gens aiment bien se mélanger les\nuns aux autres tout en mangeant. Là, on se\ncroyait à un repas guindé à la cour du roi.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nJ'aurais dû t'en parler. Après tout, je sais\nbien que tu n'y connais rien, aux fêtes.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nMais va pas te mettre martel en tête, c'est pas\ncomme si les gens n'avaient rien mangé.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nLe devoir sacré d'un chef est de concocter\nle plat qui sied à l'occasion où il est servi...\net j'ai échoué.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nJe ne me suis pas contenté de servir un plat\nmauvais. J'ai carrément... servi le mauvais plat.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nBunet, tu exagères.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nJe suis ton ami et je n'ai pas été à la hauteur.\nDe plates excuses ne sauraient suffire. Je t'en\nprie, moleste-moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パンドロ\nQuoi ? Mais non ! Tu t'es donné tant de mal\npour préparer ces plats, je ne vais pas te\ntaper dessus !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nJ'ai gâché ta fête, et pourtant, il demeure assez\nde place dans ton cœur pour me pardonner.\nTu es un véritable ami.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nPandreo, quand se dérouleront tes prochaines\nagapes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パンドロ\nTu veux te racheter, hein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nNon. En tout cas, pas tout de suite. Avant de\nme racheter, il y a une tâche dont je souhaite\nm'acquitter.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ボネ\nJe dois prendre part à une fête.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08パンドロ\nHeeeein ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSalut, Bunet ! Alors, cette petite fête, ça t'a\nplu ? On a bien rigolé, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ボネ\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nHum... À ce point-là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nJe te demande pardon... Le boucan était\ninsoutenable. La tête me tourne encore.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nOh, je vois. C'est sans doute de ma faute.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nJe ne nie pas que l'ambiance était relevée.\nMalgré notre époque morose, la bonne\nhumeur n'a pas manqué à l'appel.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nC'est ça qui est bien dans une fiesta ! Mais\ntoi, alors ? T'as appris quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nCertainement. Je me suis retiré fort instruit.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nJ'ai constaté que tu passais le plus clair de\nton temps à écouter les convives étaler leurs\nproblèmes.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nBah, évidemment ! Une fête, c'est pas juste\npour moi. L'idée est aussi de faire en sorte\nque les gens se sentent mieux, tu comprends ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nAprès tout, sous mes apparences de petit filou\nde modèle courant, je reste un homme d'Église !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nOui... L'erreur que j'ai commise m'apparaît\ndésormais. Je voulais que mon plat accapare\ntoute l'attention.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nMais une pitance de fête digne de ce nom doit\nlaisser la conversation occuper le devant de la\nscène.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nSi l'on excepte la migraine, je ne regrette pas\nd'être venu. La prochaine fois, je concocterai\nle plat parfait pour toi et tes invités.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nÇa sera formidable ! Merci, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nAh, et fais-moi signe si je peux te donner un\ncoup de main. N'hésite pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nMa foi, il y a bien une faveur que tu pourrais\nm'accorder.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ボネ\nLaisse-moi te lécher. Juste une fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nTe laisser me QUOI ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nHum. Oh, c'est une blague, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nNon. Je suis on ne peut plus sérieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nJe dois intégrer ta saveur festive pour\nl'inclure dans ma cuisine.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nAllons, retrousse ta manche. Ce sera bref.\nInutile d'être nerveux.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パンドロ\nEuh... Hé hé...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ボネ\nPandreo ? Quelque chose ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nJ'ai participé à quelques fiestas à tout casser\ndans ma jeunesse, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パンドロ\nLà, ça va un tout petit peu trop loin, même\npour moi !\x0E\x04\x00\x00
