MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nDéfierez-vous le destin et le désespoir,\ndans le but de forger de nouvelles alliances ?\x0E\x04\x02\x00
MID_OP2_#010	\x0E\x03\x02\x16\x14E004_マデリーン\nTu sembles maîtriser le sujet, Gregory.\nAurais-tu une anecdote à partager, peut-être ?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x16\x14E004_グレゴリー\nNon. Mais je sais que les sentiments peuvent\nêtre grisants comme tétanisants. Tu n'es pas\nd'accord ?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x16\x14E004_マデリーン\nMoi ? Eh bien, je...\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x12\x10M011_モーヴ\nOui ?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x16\x14E004_マデリーン\nEuh... Quelle était la question ?\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x18\x16E004_セレスティア\nJe suis navrée que nous ayons dû laisser\nMessire Nil et le Dragon divin ainsi seuls,\nmais Dame Nel a besoin de temps.\x0E\x04\x02\x00
MID_OP2_#016	Si seulement nous avions un moyen de la réunir\navec l'être qu'elle aimait tant...\x0E\x04\x02\x00
MID_OP2_#017	Nous savons toute l'affection que Dame Nel\nportait jadis au Dragon divin.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x16\x14E004_グレゴリー\nOui, mais il s'agissait de l'autre Dragon divin.\nUne autre personne.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x18\x16E004_セレスティア\nJe le sais bien... J'aimerais juste voir Dame Nel\nretrouver le sourire.\x0E\x04\x02\x00
MID_OP2_#020	Elle mérite d'être heureuse.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x16\x14E004_マデリーン\nUn chevalier fidèle souhaite toujours\nle bonheur de son suzerain...\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x12\x10M011_モーヴ\nÇa, je le comprends. Mieux que cette histoire\nde « complexité du cœur », je dois dire...\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x18\x16E004_セレスティア\nJe m'en réjouis.\x0E\x04\x02\x00
MID_OP2_#024	À ce propos, j'espère que vous savez l'affection\nque j'ai pour vous tous.\x0E\x04\x02\x00
MID_OP2_#025	J'espère que nous saurons rester unis\nen veillant les uns sur les autres.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x02\x10\x0EE005_エル\nMerci de m'avoir attendue durant tout ce temps.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x18\x16E004_セレスティア\nJe vous en prie, Dame Nel. C'était tout naturel.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x16\x14E004_グレゴリー\nVous sentez-vous mieux ?\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x10\x0EE005_エル\nOui, merci. J'ai eu le temps de mieux\ncomprendre mes sentiments.\x0E\x04\x02\x00
MID_OP2_#030	Je suppose que je ne me suis jamais vraiment\nremise de la perte de l'être que je vénérais tant.\x0E\x04\x02\x00
MID_OP2_#031	Mais je regrette les torts que j'ai causés.\nJ'aurais dû vous prévenir au sujet des\nmembres royaux corrompus.\x0E\x04\x02\x00
MID_OP2_#032	Vous avez toute ma confiance, même\nsi je n'ai pas su vous le montrer.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x12\x10M011_モーヴ\nVous nous faites honneur, Dame Nel.\nEt je ne doute point que Messire Nil\nappréciera vos paroles.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE005_エル\nJe vais également devoir m'excuser auprès\ndu Dragon divin. Mon attitude à son égard\na été irrespectueuse.\x0E\x04\x02\x00
MID_OP2_#035	J'espère que nous pourrons sceller ensemble\nune nouvelle amitié.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x18\x16E004_セレスティア\nC'est une magnifique idée ! Retrouvons les\nautres. Ils doivent sûrement s'impatienter.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x10\x0EE005_エル\nJe ne vous décevrai plus, Votre Divinité.\x0E\x04\x02\x00
MID_OP2_#038	Je saurai surmonter mon chagrin et vous traiter\ncomme la personne que vous êtes vraiment.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x1C\x16E004_セレスティア\x022\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x10\x0EE005_エル\nNous sommes arrivés.\x0E\x04\x02\x00
MID_OP3_#002	Votre Divinité ? Nil ?\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x18\x16E004_セレスティア\nC'est étrange. Je ne vois personne.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nNous serions-nous trompés d'endroit ?\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x16\x14E004_マデリーン\nJ'en doute. Nous avons suivi la bonne direction,\net je me souviens de ces lieux.\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nJe n'ose envisager une telle possibilité,\nmais il n'est pas exclu qu'ils aient\nsuccombé à une embûche.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x00\x18\x12E005_Boss\x023\n\x0E\x03\x02\x14\x12E005_Boss\nNel ! Vous tous ! Je suis si content de vous\nrevoir.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x10\x0EE005_エル\nNil ! Tu es sain et sauf, je suis soulagée.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x14\x12E005_Boss\nNous avons un problème...\nLes bracelets ont disparu.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x10\x0EE005_エル\nQue dis-tu ?! Que s'est-il passé ?\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x14\x12E005_Boss\nLe Dragon divin les a subtilisés avant\nde prendre la fuite.\x0E\x04\x02\x00
MID_OP3_#012	Je crains qu'\x0E\x0A\x00\x10\x04il\x08elle n'ait tramé tout cela\ndepuis le début...\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x12\x10M011_モーヴ\nNous devons \x0E\x0A\x00\x0C\x04le\x04la retrouver sans délai.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x14\x12E005_Boss\nJe suis parvenu à lancer un sort de pistage juste\navant sa fuite. Nous pourrons suivre sa trace.\x0E\x04\x02\x00
MID_OP3_#015	Je suis désolé, je n'ai pas eu le courage\nde partir à sa poursuite. J'avais trop peur\nà l'idée d'être séparé de vous tous.\x0E\x04\x02\x00
MID_OP3_#016	J'espère que vous pardonnerez ma pleutrerie.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x10\x0EE005_エル\nIl n'y a rien à pardonner, Nil. Tu as pris\nla décision la plus sage.\x0E\x04\x02\x00
MID_OP3_#018	Montre-nous le chemin, et nous te suivrons.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x14\x12E005_Boss\nBien sûr.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x10\x0EE005_エル\nJe porte l'entière responsabilité de toute\ncette situation.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x14\x12E005_Boss\n...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x02\x10\x0EE005_エル\nNous avons pénétré dans le territoire de Solm.\nJ'ignore quel peut être l'objectif du Dragon\ndivin.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x14\x12E005_Boss\nIl ne doit plus se trouver loin. Mon sort\nde pistage s'arrête ici...\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE005_エル\nAux portes de ce temple.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x14\x12E005_Boss\nEntrons.\x0E\x04\x00\x00
MID_OP5_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x00\x1E\x18E005_異形兵_セイジ\x024\n\x0E\x03\x02\x10\x0EE005_エル\nL'endroit est sombre. Prenez garde\noù vous marchez.\x0E\x04\x02\x00
MID_OP5_#002	Tu es certain que le Dragon divin se trouve ici ?\x0E\x04\x00\x00
MID_OP5_#003	\x0E\x03\x02\x14\x12E005_Boss\nOui, presque certain...\x0E\x04\x02\x00
MID_OP5_#004	Attention, derrière toi !\x0E\x04\x00\x00
MID_OP5_#005	\x0E\x03\x02\x1A\x18E005_異形兵_セイジ\nGrrr...\x0E\x04\x00\x00
MID_OP5_#006	\x0E\x03\x02\x18\x16E004_セレスティア\nDes Aberrations ?!\x0E\x04\x00\x00
MID_OP5_#007	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nOh ! Elles sont bien trop nombreuses...\x0E\x04\x00\x00
MID_OP5_#008	\x0E\x03\x02\x10\x0EE005_エル\nNous n'avons pas le choix...\nReste derrière moi, Nil.\x0E\x04\x00\x00
MID_OP5_#009	\x0E\x03\x02\x14\x12E005_Boss\n...\x0E\x04\x00\x00
MID_OP5_#010	\x0E\x03\x02\x10\x0EE005_エル\nNil ?\x0E\x04\x00\x00
MID_OP5_#011	\x0E\x03\x02\x14\x12E005_Boss\nJ'apprécie tes égards, chère sœur...\nMais je n'ai pas besoin de ta protection.\x0E\x04\x02\x00
MID_OP5_#012	Je dois te l'avouer, j'ai toujours détesté ça.\nTes airs supérieurs. Ta condescendance.\x0E\x04\x00\x00
MID_OP5_#013	\x0E\x03\x02\x10\x0EE005_エル\nQu'est-ce que...\x0E\x04\x00\x00
MID_OP5_#014	\x0E\x03\x02\x14\x12E005_Boss\nHa ha... Tu devrais voir ton visage, Nel !\nNon, le Dragon divin ne se trouve pas ici !\x0E\x04\x00\x00
MID_OP5_#015	\x0E\x03\x02\x10\x0EE005_エル\nNil, explique-toi...\x0E\x04\x00\x00
MID_OP5_#016	\x0E\x03\x02\x18\x16E004_セレスティア\nMessire Nil, est-ce vous qui avez invoqué ici\nces Aberrations ?!\x0E\x04\x00\x00
MID_OP5_#017	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nTout cela n'a aucun sens... Messire Nil lui-même\nignorait où nous nous rendions.\x0E\x04\x00\x00
MID_OP5_#018	\x0E\x03\x02\x14\x12E005_Boss\nVous ne comprenez toujours pas ?\nOuvrez donc les yeux !\x0E\x04\x00\x00
MID_OP5_#019	\x0E\x03\x02\x10\x0EE005_エル\nRegardez l'Emblème Chrom... Il devrait pourtant\nêtre en sommeil.\x0E\x04\x00\x00
MID_OP5_#020	\x0E\x03\x02\x14\x12E005_Boss\nVoyez-vous, votre « mystérieux ennemi »\na le pouvoir de réveiller les Emblèmes...\x0E\x04\x02\x00
MID_OP5_#021	Et il se tient juste devant vous.\x0E\x04\x02\x00
MID_OP5_#022	Je ne suis pas un raté... et je compte bien\npoursuivre les ambitions du seigneur Sombron !\x0E\x04\x00\x00
MID_OP5_#023	\x0E\x03\x02\x10\x0EE005_エル\nMais tu es mon frère...\x0E\x04\x02\x00
MID_OP5_#024	Nous avons grandi ensemble. Nous étions\ndeux moitiés inséparables... Je ne peux\ncroire que tu sois notre ennemi !\x0E\x04\x00\x00
MID_OP5_#025	\x0E\x03\x02\x14\x12E005_Boss\nQui d'autre ? Il ne reste personne. Tous nos\nfrères et sœurs sont morts depuis longtemps.\x0E\x04\x02\x00
MID_OP5_#026	Je m'en suis chargé personnellement.\nÀ une exception près, bien sûr.\x0E\x04\x00\x00
MID_OP5_#027	\x0E\x03\x02\x10\x0EE005_エル\n... !\x0E\x04\x00\x00
MID_OP5_#028	\x0E\x03\x02\x14\x12E005_Boss\nTu as enfin compris ? Je m'en réjouis,\nmais il est trop tard.\x0E\x04\x02\x00
MID_OP5_#029	Adieu, ma chère sœur. Je te laisse à ton sort,\naccompagnée de tes quatre valets.\x0E\x04\x02\x00
MID_OP5_#030	Je me ferai une joie de déchiqueter ton cher\nDragon divin.\x0E\x04\x00\x00
MID_OP5_#031	\x0E\x03\x02\x10\x0EE005_エル\nNil... Comment as-tu pu ?\x0E\x04\x00\x00
MID_OP5_#032	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nDame Nel, je vous en prie... L'heure n'est pas\naux questions !\x0E\x04\x00\x00
MID_OP5_#033	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nÇa paraît insensé, mais nous devons nous\noccuper de ces Aberrations avant toute chose !\x0E\x04\x00\x00
MID_OP5_#034	\x0E\x03\x02\x10\x0EE005_エル\nIls sont certes nombreux, mais une fois\ntransformée, je pourrai...\x0E\x04\x02\x00
MID_OP5_#035	Nil détient ma dracopierre.\x0E\x04\x02\x00
MID_OP5_#036	Et pendant que nous sommes retenus ici,\nle Dragon divin court un grave danger.\x0E\x04\x00\x00
MID_OP5_#037	\x0E\x03\x02\x18\x16E004_セレスティア\nDame Nel, laissez-nous nous en occuper.\x0E\x04\x00\x00
MID_OP5_#038	\x0E\x03\x02\x10\x0EE005_エル\nC'est hors de question, Zelestia.\x0E\x04\x00\x00
MID_OP5_#039	\x0E\x03\x02\x18\x16E004_セレスティア\nNous n'avons peut-être pas l'avantage,\nmais nous pouvons à nous quatre vous\npermettre de vous échapper indemne.\x0E\x04\x02\x00
MID_OP5_#040	Vite ! Vous devez quitter cet endroit !\nPartez retrouver le Dragon divin !\x0E\x04\x00\x00
MID_OP5_#041	\x0E\x03\x02\x10\x0EE005_エル\nNon, je ne peux pas vous laisser ici !\x0E\x04\x00\x00
MID_OP5_#042	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nZelestia a raison. Vous devez y aller. Vous seule\nêtes capable d'arrêter Messire Nil.\x0E\x04\x00\x00
MID_OP5_#043	\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x02\x16\x14E004_グレゴリー\nNous avons toujours fui jusqu'à présent...\nComportons-nous comme de vrais héros !\x0E\x04\x00\x00
MID_OP5_#044	\x0E\x03\x00\x1A\x14E004_マデリーン\x023\n\x0E\x03\x02\x16\x14E004_マデリーン\nJe serai honorée de vous ouvrir la voie.\x0E\x04\x00\x00
MID_OP5_#045	\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x02\x18\x16E004_セレスティア\nVite, Dame Nel. Allez-y !\x0E\x04\x00\x00
MID_OP5_#046	\x0E\x03\x02\x10\x0EE005_エル\nSoit...\x0E\x04\x02\x00
MID_OP5_#047	Mes chers Zéphyrs, j'ai une dernière faveur\nà vous demander...\x0E\x04\x02\x00
MID_OP5_#048	Je vous ordonne de rester en vie jusqu'à\nnotre prochaine rencontre !\x0E\x04\x00\x00
MID_OP5_#049	\x0E\x03\x02\x18\x16E004_セレスティア\nNous y comptons bien !\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x14\x0EE005_エル\x023\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP6_#002	\x0E\x03\x02\x14\x12E005_Boss\nMe voici, Votre Divinité.\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x02\x0A\x08リュール\nNil.\x0E\x04\x00\x00
MID_OP6_#004	\x0E\x03\x02\x14\x12E005_Boss\nMa chère sœur et ses précieux Zéphyrs\nn'interféreront plus avec mes plans.\x0E\x04\x00\x00
MID_OP6_#005	\x0E\x03\x02\x0A\x08リュール\nNon...\x0E\x04\x02\x00
MID_OP6_#006	S'il en est ainsi, vous feriez mieux d'en finir\naussi avec moi... À moins que le courage ne\nvous manque.\x0E\x04\x00\x00
MID_OP6_#007	\x0E\x03\x02\x14\x12E005_Boss\nLoin de là, je vous rassure. Mais vous avez\nencore votre rôle à jouer... Maintenant, venez.\x0E\x04\x00\x00
MID_OP6_#008	\x0E\x03\x02\x0A\x08リュール\nJe refuse de vous suivre.\x0E\x04\x00\x00
MID_OP6_#009	\x0E\x03\x02\x14\x12E005_Boss\nOh, vraiment ?\x0E\x04\x00\x00
MID_OP6_#010	\x0E\x03\x02\x0A\x08リュール\nVous dites que j'ai un rôle à jouer...\nEt si je refuse de coopérer ?\x0E\x04\x02\x00
MID_OP6_#011	Je ne serai pas l'instrument de votre victoire.\x0E\x04\x00\x00
MID_OP6_#012	\x0E\x03\x02\x14\x12E005_Boss\nComment pouvez-vous faire preuve d'une telle\ncruauté ? L'affection de ma tendre sœur\nn'a donc aucune valeur à vos yeux ?\x0E\x04\x02\x00
MID_OP6_#013	Moi qui vous voyais déjà comme un membre\nde notre famille... Vous heurtez mes sentiments.\x0E\x04\x00\x00
MID_OP6_#014	\x0E\x03\x02\x0A\x08リュール\nÉpargnez-moi vos simagrées...\x0E\x04\x00\x00
MID_OP6_#015	\x0E\x03\x02\x14\x12E005_Boss\nHa ha, j'admire votre perspicacité... Mais si vous\nrefusez de collaborer, je vous y contraindrai.\x0E\x04\x00\x00
MID_OP6_#016	\x0E\x03\x02\x0A\x08リュール\nEssayez donc. Je ne céderai pas.\x0E\x04\x00\x00
MID_OP6_#017	\x0E\x03\x02\x14\x12E005_Boss\nJ'ai hâte de voir ça... Vous aurez ce\nque vous voulez !\x0E\x04\x00\x00
MID_OP6_#018	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP6_#019	\x0E\x03\x02\x14\x12E005_Boss\nNel ? Comment est-ce possible ?\x0E\x04\x00\x00
MID_OP6_#020	\x0E\x03\x02\x10\x0EE005_エル\nVotre Divinité ! Vous êtes en vie !\x0E\x04\x00\x00
MID_OP6_#021	\x0E\x03\x02\x0A\x08リュール\nNel !\x0E\x04\x00\x00
MID_OP6_#022	\x0E\x03\x02\x14\x12E005_Boss\nTu as abandonné les Quatre Zéphyrs\nà leur sort ? J'aurais dû m'y attendre.\x0E\x04\x00\x00
MID_OP6_#023	\x0E\x03\x02\x10\x0EE005_エル\nNil. Cesse cette folie.\x0E\x04\x02\x00
MID_OP6_#024	Père n'est plus. Il n'y a aucune raison pour toi\nd'accomplir sa volonté.\x0E\x04\x02\x00
MID_OP6_#025	Je sais qu'au fond de toi tu ne partages pas ses\nambitions. Cet affrontement n'a aucun sens !\x0E\x04\x00\x00
MID_OP6_#026	\x0E\x03\x02\x14\x12E005_Boss\nVraiment ? Tu ignores tout de mes ambitions !\x0E\x04\x02\x00
MID_OP6_#027	Venez à moi, fidèles Aberrations !\x0E\x04\x00\x00
MID_OP6_#028	\x0E\x03\x02\x0A\x08リュール\nCe sont...\x0E\x04\x00\x00
MID_OP6_#029	\x0E\x03\x02\x10\x0EE005_エル\nLes assassins du château de Lythos. C'est donc\ntoi qui avais fomenté cette attaque...\x0E\x04\x00\x00
MID_OP6_#030	\x0E\x03\x02\x14\x12E005_Boss\nÉvidemment. Tu bafouais les ambitions\nde notre père. Il était de mon devoir\nd'éliminer une ratée telle que toi...\x0E\x04\x02\x00
MID_OP6_#031	Assez bavassé. Dégaine ton arme.\x0E\x04\x02\x00
MID_OP6_#032	Nous allons voir si cet affrontement a un sens\nou non !\x0E\x04\x00\x00
MID_OP6_#033	\x0E\x03\x02\x10\x0EE005_エル\nJe t'en supplie, Nil, ressaisis-toi !\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nNe bougez pas, Votre Divinité. Vous serez\naux premières loges pour assister\nà la débâcle de vos alliés.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nAdmirez un peu mes wyvernes corrompues...\nElles vont déchiqueter votre cher Dragon divin !\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nVous refusez de mourir, misérables\ninsectes ? Assez joué. Finissons-en !\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nCe jeu de massacre promet d'être amusant ! Je\nvais avoir besoin de quelques pions pour jouer...\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01\x1C\x12E005_Boss\x06Shy\n\x0E\x03\x02\x14\x12E005_Boss\nComme ça, vous venez me tuer ?\nMoi qui croyais que nous étions alliés...\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nJe vois que vous comptez mettre à exécution\nvos menaces...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nNous sommes ennemis, n'est-ce pas ?\nDans ce cas...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide1\nCette douleur n'est rien... comparée à la perte\nde mon père...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nNous nous sommes rencontrés au château\nde Lythos, il me semble ? Mes souvenirs\nsont brumeux, ces derniers temps...\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01$\x14E005_Hide2\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide2\nEncore une autre défaite... J'ai du mal à me\nrappeler ma dernière victoire ! Ha ha...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE005_エル\x02t\n\x0E\x05\x01\x1A\x0EE005_エル\x08Pain\n\x0E\x03\x02\x10\x0EE005_エル\nNous n'avons pas à nous battre de la sorte, Nil.\nIl est encore temps...\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nEncore temps pour quoi ? Des explications ?\nIl est bien trop tard pour ça.\x0E\x04\x02\x00
MID_BT7_#003	T'attends-tu à ce que j'abandonne ainsi\nmes plans pour me rendre ? Tel un raté ?\x0E\x04\x00\x00
MID_BT7_#004	\x0E\x03\x02\x10\x0EE005_エル\nTu ne m'as jamais parlé de tes plans...\nAide-moi à comprendre. Je peux t'aider.\x0E\x04\x00\x00
MID_BT7_#005	\x0E\x03\x02\x14\x12E005_Boss\nMon plan est simple. Être assez fort pour te\ntuer ! C'est tout ce que tu as besoin de savoir !\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nVotre Divinité ! Veuillez pardonner notre\ninterruption de tout à l'heure.\x0E\x04\x02\x00
MID_BT8_#002	Si vous refusez de vous battre, il vous suffit\nde venir avec moi.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLaissez-moi deviner... Vous voulez que je vous\nremette les six bracelets, aussi ?\x0E\x04\x02\x00
MID_BT8_#004	En l'ajoutant au septième bracelet en votre\npossession, vous espérez sans doute\ncompléter votre collection...\x0E\x04\x02\x00
