MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDame Nel, puis-je vous offrir\nun rafraîchissement ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nJe ne sais pas au juste. J'ai bien essayé\nde discuter avec de nombreuses personnes...\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Mais la plupart ont fui à toutes jambes\nen me voyant arriver.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Quant aux autres, ils n'avaient que Zephia et les\nQuatre Chacals à la bouche. Je ne comprenais\npas grand-chose.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	La conversation devenait vite pénible, et\nje n'avais pas l'occasion de leur proposer\nde devenir amis.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04エル\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nVous croyez que c'est parce que je suis un\ndragon mage ? Les gens ont peut-être du\nmal à nous accepter.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nNon. Les dragons peuvent parfaitement tisser\ndes liens solides avec les jeunes agneaux.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Le Dragon divin l'a amplement prouvé.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Je ne vois pas pourquoi nous serions incapables\nd'en faire autant.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nC'est vrai. Et pourtant...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nSi vous n'êtes pas sûre de savoir vous\ny prendre, je peux venir avec vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nVous feriez cela ? Ce serait une telle joie\npour moi, de sortir en votre compagnie.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04エル\nHé hé ! Soit. Alors, c'est décidé.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nFormidable !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nDame Nel ! Je me suis rendue en ville\naujourd'hui et j'ai à nouveau discuté\navec tout le monde !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nEt forgé de nombreuses amitiés nouvelles,\nsi j'en juge par votre enthousiasme.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nEn effet, hé hé ! Et c'est grâce à vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nJe n'ai fait que raviver le courage\nque vous possédiez déjà.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	De toute évidence, je n'ai pas besoin\nde vous aider davantage.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nPour être franche... J'espérais que vous\nm'aideriez encore un tout petit peu.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Je sais que c'est une requête fort déplacée\net bien impudente de ma part, mais...\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Dame Nel, accepteriez-vous de forger\nune amitié avec moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nJe suis contrainte de refuser.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nComment ? Vous... Vous ne voulez pas être\nmon amie ?\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Oh, je m'en doutais... Vous me détestez !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\nBien sûr que non ! Ne me comprenez pas\nde travers.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nC'est-à-dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04エル\nPardonnez ma brusquerie. Ce n'est que la façon\ndont j'ai coutume de m'exprimer.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Je suis contrainte de refuser de forger\nune nouvelle amitié avec vous pour la\nsimple raison qu'elle existe déjà.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, nous... nous sommes déjà amies ?\x0E\x04\x02\x00
MID_RELIANCE_A_#017	C'est formidable ! Oh...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04エル\nVous pleurez.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nDe joie ! C'est à cause de ce que vous\nvenez de me dire.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	À moins que je sois en train de rêver ?\nOui, c'est ça, je dois rêver.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04エル\nVous ne rêvez pas, Zelestia. Et vous êtes mon\namie la plus chère, sans l'ombre d'un doute.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nLa plus chère ? Quel honneur, Dame Nel !\nVous aussi, vous êtes ma meilleure amie.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Et en tant que telle, je veux demeurer à vos\ncôtés pour toujours. Dorénavant, je serai\nà votre service !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04エル\nComment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cセレスティア\nPuis-je vous offrir un rafraîchissement ?\nOu un petit quelque chose à grignoter ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04エル\nNotre conversation est revenue au point\nde départ, je crois.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nJe ne peux rien imaginer de plus merveilleux\nque d'être votre amie, Dame Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04エル\nSi cela vous rend si heureuse,\nje ne peux que partager votre joie.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	Il n'y a pas de mots pour décrire le bonheur\nque notre amitié me procure.\x0E\x04\x00\x00
