MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x02\x0E\x0Cゴルドマリー\n♪Hmm, hmm...♪ C'est la journée parfaite pour\nfaire un bout de lessive.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nChaque assiette parfaitement polie me\nrécompense en me renvoyant l'image\nde mon sourire scintillant...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nAh, vous voilà, Goldmary. Écoutez, je...\nJe voulais m'excuser à propos de l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous excuser ? Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nQuand on vous regarde, faire la lessive a l'air\nd'un jeu. En réalité, j'avais envie de me joindre\nà vous. Mais... je ne pouvais pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe n'y comprends rien. Que voulez-vous dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nJe veux bien vous expliquer, mais c'est...\nun peu personnel.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAucun problème. Allez-y, ne soyez pas timide.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nD'accord, alors... J'essaie d'éviter le sujet\nen temps normal, mais j'ai eu une enfance\ndésastreuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nMes parents n'avaient pas le sou pour\nm'élever, alors ils m'ont abandonnée.\nEt j'ai fini par vivre avec... un étranger.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nJ'avais beau être toute petite, il me faisait\nfaire toutes les tâches ménagères.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nDepuis... Dès qu'il est question de ce genre\nde corvées, je suis ramenée à cette époque.\nEt j'ai des bouffées d'angoisse.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'étais à des lieues d'imaginer...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nAujourd'hui, je m'arrange toujours pour\nêtre toute seule quand je m'occupe de\nla lessive ou de la vaisselle.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nComme ça, je ne mets personne mal à l'aise\nau cas où une crise me prend.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe comprends.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nMais je ne veux pas me chercher d'excuses.\nJ'ai bien l'intention de laisser mon passé\nderrière moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ユナカ\nJe veux être une toute nouvelle personne.\nAlors, tant qu'à prendre un nouveau départ...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nMettons-nous aux corvées !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVotre courage est admirable, Yunaka. Puisqu'il\nen est ainsi, voulez-vous m'aider à nettoyer\nla vaisselle ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ユナカ\nVous avez tout compris, Goldmary !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nDites, Goldmary, je suis navrée d'avoir gâté\nvotre plaisir l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nLa simple idée de tâche ménagère me\npousse au bord de la crise de nerfs.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNe vous tracassez pas pour ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl se trouve que j'ai réfléchi à la question.\nEt j'ai peut-être une idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl paraît que vous êtes très douée pour\nles imitations. C'est vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nOui. Enfin, disons que je me débrouille.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVoudriez-vous essayer de m'imiter, moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nQuoi ? Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPrêtez-vous au jeu. Montrez-moi à quoi\nje ressemblais quand je m'occupais du\nlinge l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nBon, puisque vous insistez. Ça donnait\nquelque chose comme ça...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\n« ♪Hmm, hmm...♪ C'est la journée parfaite\npour faire un bout de lessive. »\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\n« Laver, rincer, sécher, amidonner, plier...\nChaque étape doit être exécutée avec\ngrâce et précision. »\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nParfait. Surtout, ne vous arrêtez pas et\nsuivez-moi. Ce n'est pas une, mais deux\nGoldmary qui s'occuperont du linge aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nVous dites des choses bizarres, mais allons-y !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAlors, comment vous sentez-vous ?\nPas de bouffée d'angoisse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nC'est incroyable, mais non !\nPas la moindre trace.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nJ'essayais si fort d'être vous que j'en ai oublié\nmon passé !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nParfait. Tout se passe comme prévu.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDésormais, chaque fois que vous devrez vous\nlivrer à une tâche ménagère, vous n'aurez\nqu'à faire semblant d'être moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUne fois l'habitude installée, je suis sûre que\nces corvées vous tracasseront nettement moins.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl n'y a pas de remède miracle pour le mal dont\nvous souffrez, mais en y allant pas à pas...\nVous finirez par guérir.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\nAlors c'était ça que vous aviez en tête...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nUne idée brillante, Goldmary !\nEt même une idée de génie !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ユナカ\nJe voulais être une nouvelle personne,\nje sais maintenant laquelle... vous !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOn peut imaginer objectif plus médiocre.\nVous m'en voyez honorée.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe suis navrée si mon degré de perfection vous\nsemble inatteignable. Mais il est toujours bon\nde viser le plus haut possible.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ユナカ\nOh, c'est bon, ça. Très bon. Je ferais bien\nde prendre des notes.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\n« Je suis navrée si mon degré de perfection\nvous semble inatteignable »... À lancer avec un\nair faussement gêné à la première flatterie.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous allez un peu vite en besogne ! Personne\nn'a dit que vous deviez imiter le moindre de\nmes mots...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ユナカ\nHé hé ! Je plaisante. Ceci dit, je peux maintenant\najouter cette petite bouille énervée à mon\nrépertoire !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06ユナカ\nMerci de m'avoir prise sous votre aile.\nJe sais que je ne suis pas toujours facile !\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTout le plaisir était pour moi. Si vous cherchez\nun professeur, je vous accepterai comme élève\navec joie.\x0E\x04\x00\x00
