MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nNous voici. En ces murs, nous devrions\nêtre en sécurité.\x0E\x04\x00\x00
MID_OP1_#022	Avant que ce terrible conflit ne commence,\nElyos était une terre de paix.\x0E\x04\x02\x00
MID_OP1_#023	Mais un jour, une menace fit son apparition.\nC'était Sombron.\x0E\x04\x02\x00
MID_OP1_#024	\x0E\x04\x03\x04
MID_OP1_#025	Malgré nos recherches incessantes, nous\nn'avons jamais pu déterminer son origine.\x0E\x04\x02\x00
MID_OP1_#026	Mais face au chaos qu'il semait, nous ne\npouvions douter de ses intentions néfastes.\x0E\x04\x02\x00
MID_OP1_#027	À présent, les Aberrations se répandent\nà nouveau. C'est peut-être un signe de\nson retour.\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x0A\x08リュール\nNon...\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0A\x08ルミエル\nTon réveil au beau milieu de ces événements\nn'est peut-être pas fortuit...\x0E\x04\x02\x00
MID_OP1_#030	Si le Dragon déchu a été libéré, nous devons\nnous préparer au combat.\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x0A\x08リュール\nJe ne peux pas m'imaginer face à\nun tel adversaire.\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x0A\x08ルミエル\nSois sans crainte. Je doute fort qu'il nous\nattaque de sitôt.\x0E\x04\x02\x00
MID_OP1_#033	Les esprits des Dragons divins emplissent\nce château. Les Aberrations ne pourront\npas y pénétrer aisément.\x0E\x04\x02\x00
MID_OP1_#034	Nous devrions concevoir un plan,\ntant qu'il en est encore temps.\x0E\x04\x02\x00
MID_OP1_#035	Emblème Marth.\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x00\x0C\x06マルス\x024\n\x0E\x03\x02\x08\x06マルス\nLumera, nous ne nous sommes pas vus\ndepuis fort longtemps.\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x02\x0A\x08ルミエル\nC'est le moins qu'on puisse dire.\nMerci de lui avoir prêté main-forte\ncontre les Aberrations.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x08\x06マルス\nJe vous en prie. J'ai pu l'aider uniquement\nparce que votre \x0E\x0A\x00\x16\x08fils\nfille s'est souvenu\x0E\x0A\x00\x06
MID_OP1_#039	Il est fort possible que les autres se soient\négalement éveillés.\x0E\x04\x00\x00
MID_OP1_#040	\x0E\x03\x02\x0A\x08ルミエル\nVous avez peut-être raison.\x0E\x04\x00\x00
MID_OP1_#041	\x0E\x03\x02\x0A\x08リュール\nExcusez-moi, mais... de quoi parlez-vous,\nau juste ? Qui serait éveillé ?\x0E\x04\x00\x00
MID_OP1_#042	\x0E\x03\x02\x0A\x08ルミエル\nJe dois te montrer quelque chose.\nSuis-moi.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nQuel est cet endroit ?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08ルミエル\nIl s'agit de la chambre des Anneaux.\nLes Anneaux des Emblèmes sont conservés ici.\x0E\x04\x02\x00
MID_OP2_#003	Ceux du Chevalier Sacré, du Souverain Éclairé\net des Jumeaux Célestes reposent ici.\x0E\x04\x02\x00
MID_OP2_#004	Tout comme l'Anneau de la Sainte-Lignée\net l'Anneau de l'Instructeur.\x0E\x04\x02\x00
MID_OP2_#005	Chacun abrite un Emblème. Marth réside\ndans l'Anneau du Roi-héros.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nDonc, avec celui de Marth, cela fait six Anneaux\nd'Emblèmes. C'est incroyable.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08ルミエル\nEn réalité, il en existe douze. Six se trouvent ici,\nles six autres ont été confiés à d'autres pays.\x0E\x04\x02\x00
MID_OP2_#008	Il s'agit d'une mesure de précaution.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nComment cela ?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08ルミエル\nLes Emblèmes confèrent un pouvoir\nincommensurable au détenteur des\ndouze anneaux.\x0E\x04\x02\x00
MID_OP2_#011	Pendant des générations, les Dragons divins\nont utilisé ce pouvoir pour maintenir la paix\net la prospérité en Elyos.\x0E\x04\x02\x00
MID_OP2_#012	Et c'est d'ailleurs grâce à ce pouvoir que\nnous avons pu enfermer le Dragon déchu.\x0E\x04\x02\x00
MID_OP2_#013	Toutefois, les tentatives pour dérober\nles anneaux et les utiliser à des fins néfastes\nn'ont pas manqué.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nC'est pour cette raison qu'ils ne se trouvent\npas tous ici, mais qu'ils sont disséminés à\ntravers tout le continent.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08ルミエル\nExactement. Sache également que les anneaux\nn'offrent leur pouvoir que tous les mille ans.\x0E\x04\x02\x00
MID_OP2_#016	Le Dragon divin voyage alors à travers\nElyos pour récupérer les anneaux détenus\npar chaque souverain.\x0E\x04\x02\x00
MID_OP2_#017	Mille ans s'étant écoulés depuis la dernière\nutilisation, je comptais justement entamer\ncette procession.\x0E\x04\x02\x00
MID_OP2_#018	Néanmoins, si le Dragon déchu convoite\négalement les anneaux, il pourrait bien invoquer\nles Emblèmes avant mon arrivée...\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\n« Invoquer » ?\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08ルミエル\nC'est ainsi que l'on fait appel à l'Emblème\nque recèle un anneau. C'est exactement ce\nque tu as fait avec Marth.\x0E\x04\x02\x00
MID_OP2_#021	Seuls les descendants de dragons royaux\nsont capables d'invoquer les Emblèmes.\nTu en fais partie.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08リュール\nOh... Vous devez parler de cette formule\nqui m'est venue je ne sais comment.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0A\x08ルミエル\nUne incantation ? Laquelle était-ce ?\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\n« Resplendissez, Emblème du Commencement. »\x0E\x04\x02\x00
MID_OP2_#025	Je n'y ai pas vraiment réfléchi, les mots sont\nvenus tout seuls.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0A\x08ルミエル\nC'est de cette manière que tu as invoqué Marth.\x0E\x04\x02\x00
MID_OP2_#027	...\x0E\x04\x02\x00
MID_OP2_#028	Quelle était ton intention, ton dessein, en\nprononçant ces mots ?\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x0A\x08リュール\nJe voulais aider Clanne et Framme.\x0E\x04\x02\x00
MID_OP2_#030	Je ne voulais pas les perdre.\nJe voulais les protéger.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x0A\x08ルミエル\nTu avais donc pour intention d'aider quelqu'un.\nRappelle-t'en à chaque fois que tu invoques\nun Emblème.\x0E\x04\x02\x00
MID_OP2_#032	Tu ne dois pas vouloir garder ce pouvoir\npour toi-même, mais l'emprunter pour le\nbien d'autrui.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x0A\x08リュール\nJe comprends.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x0A\x08ルミエル\nEt si nous nous livrions à un petit combat\nd'entraînement, maintenant ? Après toutes\nces années, tu en as probablement besoin.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x022\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08ルミエル\nEt si nous nous entraînions ici ?\nN'oublie pas que c'est toi qui combats.\nL'Emblème te prêtera sa force.\x0E\x04\x02\x00
MID_OP3_#002	Ton corps comme ton esprit doivent être\naffûtés si tu veux pouvoir utiliser pleinement\nson pouvoir.\x0E\x04\x02\x00
MID_OP3_#003	Vander, Clanne et Framme, vous aiderez\nmon enfant dans ce combat... contre moi.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Majesté, je ne saurais brandir mon\narme contre vous, pas même lors d'un\ncombat factice.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08ルミエル\nOh, Vander... Mets-y tout ton cœur, et\nsache que je ferai de même.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x022\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nDes Aberrations ?!\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08ルミエル\nNon, mon enfant. Pas du tout. Comment\npeux-tu penser cela ? J'ai conçu ces\nadversaires à base de plantes et de roches.\x0E\x04\x02\x00
MID_OP4_#003	Leurs capacités sont toutefois identiques.\nSi tu baisses ta garde, tu pourrais être blessé\x0E\x0A\x00\x06
MID_OP4_#004	\x0E\x03\x02\x0A\x08リュール\nElles sont perturbantes. Ne pourrions-nous\npas nous entraîner d'une autre manière ?\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x0A\x08ルミエル\nÉcoute-moi bien. Tu dois surmonter tes peurs\net affronter tes adversaires, peu importe\nleur nature.\x0E\x04\x02\x00
MID_OP4_#006	Ne t'enfuis jamais, \x0E\x06\x03\x00. Tu es mon\nenfant, \x0E\x0A\x00:\x1Ale protecteur\x1Cla protectrice de notre monde,\net le Dragon divin.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x0A\x08リュール\nJe comprends.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x00\x0C\x06フラン\x023\n\x0E\x03\x02\x08\x06フラン\nNe vous inquiétez pas, Votre Divinité !\nNous vous soutiendrons jusqu'au bout.\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x00\x0C\x06クラン\x023\n\x0E\x03\x02\x08\x06クラン\nOui ! Rien à ajouter !\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x02\x0C\nヴァンドレ\nL'idée d'affronter Sa Majesté Lumera\nme révulse, mais les ordres sont les ordres.\x0E\x04\x02\x00
MID_OP4_#011	Je fais le serment de nous mener à la victoire.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x0A\x08リュール\nMerci à tous.\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x0A\x08ルミエル\nÀ présent, commençons.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nPrenez garde, Votre Divinité. Certains, parmi\nles ennemis, portent des armes à longue\nportée.\x0E\x04\x02\x00
MID_EV1_#002	Ils peuvent donc faire pleuvoir des flèches\nsur nous à distance.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x18\x08ルミエル\x0CStatus\n\x0E\x03\x02\x0A\x08ルミエル\nVois-tu cet ennemi qui manie la hache ?\nLes unités attaquant à la hache sont\ndésavantagées face à celles maniant l'épée.\x0E\x04\x02\x00
MID_EV2_#002	Les épées sont efficaces face aux haches,\nles haches sont efficaces face aux lances,\net les lances sont efficaces face aux épées.\x0E\x04\x02\x00
MID_EV2_#003	Quand tu as l'avantage sur ton ennemi,\ntu peux briser sa garde, ce qui ne manquera\npas de te profiter au combat.\x0E\x04\x02\x00
MID_EV2_#004	\x0E\x05\x01\x16\x08ルミエル\nRelax\nEssaie ! Frappe cet ennemi avec ton épée.\nQuand il vacille, attaque-le à nouveau.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x16\x08ルミエル\nSmile\n\x0E\x03\x02\x0A\x08ルミエル\nTrès bien, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_EV3_#002	\x0E\x05\x01\x18\x08ルミエル\x0CStatus\nTu vois ? Les épées sont très efficaces face\naux haches. Tâche de ne pas l'oublier.\x0E\x04\x02\x00
MID_EV3_#003	Et garde à l'esprit que les ennemis vacillants\nne peuvent pas contre-attaquer. C'est un bon\nmoyen pour en finir rapidement.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06フラン\x02t\n\x0E\x05\x01\x14\x06フラン\nSmile\n\x0E\x03\x02\x08\x06フラン\nAh ! Sa Divinité a posé les yeux sur moi !\x0E\x04\x02\x00
MID_EV4_#002	\x0E\x05\x01\x16\x06フラン\x0CStrike\nSachez que je peux me servir de mon bâton\npour guérir des unités.\x0E\x04\x02\x00
MID_EV4_#003	\x0E\x05\x01\x16\x06フラン\x0CStatus\nJe peux aussi couvrir des alliés proches\nen prenant les coups à leur place. Enfin,\nça me fait quand même mal, hein...\x0E\x04\x02\x00
MID_EV4_#004	\x0E\x05\x01\x18\x06フラン\x0EStandBy\nBref, si vous voulez éviter de subir une blessure\nou si vous avez besoin qu'on vous guérisse,\nvous pouvez compter sur moi.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クラン\x02t\n\x0E\x05\x01\x14\x06クラン\nSmile\n\x0E\x03\x02\x08\x06クラン\nHé, Votre Divinité ! Vous n'êtes sûrement pas\nau courant, mais je peux lancer des sorts.\x0E\x04\x02\x00
MID_EV5_#002	\x0E\x05\x01\x14\x06クラン\nRelax\nIls sont efficaces de près comme de loin,\net même contre les ennemis bien protégés !\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nC'est mon tour, à présent.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x05\x01\x16\x08ルミエル\nRelax\n\x0E\x03\x02\x0A\x08ルミエル\nExcellent travail. Vous avez parfaitement\ncoopéré.\x0E\x04\x02\x00
MID_EV7_#002	\x0E\x05\x01\x18\x08ルミエル\x0CStatus\nBien, poursuivons. Attendez ici un instant.\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nTrès bien. Si tout le monde est en position,\nnous pouvons commencer.\x0E\x04\x02\x00
MID_EV8_#002	\x0E\x05\x01\x1A\x08ルミエル\x0EStandBy\nCette fois, je vais m'impliquer davantage\net me battre comme dans une vraie bataille.\x0E\x04\x02\x00
MID_EV8_#003	\x0E\x0B\x00n
MID_EV8_#004	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nEst-ce l'Anneau du Chevalier Sacré ?\x0E\x04\x00\x00
MID_EV8_#005	\x0E\x0B\x01>
MID_EV8_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x02\x0A\x08ルミエル\n...\x0E\x04\x02\x00
MID_EV9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08シグルド\x02b\n\x0E\x03\x02\x0A\x08シグルド\nJe m'appelle Sigurd. Ma force et ma rapidité\nsont à votre disposition.\x0E\x04\x00\x00
MID_EV9_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x03\x02\x0A\x08リュール\nL'Emblème Sigurd. Ça n'a pas l'air\nd'un adversaire à sous-estimer.\x0E\x04\x00\x00
MID_EV9_#003	\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x0E\x08ルミエル\x02b\n\x0E\x03\x02\x0A\x08ルミエル\nChaque Emblème a des capacités qui lui\nsont propres.\x0E\x04\x02\x00
MID_EV9_#004	En t'unissant avec un Emblème, tu peux\nutiliser ses pouvoirs et ses techniques\nbien distinctes.\x0E\x04\x00\x00
MID_EV9_#005	\x0E\x03\x02\x0A\x08リュール\nQuelle qu'elle soit, la puissance que Sigurd\npeut déployer sera donc bien différente de\ncelle de Marth.\x0E\x04\x02\x00
MID_EV9_#006	Nous ferions mieux de rester sur nos gardes.\x0E\x04\x00\x00
MID_EV10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x18\x06マルス\x0EStandBy\n\x0E\x03\x02\x08\x06マルス\nMa rapière est très efficace contre\nles unités de cavalerie, comme ces\nennemis là-bas.\x0E\x04\x02\x00
MID_EV10_#002	\x0E\x05\x01\x14\x06マルス\nRelax\nEn fusionnant avec moi, vous pouvez utiliser\nmon arme. Essayez-la contre cet ennemi.\x0E\x04\x00\x00
MID_EV11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nLa façon dont vous joignez vos forces m'inspire.\nÀ présent, c'est notre tour.\x0E\x04\x02\x00
MID_EV11_#002	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nVenez, Sigurd.\x0E\x04\x00\x00
MID_EV12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nC'était extraordinaire.\x0E\x04\x00\x00
MID_EV12_#002	\x0E\x03\x00\x10\nヴァンドレ\x02b\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nMessire Sigurd est très rapide. Soyons heureux\nqu'il ne s'agisse que d'un combat factice...\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01 \x12M002_ルミエル\nRelax\n\x0E\x03\x02\x14\x12M002_ルミエル\nNe retiens pas tes coups, mon enfant.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nTrès bien.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nC'est bien plus difficile, cette fois.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStrike\n\x0E\x03\x02\x14\x12M002_ルミエル\nTes ennemis n'abandonneront pas, pas plus\nque moi. C'est pour cette raison que tu dois\nme vaincre.\x0E\x04\x02\x00
MID_BT2_#003	\x0E\x05\x01 \x12M002_ルミエル\nRelax\nQuel délice de te revoir au combat\naprès toutes ces années !\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x16\nヴァンドレ\x08Pain\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Majesté, pardonnez-moi\nde m'opposer à vous.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01 \x12M002_ルミエル\nRelax\n\x0E\x03\x02\x14\x12M002_ルミエル\nVander, tu es le chevalier de mon enfant,\net tu dois honorer cette fonction du mieux\nque tu peux.\x0E\x04\x02\x00
MID_BT3_#003	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nAttaque-moi de toutes tes forces.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クラン\x02t\n\x0E\x05\x01\x10\x06クラン\x06Sad\n\x0E\x03\x02\x08\x06クラン\nVotre Majesté Lumera, je ne veux pas\nvous attaquer... La tête me tourne rien\nque d'y penser.\x0E\x04\x00\x00
MID_BT4_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nClanne, si tu ne veux pas échouer,\ntu dois rester concentré.\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06フラン\x02t\n\x0E\x05\x01\x14\x06フラン\nAngry\n\x0E\x03\x02\x08\x06フラン\nVotre Majesté, je vais vous attaquer,\nmais ça ne veut pas dire que je ne vous\nrespecte pas !\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01"\x12M002_ルミエル\x0CStatus\n\x0E\x03\x02\x14\x12M002_ルミエル\nC'est exactement ce que j'attends, Framme.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12M002_ルミエル\x02b\n\x0E\x05\x01\x1E\x12M002_ルミエル\x08Pain\n\x0E\x03\x02\x14\x12M002_ルミエル\nArgh...\x0E\x04\x02\x00
MID_BT6_#002	\x0E\x05\x01$\x12M002_ルミエル\x0EStandBy\nVous avez gagné. Vous voir travailler ainsi tous\nensemble m'emplit de fierté.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\x0E\x05\x00\x18\x08ルミエル\x0CAppeal\nVous vous êtes tous très bien battus.\nVous nous avez surpassés, Sigurd et moi,\nce qui est loin d'être aisé.\x0E\x04\x02\x00
MID_ED1_#002	Tu peux encore t'améliorer, \x0E\x06\x03\x00,\nmais c'est un excellent début.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nMerci !\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x0C\x06フラン\x024\n\x0E\x03\x02\x08\x06フラン\nJ'arrive pas à croire qu'on ait dû affronter\nla reine Lumera !\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x00\x0C\x06クラン\x024\n\x0E\x03\x02\x08\x06クラン\nEh bien moi, j'arrive pas à croire qu'on\nait remporté le combat !\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Divinité, malgré votre éveil très récent,\nvotre puissance semble déjà accrue.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x0A\x08ルミエル\nJ'aimerais te donner ceci, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nC'est l'épée que vous utilisiez, n'est-ce pas ?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08ルミエル\nOui. C'est une épée ancienne que seuls\nles Dragons divins peuvent manier.\x0E\x04\x02\x00
MID_ED1_#010	Elle m'a rendu de fiers services des années\ndurant. À présent, elle est à toi. Vois cela\ncomme une récompense pour ta victoire.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nMerci. J'espère un jour pouvoir prouver\nque j'en suis digne.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08ルミエル\nTu y parviendras, je n'ai aucun doute.\x0E\x04\x02\x00
