MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nEt j'ai pu constater que les coutumes de chaque\npays, sa culture, son histoire, tout cela se\nreflète dans les techniques de ses combattants.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nVoilà pourquoi je veux affronter la princesse\nTimerra. Je veux en apprendre davantage sur\nSolm !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nVoilà donc ce qui vous motive.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nDans ce cas, battons-nous !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nVous et moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nJe suis un chevalier de la garde royale et je\ncompte parmi les plus doués, en plus. Vous\ncraignez que je vous fasse perdre votre temps ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nAbsolument pas. Mais si je l'emporte contre\nvous, je provoquerai la princesse Timerra en\nduel.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nSouhaitez-vous formuler une objection ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nNon, ça me va comme ça. Mais je préfère vous\nprévenir... Vous ne gagnerez pas contre moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nHa ha, votre confiance en vous est délicieuse !\nAllons, montrez-moi ce dont vous êtes capable !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06カゲツ\nQue dites-vous de ça !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nHa ! Il va falloir faire mieux, Kagetsu !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nHa !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nHyah !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nEt voilà. La victoire est mienne.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nVous m'avez battu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nEn effet. Vous êtes très fort, pourtant, tout\nautant que moi. Probablement plus que moi,\nd'ailleurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nMais j'ai fait le serment de protéger ma\nprincesse, et rien ne peut surpasser la\npuissance de ma conviction.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nVotre conviction, vous dites...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nJ'ai gagné, Kagetsu. Vous ne provoquerez\npas la princesse Timerra en duel, c'est bien\ncompris ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nOui, un marché est un marché.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nMais vous accepterez peut-être de m'accorder\nune revanche ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nVous voulez m'affronter à nouveau ? Ma\nprincesse vous est désormais inaccessible,\nalors vous vous rabattez sur moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nNon, ce n'est pas cela du tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06カゲツ\nJe suis intrigué par votre histoire de puissance\nde la conviction.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nÀ l'évidence, elle vous donne une force peu\ncommune.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nJ'aimerais la revoir à l'œuvre, j'en apprendrai\ncertainement beaucoup sur votre culture et\nsur le monde, de cette façon !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nDans ce cas, je serais ravie de m'entraîner avec\nvous autant qu'il vous plaira !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06メリン\nD'autant que j'apprends beaucoup à votre\ncontact, moi aussi.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nMerveilleux ! À compter de ce jour, nous voilà\ndonc partenaires d'entraînement !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nJe ne doute pas que ce chemin ne débouche\nsur une belle relation d'amitié !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06メリン\nHa ha, J'en serais la première ravie, Kagetsu !\x0E\x04\x00\x00
