MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nPff... Cette mission prend beaucoup plus\nde temps que je pensais.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nJe m'en charge ! Et cette fois, je vous\nrapporterai exactement ce que vous m'avez\ndemandé !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06フラン\nJe suis de retour, et j'ai apporté\nde l'anguille frite.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nChouette. Ooh, Ils l'ont même coupée en petites\nbouchées faciles à avaler.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クロエ\nIl est temps de voir ce qu'elle vaut !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nÀ table !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nMmm, quel régal. J'aime ce moelleux intérieur\nune fois qu'on a traversé la croûte en surface.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nHm... ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クロエ\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nQu'y a-t-il ? Oh non, me dites pas que...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nCe n'est pas de l'anguille.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nGaaah ! Je suis vraiment, mais vraiment\ndésolée !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nBon, alors qu'est-ce que je suis en train\nde manger ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nLe reçu du vendeur dit... « insectes frits ».\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nDes insectes ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nC'est incroyable ! Je n'aurais jamais cru que\ndes insectes pourraient être à ce point délicieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nVous... Ça ne vous dérange pas ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nHm ? Non, pas du tout ! Je vais avoir bien du\nmal à ne pas tout manger d'une seule traite.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nOuah. J'étais certaine que vous seriez furieuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nPourquoi serais-je furieuse ? Grâce à toi,\nun nouveau type de cuisine de rue me tend\nles bras.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nSi j'avais envoyé n'importe qui d'autre, j'aurais\nencore mangé la même anguille frite qu'avant.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nJe penserai à toi la prochaine fois que je suis\ntrop occupée pour étrenner un nouveau stand\nde cuisine de rue.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nCe sera avec plaisir ! J'aime me rendre utile.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nEt donc, je peux prendre votre prochaine\ncommande ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クロエ\nHmm, qu'est-ce qui me ferait envie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クロエ\nAttends, je dis n'importe quoi ! Tout l'intérêt est\nde voir ce que TOI, tu réussis à dénicher.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nJe prends beaucoup de plaisir à découvrir\nce que tu me rapportes. Qui sait ce que\nje mangerai la prochaine fois ?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06フラン\nHa ha ha, merci ! Vivement les prochains\nplats mystères !\x0E\x04\x00\x00
