MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nDites-moi, Vander ! Où rangez-vous donc\nles armes légendaires par ici ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nEh bien ? Qu'est devenu ton enthousiasme ?\nJe croyais que tu souhaitais devenir\nune légende !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nOh... Je suis trop épuisé pour\nme défendre. Argh...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nSi vous vous entraînez comme ça à chaque\nfois, vous devez déjà être une légende.\nNe pouvez-vous pas me confier votre arme ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nNon ! Je te le répète : je me moque des armes\nlégendaires ou de devenir moi-même une\nlégende. Toutefois...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nJe sais avec quelle ardeur ta génération œuvre\nà rendre le monde meilleur. Voilà une entreprise\nde héros légendaires, à n'en point douter.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nTu travailles dur, tu es fervent, et tu fais preuve\nd'un potentiel immense. Ton histoire ne fait que\ncommencer.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nContinue à poursuivre ce rêve, et ton arme\nappartiendra bientôt à une véritable légende.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nAh, Vander... C'est promis !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nMon arme sera légendaire, et moi avec !\nComme dans les histoires que je lisais quand\nj'étais petit !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nVoilà un admirable dessein... que tu accompliras\nd'autant plus tôt que tu cesseras de te plaindre.\nM'entends-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nFort bien, Messire ! Je m'entraînerai aussi\ndur que possible !\x0E\x04\x00\x00
