MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nL'heure est venue, Président Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\nJe n'aurais pas pu y arriver sans ta suggestion,\nMonsieur le Président !\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06フラン\nAllez, plus vite on aura écrit l'ouvrage,\nplus vite il sera distribué partout en ville !\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x08\x06クラン\nEuh, attends. Partout en ville ?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06クラン\nIl y a beaucoup de monde, ici...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nBah... on est là pour ça, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nC'est l'occasion de montrer à tout le monde\nque le Dragon divin est formidable !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nOui, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nAllez, on a travaillé tellement dur.\nLes gens doivent les lire !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nOu alors, on pourrait les déposer tranquillement\nlà-bas, et...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nBon, en scène. Je commence.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nÉcoutez-moi, vous autres ! Mon frère a une\nannonce de la plus haute importance à faire.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nPsst, Clanne ! C'est à ton tour.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nTu disais toi-même qu'on passerait pour\ndes dingues, si on ne se présentait pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nJe suis juste... un peu nerveux...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nTout le monde nous regarde.\nOn est dans la mouise.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nTrès bien. C'est moi qui vais nous présenter.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nO-OK...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06フラン\nC'est parti ! Nous sommes Clanne and Framme,\nles 33e gardiens du Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nDans ce magnifique recueil relié, vous trouverez\nles réponses à toutes les questions qui vous\nbrûlent les lèvres au sujet du Dragon div...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nStop ! Je t'en prie ! C'était une mauvaise idée !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nQuoi ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nJe ne peux pas. Il y a trop de monde...\nC'est embarrassant.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nTout le monde va penser qu'on est bizarres.\nQui s'intéresse à la pointure du Dragon divin ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nMais nous, voyons.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06クラン\nJe suis un vrai lâche. Et dire que\nje me prenais pour un gardien...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クラン\nJ'ai même pas la carrure pour appartenir\nà son fan-club. Désolé, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nClanne, attends !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06クラン\nArgh...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nAllez, Clanne. crache le morceau.\nQu'est-ce qui te mine ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nÇa ne se voit pas ? Nos ouvrages, bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nJe n'ai pas eu le cran de les distribuer.\nJe ne mérite pas de faire partie du fan-club.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nClanne. La moindre fibre de ton être brûle\nd'une passion dévorante pour Sa Divinité,\npas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nC'est-à-dire... oui. Tu le sais.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nTu vois ? Pas besoin de plus.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nTu es un fan, il n'y a rien à ajouter.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nMais... Mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nÊtre un fan, ce n'est pas une question d'action.\nC'est un ressenti.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nSi au fond de ton cœur, tu as cette passion\ndragonesque, tu es un fan du Dragon divin !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nOui. Tu as raison. Tu as raison !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nEt tu sais quoi ? Je veux réessayer.\nCes ouvrages, je vais les distribuer !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nC'est ça que je voulais entendre !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nMais avant, je crois qu'on devrait changer\ndeux ou trois choses.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nQuoi, maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nMaintenant. Tu l'as dit toi-même. Être un fan,\nc'est une question de passion. Elle est où,\nla passion ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nOn devrait raconter notre expérience avec\nSa Divinité, et retranscrire notre enthousiasme.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nEt il n'y a pas assez d'illustrations !\nAutant demander l'aide de quelqu'un\nqui sait dessiner.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nEt on doit en apprendre plus dans l'entretien.\nOn n'a même pas demandé si Sa Divinité\npréférait le rouge ou le bleu !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nOh. Regarde-toi, tu es plus motivé que jamais !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nÇa, c'est le frère passionné que je connais\net que j'aime.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06フラン\nCes ouvrages seront les meilleurs jamais écrits.\nPrésident Clanne, au travail !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\nJe vais y mettre un point d'honneur,\nPrésidente Framme !\x0E\x04\x00\x00
