MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBonjour, Boucheron. Je vous ai préparé un\ndéjeuner. Cela ne vous dérange pas, j'espère.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nブシュロン\nDes petits plats ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTout à fait. Dorénavant, vous aurez droit\nà des déjeuners réguliers.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nVous voulez dire dès maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNe vous en faites pas. Je ne vous forcerai pas\nà épuiser votre répertoire de compliments.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous m'en avez déjà donné pour\nune vie entière.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÀ partir de maintenant, vous n'aurez qu'à\nvous détendre et profiter de ma cuisine.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nJe n'ai pas de problème à vous complimenter\nsi cela vous met en joie.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVraiment ? Vous le pensez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nAi-je dit une bêtise ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'espère que vous n'avez rien contre le sel.\nVous êtes si gentil que je n'ai pas pu retenir\nmes larmes...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nブシュロン\nVos larmes ? Oh non...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nRien que de vous l'entendre dire,\nj'en ai moi-même les larmes aux yeux !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAh... vous êtes si sensible...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est ce qui me plaît chez vous, Boucheron...\nCela vous rend si charmant.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe repars aux fourneaux. Il me tarde d'entendre\nce que vous en penserez.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nHa ha, continuez avec vos petits plats,\nje continuerai avec mes compliments,\net on y gagnera tous les deux.\x0E\x04\x00\x00
