MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nQuelle chaleur étouffante... Êtes-vous sûre que\nnous trouverons un Bracelet d'Emblème ici ?\x0E\x04\x00\x00
MID_ED1_#016	Au lieu de cela, permettez-moi de vous donner\nun conseil des plus précieux : suivez la conduite\nqui vous est dictée par vos propres idéaux.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0A\x08セネリオ\nLa guerre est une affaire cruelle, et on ne gagne\npas de batailles en se berçant d'illusions, mais\nen restant fidèle à ses convictions.\x0E\x04\x02\x00
MID_ED1_#019	Si l'expérience des conflits m'a révélé une\nchose, c'est qu'une détermination inébranlable\nest capable de changer le cours de l'histoire.\x0E\x04\x02\x00
MID_ED1_#020	Vous devez donc rester fidèle à vos idéaux et\ndéfendre votre cause comme vous l'entendez.\x0E\x04\x02\x00
MID_ED1_#021	En cela, je vous assure de mon soutien.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0A\x08リュール\nJe comprends. Merci, Emblème Soren.\x0E\x04\x02\x00
MID_ED1_#023	Je sais qu'il me faudra prendre des\ndécisions difficiles à l'avenir, et je\ncompterai sur vous pour m'y aider.\x0E\x04\x02\x00
MID_ED1_#024	En attendant ce moment, c'est un\nplaisir de vous compter parmi nous.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アイク\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06アイク\nOn dirait qu'on va refaire équipe, toi et moi.\nJe suis content de te voir, Soren.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x0A\x08セネリオ\nSi on m'avait seulement informé de ta présence,\nje me serais laissé enrôler sans coup férir.\nTu aurais dû intervenir plus tôt.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x08\x06アイク\nUn peu d'exercice supplémentaire,\nça fait pas de mal.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08セネリオ\nPuis-je te demander une faveur ?\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06アイク\nBien sûr.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08セネリオ\nSi tu l'acceptes, je souhaite reprendre\nla place qui est la mienne, à tes côtés.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x08\x06アイク\nJe savais que tu finirais par me demander\nça tôt ou tard. Oui, bien sûr que j'accepte.\x0E\x04\x02\x00
MID_ED2_#008	Je te voue une confiance aveugle, tu le sais.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08セネリオ\nMerci, Ike. Rien ne compte davantage à\nmes yeux que de te prêter mes services.\x0E\x04\x00\x00
