MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0A\x08リュール\nHa ha !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nPardonnez-moi, Etie. Si cela vous dérange,\nje vous promets de m'abstenir, dorénavant.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nNan, ça ne fait rien. En fait, je me sens plutôt\nhonorée de rendre service au Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nSi le simple fait de me regarder vous remonte\nle moral, je vous en prie : dévisagez-moi autant\nque bon vous semble.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nJe vous en remercie !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nEnfin... ça reste un peu embarrassant quand\nmême, mais une petite course de fond devrait\nsuffire à m'apaiser l'esprit.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nエーティエ\nJe vous salue, votre Divinité !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nJe vois que vous me dévisagez à nouveau,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nC'est vrai. Encore une fois... Désolé\x0E\x0A\x00\x06
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nVous savez que ça ne me dérange pas.\nC'est même plutôt flatteur, à vrai dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nCela dit, je connais de meilleures façons de\nvous remonter le moral que de contempler\nmon assurance.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nAh... Et lesquelles ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nFaire une centaine de fois le tour de Somniel !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nVous voulez dire... en courant ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nMoi aussi, il m'arrive de me sentir tendue.\nEt quand c'est le cas, mon remède est toujours\nde me lancer dans une course.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nTant que je cours, mon esprit se vide. Comme\nsi mes soucis s'évaporaient avec ma sueur...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nEuh... quand même... Pensez-vous qu'il\nsoit vraiment nécessaire d'effectuer une\ncentaine de tours ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nPar expérience, je dirais que oui. Si on s'arrête\navant, on risque de laisser subsister en soi\nquelques doutes épars.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nEh bien ? Cela vous tenterait-il d'essayer ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nMa foi... pourquoi pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nFormidable. Alors, c'est parti !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nVous voulez dire... là, tout de suite ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nIl ne sert à rien de remettre les choses à plus\ntard ! Voulez-vous renforcer votre confiance\nen vous, oui ou non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nJe n'avais pas prévu de courir 100 fois\nautour de Somniel aujourd'hui... mais\nce serait dommage de ne pas essayer.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nVous avez raison, Etie ! Allons courir !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nAh ! Voilà qui est parlé !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nAlors, qu'avez-vous pensé de notre course\nde l'autre jour ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nC'est la première fois de ma vie que je faisais\n100 fois le tour de quelque chose en courant.\nJ'ai dormi comme un bébé, après ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nEt le lendemain matin, j'avais des courbatures\npartout.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nOups. J'aurais sans doute dû vous prévenir.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nMais en elle-même, la course a eu exactement\nl'effet que vous m'aviez décrit !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nPendant que je courais, j'ai eu l'impression que\nmes soucis se dissipaient. Je ne songeais plus à\nrien d'autre qu'à cette course.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nJe dois avouer que c'était assez étrange.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nエーティエ\nAh ! Vous aussi vous savez le bien que ça fait,\nà présent ! Oh, c'est un tel honneur pour moi\nd'avoir pu vous faire découvrir cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\nMais ne nous arrêtons pas en si bon chemin.\nLa prochaine fois, je voudrais que vous preniez\nun baume musculaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nUn... quoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nエーティエ\nAprès un exercice physique intense, vous devez\nlaisser l'organisme recouvrer ses forces, sinon\nvos muscles vous feront à nouveau souffrir.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nAaah. Oui, ce n'est pas bête.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nSi je m'adonne régulièrement à la course en\nm'enduisant de baume musculaire... est-ce que\nje serai aussi sûr\x0E\x0A\x00\x06
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nCertainement. Cela fonctionne pour moi,\net je n'ai rien d'extraordinaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nMais si Votre Divinité suivait le programme ?\nVous aurez tellement confiance en vous que\nvous pourriez finir par vous mettre à rayonner.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Quand vous présentez les choses ainsi,\nj'aurais même tendance à y croire...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nCela me suffisait auparavant de m'inspirer de\nvotre confiance, mais avec vos exercices\nen plus...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\n... peut-être pourrai-je à mon tour susciter chez\nd'autres cette confiance en soi que j'admire !\nVous m'avez rendu là un grand service, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nエーティエ\nOh, Dragon divin... Vous allez me faire rougir.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nCela me semble le bon moment pour aller courir\nun peu. À plus tard, votre Divinité !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nAttendez ! Je crois que mes remerciements\nl'ont troublée, elle est à nouveau partie courir.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nEh bien, ce n'est pas grave. Je n'ai plus qu'à\nla suivre, ça me fera faire quelques tours de\nSomniel à moi aussi !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nEh bien, que vous arrive-t-il, ces temps-ci ?\nVous courez en solo, comme si vous cherchiez\nà m'éviter.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nÀ vrai dire...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nエーティエ\nSi j'ai dit ou fait quoi que ce soit qui vous a\ncontrarié\x0E\x0A\x00\x06
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nLaissez-moi donc finir ! C'est juste qu'il y a\nquelque chose qui me tracasse.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nJ'ai beau courir autant que je veux, impossible\nde me vider l'esprit. Je ne sais plus quoi faire.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nJe suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nエーティエ\nAllez-y, je vous en prie.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais vraiment que nous devenions\ndes partenaires.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nエーティエ\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nエーティエ\nD'accord. Ça me va.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nQuoi ?! Sans plus de réflexion ?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nエーティエ\nC'est bien une partenaire d'entraînement que\nvous cherchez, non ? Pour vous accompagner\ndans vos exercices ?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nEh bien... ce n'est pas tout à fait ça.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nCe que j'avais en tête, ce serait que nous nous\nsoutenions en toute occasion. C'est pour cela\nque je vous remets l'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nエーティエ\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nエーティエ\nVraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nエーティエ\nJe n'arrive pas à y croire... Pourquoi donc me\nconfier quelque chose d'aussi important ?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nEn partie à cause de cette assurance qui émane\nde vous. Votre simple présence suffit pour\nque je me sente plus fort\x0E\x0A\x00\x06
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nMais vous êtes aussi une personne généreuse\net déterminée. C'est le bon choix.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nCela fait un moment que je voulais vous en\nparler, mais j'avais peur que vous refusiez.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nエーティエ\nAlors c'est pour cela que vous couriez seul\x0E\x0A\x00\x06
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nExactement.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nエーティエ\nEh bien, vous pouvez arrêter de vous tracasser\npour ça. Nous courrons tout le temps ensemble,\ndorénavant.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nエーティエ\nNous ferons un million de tours côte à côte,\nvous et moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nVous acceptez donc ?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nエーティエ\nBien sûr. Je ferais tout pour vous aider.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nOh, merci ! Voilà qui me soulage d'un énorme\npoids.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nエーティエ\nAprès cette discussion, je me sens survoltée.\nJ'irais bien courir un bon coup pour dépenser\nce surplus d'énergie.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nエーティエ\nÇa vous dirait de partir pour une petite dizaine\nde kilomètres, histoire de se fatiguer au point\nd'avoir du mal à bouger les membres après ?\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nVoilà qui m'irait très bien. Si vous êtes partante,\nje le suis aussi !\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nエーティエ\nAlors c'est décidé, \x0E\x06\x03\x00 ! L\x0E\x0A\x00\x08\x02e\x02a derni\x0E\x0A\x00\x0E\x04er\x06ère\nde retour à Somniel est une poule mouillée !\x0E\x04\x00\x00
