MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nJade ! Ça va, vous n'avez rien ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nDans ce cas, j'aimerais que vous me donniez\nvotre avis sur ceci...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08ジェーデ\nL'Anneau du Pacte ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ジェーデ\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08ジェーデ\nIl renferme une étrange puissance. Je n'ai\njamais ressenti cela avec aucun autre anneau...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nC'est exactement mon impression aussi.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nEh bien, cet anneau et sa puissance sont\ndésormais à vous, Jade.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ジェーデ\nHein ? Que... Qu'entendez-vous par là ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nJe veux dire par là que je vous les offre, si vous\nme faites l'honneur de les accepter. Cet anneau\nsymbolisera notre lien d'amitié croissant.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nJe veux être toujours là à vos côtés, Jade. Pour\nque vous n'ayez plus jamais à vous battre seule.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAlors... accepterez-vous cet anneau ?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nDécidément, il est parfois difficile de deviner\nce que vous pensez...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nMais je crois malgré tout vous comprendre.\nJe sais ce que vous ressentez en ce moment.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ジェーデ\nOui. Et je sais que vous le savez.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08ジェーデ\nJe suis heureuse. Très, très heureuse.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08ジェーデ\nC'est bel et bien l'Anneau du Pacte... Merci.\nMerci beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nAllez-vous continuer à suivre la voie du destin\nà mes côtés ?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08ジェーデ\nBien sûr, Dragon divin \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ジェーデ\nLe lien qui nous unit est à présent plus fort\nque l'acier... Rien ne pourra le briser.\x0E\x04\x00\x00
