MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDoit-on conserver son innocence, en s'attachant\naux préceptes enseignés par sa maison ?\x0E\x04\x02\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE006_エル\nNil ! Tu dois résister, je t'en prie.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x14\x12E005_Boss\nNon... Je prouverai ma valeur !\x0E\x04\x02\x00
MID_OP2_#046	Je vengerai Père, j'exaucerai sa volonté et\nje deviendrai l'héritier du Dragon déchu !\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nSomniel s'est donc effondré, en ce monde.\nCela ne me surprend guère.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x14\x12E005_Boss\nVotre Divinité. J'attendais votre venue.\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x0A\x08リュール\nJe suis là pour Nel. Relâchez-la.\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x14\x12E005_Boss\nRetirez d'abord la protection qui scelle\nle dernier bracelet, et j'y songerai.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x0A\x08リュール\nLa protection qui scelle le bracelet ?\nDe quoi parlez-vous ?\x0E\x04\x00\x00
MID_OP2_#052	\x0E\x03\x02\x14\x12E005_Boss\nVoici le Bracelet des Trois Maisons.\x0E\x04\x02\x00
MID_OP2_#053	Un sceau de protection empêche quiconque\nde s'accaparer son pouvoir.\x0E\x04\x02\x00
MID_OP2_#054	Les Emblèmes qu'il renferme ne peuvent être\nréveillés, et le bracelet ne peut être déplacé.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x0A\x08リュール\nBien que Somniel se soit effondré,\nle bracelet demeure intouchable...\nJ'imagine votre frustration.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x14\x12E005_Boss\nVous n'avez pas idée... Le Dragon divin m'a\nrévélé l'existence de ce sceau juste avant le\ncombat décisif contre Père.\x0E\x04\x02\x00
MID_OP2_#057	Seule la personne qui a placé ce sceau est\nen mesure de le retirer. Et \x0E\x0A\x00\x14\ncette\x06cet imbécile\nnous a malheureusement quittés...\x0E\x04\x02\x00
MID_OP2_#058	C'est ce qui m'empêche de devenir l'héritier\nvéritable de notre père... même avec les sept\nbracelets en ma possession.\x0E\x04\x02\x00
MID_OP2_#059	Mais votre apparition m'a rendu espoir.\nJ'ai attendu avec impatience ce moment...\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x0A\x08リュール\nCar je suis la seule personne capable\nde retirer le sceau.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x14\x12E005_Boss\nC'est exact. Et vous allez vous exécuter,\nou bien j'ôte la vie de Nel.\x0E\x04\x00\x00
MID_OP2_#062	\x0E\x03\x02\x10\x0EE006_エル\nNe l'écoutez pas, Votre Divinité.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nJe n'ai pas d'autre choix pour vous sauver, Nel.\x0E\x04\x02\x00
MID_OP2_#064	C'est fait. Vous êtes satisfait ?\x0E\x04\x00\x00
MID_OP2_#065	\x0E\x03\x02\x14\x12E005_Boss\nHa ha... Ha ha ha !\x0E\x04\x02\x00
MID_OP2_#066	Le dernier bracelet est enfin en ma possession !\x0E\x04\x02\x00
MID_OP2_#067	Éveillez-vous, Emblèmes ! Exaucez mon désir !\x0E\x04\x02\x00
MID_OP2_#068	J'ai réussi, Père... enfin !\x0E\x04\x02\x00
MID_OP2_#069	RAAAH !\x0E\x04\x00\x00
MID_OP2_#070	\x0E\x03\x02\x0A\x08リュール\nJ'ai fait ce que vous m'aviez demandé.\nMaintenant, libérez Nel.\x0E\x04\x00\x00
MID_OP2_#071	\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x02\x14\x12E006_Boss\nEt pourquoi ferais-je une telle chose, maintenant\nque j'ai obtenu ce que je voulais ?\x0E\x04\x00\x00
MID_OP2_#072	\x0E\x03\x02\x0A\x08リュール\nEspèce de monstre !\x0E\x04\x00\x00
MID_OP2_#073	\x0E\x03\x02\x14\x12E006_Boss\nHa ha ha ! Adieu, ma pitoyable sœur !\x0E\x04\x00\x00
MID_OP2_#074	\x0E\x03\x02\x0A\x08リュール\nNel !\x0E\x04\x00\x00
MID_OP2_#075	\x0E\x03\x02\x18\x16E006_セレスティア\nCessez cela !\x0E\x04\x00\x00
MID_OP2_#076	\x0E\x03\x02\x14\x12E006_Boss\nQu'est-ce que... ?\x0E\x04\x00\x00
MID_OP2_#077	\x0E\x03\x02\x0A\x08リュール\nZelestia ! Gregory ! Madeline !\x0E\x04\x00\x00
MID_OP2_#078	\x0E\x03\x02\x18\x16E006_セレスティア\nVous n'avez rien, Dame Nel ?!\x0E\x04\x00\x00
MID_OP2_#079	\x0E\x03\x02\x10\x0EE006_エル\nMes Zéphyrs, quel soulagement de vous revoir !\x0E\x04\x02\x00
MID_OP2_#080	Et vous êtes sains et saufs !\x0E\x04\x00\x00
MID_OP2_#081	\x0E\x03\x02\x0A\x08リュール\nAttendez... Je ne vois pas Mauvier...\x0E\x04\x00\x00
MID_OP2_#082	\x0E\x03\x02\x18\x16E006_セレスティア\nVotre Divinité, Dame Nel... Je suis désolé.\nNous n'avons rien pu faire...\x0E\x04\x02\x00
MID_OP2_#083	Mauvier, il...\x0E\x04\x00\x00
MID_OP2_#084	\x0E\x03\x02\x10\x0EE006_エル\nQu'est-il arrivé ?\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16E004_セレスティア\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nLes piliers ont été détruits. Le temple ne va pas\ntarder à s'effondrer.\x0E\x04\x02\x00
MID_OP3_#002	Adieu, vous tous... ma famille...\x0E\x04\x02\x00
MID_OP3_#003	Que... ?!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nMauvier... Que fais-tu avec ce bâton\nde Téléport ?!\x0E\x04\x02\x00
MID_OP3_#005	Où est Zelestia ? Tu l'as transportée\nà l'extérieur ?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x12\x10M011_モーヴ\nOui, c'était mon intention dès le départ.\x0E\x04\x02\x00
MID_OP3_#007	Pars. Nous n'avons pas besoin de tous\nrester ici.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x16\x14E004_グレゴリー\nC'est stupide, tu réalises que tu ne pourras pas\nte téléporter toi-même ? Donne-moi ce bâton !\nSi quelqu'un doit rester ici, ce sera moi !\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x12\x10M011_モーヴ\nGregory, tu es le nouveau commandant en\nsecond de Zelestia. Sers-la comme il se doit.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x16\x14E004_マデリーン\nPourquoi ne nous avoir rien dit, Mauvier ?\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, je te souhaite de connaître une vie\nheureuse. Te protéger aura été mon...\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x16\x14E004_マデリーン\nNe dis pas cela ! Ne parle pas d'adieux !\nNous devons rester ensemble, et tu dois\nsavoir que...\x0E\x04\x02\x00
MID_OP3_#013	Mauvier, je t'...\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x12\x10M011_モーヴ\nVoilà. C'est fait.\x0E\x04\x02\x00
MID_OP3_#015	Je suis désolé de vous avoir caché\nmes intentions.\x0E\x04\x02\x00
MID_OP3_#016	Vous étiez ma famille, et je vous suis\nreconnaissant pour tous ces moments\nque nous avons partagés ensemble.\x0E\x04\x02\x00
MID_OP3_#017	Mais une page se tourne. Vous devrez\ndésormais poursuivre sans moi.\x0E\x04\x02\x00
MID_OP3_#018	Dame Veyle... Je m'en vais vous rejoindre.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x10\x0EE006_エル\nNon... Mauvier...\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nJe ne peux y croire...\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x18\x16E006_セレスティア\nSon sacrifice héroïque est digne des plus nobles\nchevaliers. Il a prouvé sa dévotion jusqu'à son\ndernier souffle.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x14\x12E006_Boss\nAlors un seul Zéphyr est tombé ?\nComment est-ce possible ?!\x0E\x04\x02\x00
MID_OP4_#005	Peu importe, vous allez tous périr pour satisfaire\nle seigneur Sombron, misérables insectes !\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x0A\x08リュール\nNon, Nil ! Nous ne vous laisserons pas perpétuer\nles méfaits de Sombron !\x0E\x04\x02\x00
MID_OP4_#007	Nous vous empêcherons de revendiquer\nson héritage, quoi qu'il nous en coûte !\nZéphyrs ! Dame Nel !\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x18\x16E006_セレスティア\nVous avez peut-être éliminé l'un des nôtres,\nmais les Zéphyrs soufflent plus fort que jamais !\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x00\x1A\x14E006_グレゴリー\x023\x0E\x03\x02\x16\x14E006_グレゴリー\nJe ne me défilerai pas. Je dois prouver ma\nvaleur en tant que second des Zéphyrs,\npour Mauvier.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x00\x1A\x14E006_マデリーン\x024\x0E\x03\x02\x16\x14E006_マデリーン\nUn chevalier se doit de mettre son suzerain hors\nd'état de nuire lorsque celui-ci se fourvoie.\nJe ne faillirai pas.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE006_エル\nL'idée de perdre ne serait-ce qu'un\nseul d'entre vous m'est intolérable.\x0E\x04\x02\x00
MID_OP4_#012	Que cette bataille soit la dernière !\x0E\x04\x02\x00
MID_OP4_#013	Mon frère...\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\n青リュール\x02b\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x04\x0C\n青リュール\n\x0E\x05\x01\x18\n青リュール\nAngry\n\x0E\x03\x02\x0C\n青リュール\nJe t'en conjure, tu dois l'arrêter...\nSers-toi du pouvoir qu'il me reste.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x01\x0C\n青リュール\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nCe pouvoir... est immense.\x0E\x04\x02\x00
MID_EV1_#003	\x0E\x05\x01\x16\x08リュール\nAngry\nMerci. J'en ferai bon usage !\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nCe terrain est trop instable. Nous ferions mieux\nde nous diriger vers cette île au nord-ouest.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nDes renforts ennemis émergeront de ce vortex.\nNous devons l'oblitérer, ainsi que tous ceux\nqui apparaîtront.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nIl s'en est fallu de peu. Si je m'étais trouvée là,\nj'aurais sans nul doute perdu la vie.\x0E\x04\x02\x00
MID_EV4_#002	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nNil semble absorber le pouvoir de tous ceux\nqu'il anéantit de cette façon.\x0E\x04\x02\x00
MID_EV4_#003	\x0E\x05\x01\x1C\x0EE006_エル\nAngry\nCela vaut sans doute la peine de réduire\nle nombre d'adversaires présents sur\nune île avant qu'elle ne s'effondre.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nIl semble y avoir quelque chose, là...\nJe doute que ce soit dangereux,\nmais mieux vaut examiner ça.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nVotre monde vous manque ? Quel dommage,\nvous ne le reverrez jamais... Pas après m'avoir\ndéfié de la sorte !\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01\x1E\x12E005_Boss\x08Pain\n\x0E\x03\x02\x14\x12E005_Boss\nJ'ai été vaincu ? C'est impossible. Père... Père !\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nQuelle joie... Nous voilà tous réunis, comme\nautrefois. J'avais toujours espéré...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nJe peux enfin rejoindre tous les autres...\ndans ce magnifique champ fleuri...\nDragon divin, je...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01"\x14E006_Hide2\nSmile\n\x0E\x03\x02\x16\x14E006_Hide2\nEnfin ! Finies les responsabilités, les obligations\net tout le reste ! Je n'ai qu'une chose à faire,\nsarcler ces mauvaises herbes...\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01\x1E\x14E006_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide2\nLe dernier membre de la famille royale de\nFirene s'en va avec dignité. Mère...\nJ'ai été si heureuse...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nTout espoir de paix s'est évanoui. Qui pourra\nbien hériter du trône, désormais ?\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nMerci. Je n'aurai plus à me battre.\nChère Brodia, je n'ai pas été à la hauteur...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01 \x14E006_Hide4\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide4\nSuis-je mort ? Moi, le futur roi, promis\nà un avenir radieux ? Impossible.\nQuant à vous, que faites-vous ici ?\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01\x1E\x14E006_Hide4\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide4\nMa disgrâce doit prendre fin. Je n'ai pas été\nle frère que tu espérais, Diamant...\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01 \x14E006_Hide5\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide5\nL'avènement d'un enfant du Dragon déchu\ndevrait me combler... D'où vient ce vide\nque je ressens ?\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01\x1E\x14E006_Hide5\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide5\nMême s'il est trop tard pour me racheter...\nJe voudrais m'excuser auprès d'Hortensia...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01$\x14E006_Hide6\x0CNormal\n\x0E\x03\x02\x16\x14E006_Hide6\nIl ne reste personne. Pas même le Dragon divin.\nIls ne reviendront pas...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01"\x14E006_Hide6\nSmile\n\x0E\x03\x02\x16\x14E006_Hide6\nC'en est fini... Peut-être allons-nous tous nous\nretrouver ? Ivy... A-t-elle hâte de me revoir ?\x0E\x04\x00\x00
MID_BT24_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nVotre Divinité... La vie vous a donc été rendue,\ncomme à moi ?\x0E\x04\x00\x00
MID_BT24_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nPas exactement. Mais vous voulez dire que...\nvous êtes consciente d'être une Aberration ?\x0E\x04\x00\x00
MID_BT24_#003	\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nJe suis censée avoir péri en Elusia... Mais\ncomme vous le constatez, je suis toujours ici.\x0E\x04\x02\x00
MID_BT24_#004	Vous aussi... J'en déduis que je pourrai revoir\ntous ceux qui m'étaient chers.\x0E\x04\x02\x00
MID_BT24_#005	\x0E\x05\x01$\x14E005_Hide1\x0CStatus\nVous êtes de mon côté, Votre Divinité, n'est-ce\npas ? Il ne peut en être autrement.\nPourquoi vous opposez-vous à moi ?\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide7\nJe n'éprouve aucune animosité à votre égard.\nJe ne fais qu'accomplir mon devoir en tant\nque dernière reine de Solm.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide7\nJe le sens déjà. Le soleil du désert qui réchauffe\nmon visage. Mère, enfin... je vais vous retrouver.\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01\x1E\x14E006_Hide8\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide8\nLa mort ne m'effraie pas, je l'embrasse même.\nJ'ai déjà péri deux fois...\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01$\x14E006_Hide8\x0CStatus\n\x0E\x03\x02\x16\x14E006_Hide8\nArgh... Cette fois... sera la bonne...\x0E\x04\x00\x00
MID_BT25_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nVotre Divinité, cela faisait longtemps... depuis\nnotre escarmouche au château de Lythos !\x0E\x04\x02\x00
MID_BT25_#002	\x0E\x05\x01"\x14E005_Hide2\nRelax\nVotre mystérieux assaillant ? C'était moi.\nNil venait juste de corrompre mon esprit,\nalors certains détails m'échappent encore...\x0E\x04\x00\x00
MID_BT25_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nVous savez ce que Nil vous a fait, et vous vous\nobstinez à vous battre pour lui ? Pourquoi ?\x0E\x04\x00\x00
