MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08パンドロ\nDites, Dame Veyle, je peux vous parler une\nseconde ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nAllons, vous faites pas de bile et faites-moi\nconfiance !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nMais... et si vous vous trompiez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHum, Pandreo ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nQu'est-ce qui vous arrive ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne suis pas sûre de comprendre.\nD'où vient toute cette nourriture ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nVoyons voir... Des légumes, des céréales, de\nla viande et du poisson ! C'est un beau petit\npactole que vous avez là !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nC'est beaucoup trop, je me demande\nce que je vais en faire !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nPourquoi m'envoie-t-on tous ces cadeaux ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nC'est pas vraiment des cadeaux, plutôt des\noffrandes. C'est comme ça que les gens vous\ndisent qu'ils ont foi en vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nJe veux bien croire que le peuple du royaume\nde Solm soit effectivement très ouvert d'esprit...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nMais pourquoi êtes-vous aussi gentils avec\nmoi, vous tous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nTout cela n'a aucun sens !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nLes humains, la colère et la vengeance, ça les\nconnaît, c'est sûr. Mais ils savent aussi\npardonner et faire preuve de compassion.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nLes gens sont nombreux à voir que vous avez\nchangé, et pas seulement à Solm !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nSi vous les rencontrez un jour, je parie qu'ils\nseront tout ce qu'il y a de plus charmant avec\nvous.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nVous croyez vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nSi tout cela est vrai, il faudrait que je fasse\nquelque chose pour remercier tous ces gens.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nIls m'ont rendue heureuse, et je veux leur\nrendre la pareille.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nÇa me plaît, ça. Vous avez une idée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAhouuuu ! Allez à vous, je vous entends pas !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nAhou...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nAllez-y plus fort, Dame Veyle !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nC'est que... ça me gêne un peu.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パンドロ\nC'est vous qui vouliez organiser cette fête !\nVous vouliez rendre du bonheur à ceux qui\nvous en ont donné, vous vous souvenez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nSi vous voulez que les gens se lâchent, faut\ncommencer par leur montrer l'exemple !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nOui, vous avez raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nJe voulais exprimer ma gratitude à tout le\nmonde, et c'est grâce à vous si cette fête a\nvu le jour, alors...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nAhouuu ! Merci, merci à tous d'être venus !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMerci pour tous ces cadeaux, et de m'avoir\nrendue heureuse ! J'espère que cette fête\nvous rendra heureux, vous aussi !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x04\x03\x04
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nOn dirait que ça se vide. On va pouvoir\ncommencer à ranger.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nJe me suis... tellement amusée.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nHmm ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nLa fête... C'était extraordinaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nTout le monde s'est montré si gentil avec\nmoi, et j'ai eu des discussions vraiment\npassionnantes !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nJ'avais l'impression d'être dans un rêve.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nJe vous l'avais bien dit ! Ils savent bien que\nvous avez changé.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nJe me demande si certains se méfient encore\nun peu de moi, au fond.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nAu moins, ils connaissent la personne que je\nsuis aujourd'hui. La vraie moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nPandreo, j'aimerais que cette journée ne\nfinisse jamais !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\nVous en faites pas, on remettra ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nTant mieux !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パンドロ\nMais il faudrait pas qu'on croie que vous pensez\nqu'à vous amuser, alors qu'on est en guerre.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nQuand le monde aura retrouvé la paix, il sera\ntemps de refaire la fête !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nOui, vous avez tout à fait raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パンドロ\nMais vous pourrez toujours compter sur moi,\nd'ici là. Vous êtes quand même un de mes\ndragons préférés, après tout !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nMerci, Pandreo, pour tout ce que vous avez\nfait pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ヴェイル\nJe vais faire tout mon possible pour que la\npaix revienne. Nous aurons vraiment de quoi\nfaire la fête, ce jour-là !\x0E\x04\x00\x00
