MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nBonjour, Chloé. Je ne m'attendais point\nà vous voir ici.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\nYah !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nTrès bon tir ! En plein dans la cible !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nChloé ? Mais que faites-vous ici ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nVous êtes-vous égarée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nPas du tout. Je sais que c'est mal, mais je\nvous ai suivie pour voir ce que vous faisiez.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nÀ chaque fois que vous partez pour quelque\ntâche importante, vous revenez couverte\nde boue.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nAh. Ainsi, vous vous inquiétiez pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nJ'en suis désolée.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nIl n'y a vraiment pas de quoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nMaintenant, je comprends ce qui vous tenait\ntant à cœur. Vous effectuiez des entraînements\nsupplémentaires pour votre magie !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nOui, vous avez compris.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nComme je vous l'ai dit, j'ai été nommée vassale\ngrâce à mes relations, et non parce que je\npossédais les qualités requises.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nChaque jour, je m'entraîne pour pallier\nce manque en gagnant de la force.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nJe n'ai jamais eu l'intention d'en faire\nun secret ! Je me contente... d'éviter\nd'attirer l'attention dessus.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nSi seulement vous m'en aviez parlé...\nAprès tout, j'aurais pu vous aider !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nVous feriez cela pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nMais bien sûr ! Ne sommes-nous pas amies ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nMerci, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nEn plus, m'entraîner me permet d'apprécier\nencore davantage la cuisine de rue.\nVous allez voir !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nシトリニカ\nHé hé ! Vous croyez vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nSi on m'avait dit que les tripes de poisson\npouvaient être encore plus savoureuses...\x0E\x04\x00\x00
