MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSeadall, on raconte que vous êtes un des\nmeilleurs diseurs de bonne aventure.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nExiste-t-il un moyen de vous rendre votre talent\nde diseur de bonne aventure ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nJe l'ignore. Je pense qu'il me faut simplement\nattendre que ça revienne quand ce sera prêt.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nEt si vous me disiez quand même la bonne\naventure ? Je ne vous en voudrai pas si vous\nvous trompez.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nQuoi ? Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nFaites-moi plaisir. Je partirai du principe que\nvotre lecture est erronée.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nSi vous y tenez. Commençons...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セアダス\nLes cartes ont parlé !\nAu marché vous agirez comme un chat.\nLa bonne fortune vous le rendra.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ヴェイル\nQue je fasse le chat au marché ?\nC'est pour le moins étrange, non ?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08セアダス\nParfaitement étrange. Je vous avais dit que\nje n'étais pas dans mon assiette. N'y prêtez pas\nattention, rien ne se passera.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ヴェイル\nHa ha, si vous le dites.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSeadall ! Votre prédiction de l'autre fois,\nelle s'est réalisée !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nQue voulez-vous dire ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai suivi votre consigne. Je suis allée au marché\net je me suis comportée en chat. Enfin, j'ai\nbeaucoup miaulé.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nVraiment ? Mais je vous avais dit de ne pas\nen tenir compte.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai juste voulu tenter ma chance. Vous savez,\npour m'amuser. Et puis quelque chose\nd'incroyable s'est produit.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai miaulé et miaulé encore, et on aurait\ntellement cru à un vrai chat que toutes les\nsouris ont fui le marché.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nTout le monde était très heureux... si heureux\nqu'on m'a donné de délicieux produits pour me\nremercier !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nC'était si palpitant que la fatigue m'a\nsubitement quittée. Votre prédiction\ns'est révélée juste !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nVraiment ? Elle sonnait si... faux... quand je\nl'ai dite. Mais si elle s'est avérée parfaite...\nc'est que j'ai repris du poil de la bête !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nCeci dit, mieux vaut ne pas trop ébruiter\nla nouvelle.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nPourquoi cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nVous êtes très aimable, Dame Veyle.\nCela ne fait aucun doute.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nJe perds confiance en moi, et vous inventez cet\nadorable conte dans le seul but de me remonter\nle moral.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nEt vous y êtes parvenue. Je vous en remercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nNe dites pas cela. C'est la stricte vérité !\nSérieusement !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nJe vous en voudrai beaucoup si vous ne\nme croyez pas !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nTrès bien, très bien. Si vous le prenez ainsi...\nJe vous crois. Satisfaite ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nMaintenant que j'ai accédé à votre requête\net que je crois à votre histoire, laissez-moi\nlire à nouveau votre avenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nSi c'est là ce que vous voulez, certainement.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nLes cartes ont parlé ! À la clarté de la\npleine lune, ramasse les pétales dorés.\nAinsi, ton souhait se verra exaucé.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ヴェイル\nRamasser des pétales dorés...\nPar une nuit de pleine lune ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nC'est bizarre. Je ne comprends pas vraiment\nce que cela veut dire, mais je peux le garder\nen tête.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nOh, des pétales de fleurs, sur le sol. Étrange...\nÇa me rappelle la prédiction de Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x02\x0A\x08セアダス\nÀ la clarté de la pleine lune, ramasse les pétales\ndorés. Ainsi, ton souhait se verra exaucé.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nCes fleurs que vous tenez...\nVous n'avez donc pas oublié ma prédiction.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nMais leurs pétales sont blancs et non dorés.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nVous êtes sûre ?\nRegardez-les à la clarté de la pleine lune.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nHm ? Comme ceci ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nOh, magnifique ! Ils brillent comme de l'or.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nCes fleurs n'éclosent que par une nuit\nde pleine lune.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nLeurs pétales nous semblent blancs, mais ils\narborent des reflets dorés à la lumière d'un\nclair de lune.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nQue c'est beau !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nOn raconte qu'il en émane aussi\nune fragrance apaisante.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nJe serais heureux s'ils pouvaient soulager\nne serait-ce qu'un peu de votre douleur,\nDame Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nMerci, Seadall. Vous vous êtes donné tant\nde mal pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nJ'ignore de quoi vous parlez.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nNe dites pas de bêtises. Vous avez orchestré\ntoute cette histoire pour me faire plaisir,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nJe vous jure que je n'avais rien à voir là-dedans.\nEt puis, un diseur de bonne aventure ne révèle\njamais ses secrets.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nOh, je vous en prie...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nÀ présent, nous sommes quittes.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ヴェイル\nComment cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nGrâce à vos douces attentions, mes pouvoirs\nde prédiction sont plus affûtés que jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nC'est formidable, j'en suis heureuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nDites-moi, Seadall, vous ne trouvez pas que\nla lune est belle, ce soir ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セアダス\nSi, très belle. Je pense que je n'oublierai jamais\nà quel point elle l'est.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ヴェイル\nMoi non plus.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nÀ la clarté de la pleine lune, ramasse les pétales\ndorés. Ainsi, ton souhait se verra exaucé.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nJe souhaite un monde de paix et de bonheur.\nEt puis...\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nJe vous souhaite aussi de connaître le bonheur,\nSeadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nPardon, vous avez dit quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nNon. Vous avez dû entendre le bruissement\ndes fleurs qui éclosent dans la nuit.\x0E\x04\x00\x00
