MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nEsprits des cartes, éclairez-moi de votre\ndivine lumière afin que j'entrevoie la voie\nque je devrai suivre !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nPar la lune et les étoiles ! Je pensais que vous\nprotesteriez quand même un minimum !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nBon... autant ne pas vous priver.\nÊtes-vous néanmoins obligée de montrer\nun tel plaisir dans cette dégustation ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nMerci pour le repas, Seadall. La prochaine\nfois, c'est moi qui régale !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nSi vous le dites. Ce sera sûrement... délicieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06クロエ\nAlors, qu'est-ce que tu en dis ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nMais... c'est censé se manger ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\nÉvidemment.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nVous pouvez me dire ce que je contemple,\nau juste ? Quels sont les ingrédients ?\nEt qu'est-ce qu'on en a fait ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nEh bien, ce sont des œufs cuits dans\ndu sucre.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\nDes œufs de quoi, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nEn gros, d'un poisson rare pêché en\neaux firéniennes...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\nComment ça, « en gros » ? C'est quel\ngenre d'œufs ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nDes œufs du genre délicieux. Tu n'as aucune\nraison de t'inquiéter.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nPeut-être, mais je m'inquiète, et pas qu'un peu !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nToutefois, vous vous êtes donné tellement de\nmal pour m'apporter à manger qu'il serait mal\nélevé de ne pas y goûter.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nOh... Entre l'apparence et l'odeur, je n'ai\nplus faim du tout...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nLa cuisine de rue, ce n'est pas pour tout\nle monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nChloé, je suis vraiment désolé, mais je crois\njustement que ce n'est pas pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nC'est fort dommage. Ce plat pourrait bien\navoir une délicieuse saveur, qui ne t'empêchera\nen rien de danser.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nQuoi ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nVous avez trouvé un plat... qui aurait bon\ngoût, mais sans nuire à ma danse ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nJ'ai refusé un peu vite. Je mangerai\nvotre plat de rue.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nGénial ! Vas-y, sers-toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nÀ la guerre comme à la guerre...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nTu as envie de tout recracher, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nNon... C'est plutôt bon, en fait. Il y a une\nnote amère, une autre sucrée... Et j'aime\nbien, justement.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nVraiment ? Tu m'en vois soulagée. Le goût\npeut être si fort que j'avais peur de te voir\ntout vomir.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nVous n'avez pas idée de ce que j'ai pu manger\nà l'époque où je voyageais avec la caravane.\nMon estomac peut supporter bien des épreuves.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08セアダス\nVous pourriez m'en apprendre plus au\nsujet de ces plats, un autre jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06クロエ\nAvec le plus grand plaisir. Et merci de donner\nsa chance à cette nourriture, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nEt un, deux, trois, quatre...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nTe regarder danser est un spectacle\ndont je ne me lasse jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nVous venez prendre de mes nouvelles ?\nSi j'avais su que vous me regardiez, j'aurais\ninstallé une place au premier rang.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nOui, mais je ne voulais pas interrompre\nton entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nJ'ai apporté un nouveau plat de rue pour toi !\nDu lézard au miel. Je te garantis que c'est\nbon pour ta ligne.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nÇa a l'air tout à fait... appétissant, comme\nd'habitude. Merci, en tout cas.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nC'est savoureux. Inhabituel, certes, mais\nce goût sucré me plaît.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\nAh ! C'est exactement ce que je me suis dit !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nJe t'ai fait goûter assez de plats de rues\npour te percer à jour ! Tu aimes le sucré,\npeu importe sous quelle forme !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nJe n'en suis pas si sûr...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nTu es un danseur merveilleux. Tes gestes\nsont à la fois gracieux et très puissants.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nQuelqu'un t'a enseigné cet art ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nOui, j'ai un maître. Quand je voyageais avec\nla caravane, un professeur m'a appris\nla danse.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nEnfin, je devrais plutôt parler de lui au passé...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nTu veux dire...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nIl est mort en me protégeant, au cours\nd'une attaque sur la caravane.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nOh, non...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nJe n'ai jamais pu m'acquitter de tout ce que\nje lui devais. C'est le seul avenir que je n'ai\npu prédire.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nL'art de ton maître survit en toi, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nJe l'espère. Mais j'ai encore du travail\npour atteindre son degré de perfection.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nJe fais tout de même de mon mieux pour\némerveiller mon public par cet art sublime\nqu'est la danse.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クロエ\nEt tu y parviens, je n'ai aucun doute à ce sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セアダス\nMerci, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nEt puisque j'ai fini de manger, le moment\nest venu de danser.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セアダス\nJe comptais faire une représentation spéciale\npour vous remercier, mais nous pourrions\ndanser ensemble, plutôt. Qu'en dites-vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nRien ne me ferait plus plaisir.\x0E\x04\x00\x00
