MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nEnfin, Clanne... Je te *retrouve*.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nZelkov ? Qu'y a-t-il ? Vous recommencez à faire\ncette tête qui fait peur.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nOh oh, la sauce n'est pas à hauteur\nde vos attentes ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nJ-J'imagine que non. J'en suis désolé.\nJ'aurais aimé en faire plus pour vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\n*Goûte* ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nHm ? Mais je croyais que le résultat n'était...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n*Goûte* ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nD'accord...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nBon, voyons ce que ça donne... Hm...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クラン\nMais ?! Attendez, c'est délicieux !\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nLes légumes marinés sont aigres et doux\nà la fois dans un équilibre parfait.\nCette sauce est incroyable !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nElle *l'est*.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\nAlors pourquoi êtes-vous si contrarié ?\nVous avez préparé cette sauce à la perfection.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est exact. La *sauce* est parfaite. Mais un\ndéfi encore plus grand m'attend, maintenant.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nJe ne connais aucun plat *digne*\nde l'accompagner.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nOooh. Ça explique votre mine épouvantable.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'étais persuadé que la sauce serait mon\n*triomphe*. Mais elle n'a fait que me révéler\nla profondeur de ma folie.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nÀ mon avis, mes légumes marinés vont avec\ntout. Mais si je ne devais choisir qu'un seul\naccompagnement, je dirais la viande rouge.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nLa *viande*, dis-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nOuaaah ! Vous refaites cette tête effrayante !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nTu es un savant, Clanne. Un *érudit* culinaire.\nUne fois de plus, je te suis redevable.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nS'il existe effectivement un plat de viande\n*digne* de cette sauce, nous le goûterons\nensemble, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nEuh, hm... pourquoi pas. Et puis je commence\nà m'habituer à cette tête.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\nPuisque nous cuisinons des plats *délicieux*\nensemble, je vous accompagnerai jusqu'au\nbout de cette aventure !\x0E\x04\x00\x00
