MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x08\x06クラン\nPrince Fogado, j'ai une question.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クラン\nDes tas ! J'ai plusieurs pages de notes sur la\nmanière de préparer et de manger toutes sortes\nde fruits tropicaux.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nOh. Euh... d'accord, même si je ne suis pas sûr\nque ce soit utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nMe laisserais-tu jeter un œil à ton carnet ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nBien sûr ! J'espère que vous arriverez\nà me relire. J'ai du mal à m'appliquer,\nquand je suis surexcité...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nフォガート\nVoyons les notes que tu as prises.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\n« Fogado est un homme du peuple.\nIl est si accessible qu'on en oublierait\nson statut de prince. »\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\n« Il guide les Sentinelles avec fermeté...\nIl aime faire la fête et raffole des plats\nraffinés... »\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\n« Il est doué dans tous les domaines, sauf\nla pêche. » Ha ha ! C'est sévère, mais juste !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nTu m'as parfaitement cerné. Je parie que tu\nne vois plus rien de spécial en moi, à présent.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nQuoi ?! C'est bien l'inverse, je vous admire !\nVous êtes quasiment un surhomme !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nMais je n'ai rien appris qui puisse combler\nle fossé entre vous et moi. Il semble au\ncontraire se creuser...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nTu le penses vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nJ'ai une proposition à te faire. Et si nous\ndéjeunions ensemble, un de ces jours ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nDéjeuner, vous dites ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nOui. Je te révélerai un secret qui rendra\ntoute cette affaire bien plus limpide.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nVraiment ? Le secret du Prince Fogado pour\ndevenir un homme me sera bientôt révélé...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nVous pouvez compter sur moi !\nJ'ai hâte d'y être !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nVoici ton déjeuner, le tout accompagné\nde légumes marinés, tout comme tu les aimes !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nEh bien, ça a l'air délicieux !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nÀ propos de mon secret... Vois-tu, il y a une\npersonne que j'admire. Quelqu'un à qui j'ai\nenvie de ressembler.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nJe vais te dire ce qui me plaît chez lui,\net tu auras enfin toutes tes réponses.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nJe suis tout ouïe ! Dites-le-moi, je veux\ntout savoir !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nTu le verrais, c'est un vrai bourreau de travail.\nIl cherche toujours un moyen de s'améliorer.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nEt il n'abandonne jamais. C'est exactement\nle genre d'attitude dont le monde a besoin\nen ce moment.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nOh. On dirait une belle source d'inspiration\npour ceux qui le côtoient.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nUne source d'inspiration, tout à fait.\nQuand je le vois, j'ai envie de suivre\nson exemple, de me surpasser.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nJe peux savoir de qui vous parlez ?\nEst-ce que je le connais ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nフォガート\nJe pense bien, oui. Il est assis tout près\net note quelque chose dans son carnet.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nVous voulez dire qu'il n'est pas loin d'ici ?\nOu alors...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nAttendez, quoi ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nフォガート\nJe sais que tu m'admires. Mais pour être franc,\nje t'admire aussi, peut-être même encore plus.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nQUOIII ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nフォガート\nÉcoute-moi. Toutes ces histoires...\nêtre un grand garçon, être un homme...\nTout cela n'a aucune importance.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nTu vivras bien mieux si tu les oublies\net que tu te fies à ton jugement.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nフォガート\nEt ton attitude positive et travailleuse... Si tu\nveux mon avis, c'est là une qualité en or.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nJe... Ouah. C'est vraiment gentil de votre part.\nJe sais pas quoi dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nJe ferais mieux de redoubler d'effort\npour ne pas vous décevoir !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nOh oh... Dans ce cas, tu m'impressionneras\ndeux fois plus. Mais à ce stade, ma tête risque\nd'exploser.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nHmm... Ça doit être ce qu'on appelle\nfaire ressortir le meilleur chez l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nフォガート\nJe n'aurais pas mieux dit.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nAllez, mange aussi un peu. C'est ainsi\nque tu deviendras grand et fort, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\nFaut pas me le dire deux fois !\x0E\x04\x00\x00
