MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nSalut, Lindon ! Ma sœur vous demande.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nDepuis la mort soudaine de Sa Majesté\nHyacinth, Elusia s'est enfoncée dans la crise.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nEn des temps troublés comme les nôtres, le\nmoindre incident peut compromettre l'équilibre\ndu royaume.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nSi je veux protéger mon royaume bien-aimé,\nje dois consacrer toutes mes forces à sa\nreconstruction.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nVoilà pourquoi, Princesse Hortensia, je n'ai pas\nde temps à vous consacrer.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cオルテンシア\nVoilà qui explique que ma sœur Ivy voulait vous\nvoir, l'autre jour...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nExcusez-moi, Lindon. Je me suis montrée\négoïste.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe n'avais que ma propre éducation en tête,\nalors qu'Ivy et vous faites tout votre possible\nau service d'Elusia.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nMais non, voyons, ne vous excusez pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リンデン\nIl n'y a rien de mal à vouloir prendre sa vie\nen main, Votre Altesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cオルテンシア\nNon, peut-être pas. Merci.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais je suis une princesse d'Elusia, moi aussi.\nSi je peux faire quelque chose pour vous aider,\ndites-le-moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nQu'est-ce que je pourrais bien faire pour\nElusia ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nQue puis-je faire, Père ? Aidez-moi...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nSi Sa Majesté Hyacinth était encore parmi nous,\nje suis sûr qu'il vous dirait que vous servez déjà\ngrandement votre royaume.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nLindon...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nComment vous pouvez en être si sûr ?\nMon père... n'est plus là.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'était Ivy, la petite fille modèle. Moi, j'ai\ntoujours causé des problèmes.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe pense que si mon père me regarde de là où\nil est, il doit être terriblement déçu.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nJ'étais le vassal du frère aîné de Sa Majesté, il\ny a longtemps. Vous le saviez, j'imagine.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nÀ l'époque, je ne portais pas Sa Majesté en\ntrès haute estime.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nC'est vrai ? Je n'en savais rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nLa succession au trône ne s'est pas faite sans\nheurts. Quand votre père a voulu faire valoir son\ndroit à la couronne, votre oncle s'y est opposé.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nFinalement, c'est l'aîné des deux frères qui a\ndû s'incliner, et quitter le pays.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nJ'étais moi-même un fervent partisan de votre\noncle, et j'ai d'abord été plein de rancune\nenvers votre père.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リンデン\nJusqu'au jour où il m'a dit :\n« Lindon, tu sers grandement notre royaume. »\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nJe ne savais pas comment le prendre. Votre\npère et moi étions ouvertement ennemis !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nJ'ai fini par comprendre qu'il était sincère.\nEn ces temps de trouble, nous partagions\nla même volonté de protéger Elusia.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リンデン\nVoilà pourquoi je sais ce qu'il aurait pensé de\nvous, et pourquoi je vous dis que vous servez\ngrandement le royaume.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cオルテンシア\nCela me touche beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nEt n'oubliez pas que tous les pères aiment\nleurs enfants.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nVous n'auriez jamais pu décevoir Sa Majesté.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リンデン\nEn tant que père de trois enfants, je sais de quoi\nje parle, je vous prie de le croire !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cオルテンシア\nD'accord, d'accord, vous m'avez convaincue.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe me sens beaucoup mieux, maintenant.\nJe vous remercie.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vais continuer à prendre ma vie en mains,\net faire de mon mieux en toute chose ! Je veux\nque Père soit fier de moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リンデン\nTrès bien, voilà la bonne attitude.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08リンデン\nJe manque certes de temps, mais j'ai toujours\nquelques conseils dans ma besace. Si vous avez\nbesoin d'une oreille attentive, je serai là.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08リンデン\nVous êtes déjà une jeune femme accomplie.\nC'est avec plaisir que je vous observerai\npoursuivre votre évolution.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous aussi, vous serez fier de moi, Lindon.\x0E\x04\x00\x00
