MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x06\x04ルイ\nBonjour, Saphir. Vous plairait-il de déguster\nune tasse de thé en ma compagnie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nBen ça alors...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nザフィーア\nIl me fait voyager, ce thé ! Je ne sais pas si c'est\nle goût ou l'odeur, mais j'ai l'impression de le\nconnaître.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nIl se trouve que j'ai mené mon enquête sur les\nessences de thé habituellement servies dans\nvotre village natal.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nTout s'explique ! Mais pourquoi vous donner\ntant de mal ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nIl n'a rien d'exceptionnel, on trouve beaucoup\nmieux en Firene !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nVous êtes hantée par de douloureux souvenirs\nqui refusent obstinément de s'estomper.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nEn plus d'une occasion, je vous ai vue aux\nprises avec ces souvenirs.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nIl n'est pas en mon pouvoir de vous en délivrer.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nPersonne n'en est capable, je le crains.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nCependant, une idée s'est fait jour en moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nLes souvenirs douloureux n'ont point le\nmonopole de la ténacité.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nJe crois savoir où vous voulez en venir.\nEt vous pourriez bien avoir raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\nDès la première gorgée de thé, j'ai été assaillie\npar des images oubliées.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nLe champ où nous courions, mon amie et moi.\nLes arbres sous lesquels nous nous racontions\nnos rêves.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nザフィーア\nLe dos de mon père qui s'éloignait quand\nil partait pêcher. Le visage de ma mère qui\npréparait le dîner. Nous trois réunis à table...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nQue de bons moments. Je les avais presque\noubliés, mais ils ne m'ont jamais quittée, en\nfin de compte.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nPrécisément.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nAvec un peu de chance, j'en rêverai cette nuit.\nSi c'est le cas, ce sera grâce à vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nSi j'ai pu vous être de quelque assistance,\nvous m'en voyez comblé.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nEncore une chose, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nザフィーア\nJe n'oublierai jamais ces bons moments que\nnous avons passés ensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nIl en va de même pour moi, Saphir.\nN'en doutez pas.\x0E\x04\x00\x00
