MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nミスティラ\nRegardez-moi ça ! Si ce n'est pas Fogado,\nmon seul et unique frangin préféré, hé hé hé !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nÉcoute... Il faut qu'on parle de quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nQu'y a-t-il, Fogado ? Ça n'a pas l'air d'aller.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nEh bien... Je te dois des excuses.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nJe le savais ! C'est toi qui as volé mes\ncôtelettes ! Je les gardais pour un petit\ncreux nocturne !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nQuoi ?! Jamais de la vie ! Je sais à quel point\ntu aimes manger de la viande en pleine nuit !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nUne seconde. Qu'est-ce que ça veut dire,\n« Je le savais » ? Tu ne fais pas confiance\nà ton frère ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nHa ha, toutes mes excuses. Je suis de mauvaise\nhumeur quand je me réveille le ventre vide.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nBref, pourquoi me dois-tu des excuses ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\nJ'ai repensé à ce que tu as dit. Que je n'étais\npas vraiment présent, au château.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nJ'ai toujours été convaincu qu'un peuple à\nl'esprit libre méritait un prince à l'esprit libre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nMais aujourd'hui, je me rends compte que\nmon comportement allait à l'encontre de notre\nrelation. J'essaierai d'y remédier, dorénavant.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nÉcoute, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nJe sais que cette histoire d'« esprit libre »\nest avant tout un prétexte.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nLe but de tes sorties était d'évaluer l'état de\nSolm. Pour savoir comment agir en cas de crise,\nje me trompe ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nComme ça, si le pire devait se produire,\ntu serais en mesure de me conseiller.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nHa ha ha ! C'était si limpide pour toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nEh bien, oui. Après tout, je suis ta sœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nJe sais exactement ce qui se passe dans\nta petite tête !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nJ'apprécie tout ce que tu fais pour moi.\nEt en matière de petit frère, j'ai été gâtée.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\nOn est une famille, il est normal de se serrer\nles coudes.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nMais en toute honnêteté... je ne veux pas que\ntu passes ton temps à me protéger.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nミスティラ\nJe veux juste qu'on passe du temps ensemble.\nTu comprends ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nComme on le fait en ce moment. C'est parfait.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nTimerra ! J'ai la solution !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nHm ? On avait un problème ?\nJe n'étais pas au courant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nTiens, regarde. J'ai passé la nuit à la fabriquer.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nUne poupée ? Mais pourquoi...\nAttends...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nC'est pas possible... C'est TOI !\nC'est une poupée à ton effigie !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nGagné !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nMaintenant, on sera toujours ensemble.\nTu n'auras plus à te sentir seule.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nMême si je m'absente du château, tu auras\nl'impression que je suis à tes côtés.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nEt elle pourra te protéger.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nHmf. Tu as tout fichu en l'air.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nJe ne suis plus une gamine. Contre quoi\nune poupée peut-elle me protéger ?\nContre des poupées de bandits ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nSans compter que cette chose te ressemble\nà peine !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nIl faudrait vraiment avoir la berlue pour\nprendre ce « Fauxgado » pour le vrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nToujours est-il que je me suis donné du mal à la\nfabriquer. Tu ne trouves pas qu'elle a la même\nattitude fanfaronne que son papa ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nPff, non, rien à voir. Je pense que tu n'as plus\nd'autre choix.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nIl va te falloir passer plus de temps avec moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nNous sommes le prince et la princesse, mais\nnous sommes avant tout frère et sœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nOui, tu as raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nTu as gagné. Je vais passer moins de temps\nà parcourir Solm, et plus à tes côtés.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nTrès bien ! Était-ce si difficile ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nフォガート\nJ'imagine que tu n'as plus besoin\nde ma poupée.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nJe n'ai rien dit de tel ! Je vais donner un foyer\nchaleureux à ce neveu à l'allure burlesque.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\nHa ha, parfait. Garde juste en tête\nqu'il est végétarien.\x0E\x04\x00\x00
