MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nEh ben ça, c'est bien enflé. Un insecte\nvous a piqué, c'est sûr.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nDu coup, j'ai pensé que vous deviez être\ntriste en regardant l'espace vide qu'elle\navait occupé.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\nCes graines donneront sûrement de moins\njolies fleurs... mais elles occuperont cet espace.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nC'est vraiment gentil de ta part. Je m'assurerai\nque ces graines reçoivent l'affection qu'elles\nméritent.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nC'était la moindre des choses, après votre aide.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nBien, je crois que j'ai fini, donc...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nJean, attends.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nOui ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nY a-t-il d'autres plantes médicinales que\nje pourrais faire pousser pour toi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nJe suis triste qu'on cueille mes jolies fleurs,\nà moins qu'elles n'aident les gens.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nJe souhaite apporter ma contribution.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nC'est vraiment sympa, de vouloir aider\ncomme ça. Ça compte beaucoup pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nJe vais faire ma part aussi, bien sûr.\nJe vais pas vous laisser faire tout le travail.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nC'est merveilleux. Je suis sûr que mes fleurs\nseront ravies d'avoir une deuxième personne\npour prendre soin d'elles.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nHa ha, ouais, sûrement ! Continuez de bien\ntravailler, et essayez de ne plus vous faire\npiquer.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nÇa. tu n'as pas besoin de me le dire deux\nfois. Je pouvais à peine fermer l'œil tant\nj'avais envie de goûter ces herbes.\x0E\x04\x00\x00
