MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nIvy, je dois m'entretenir avec vous.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nVous ignorez ce qu'est l'académie ?\nJe crois que je serais bien avisée de\nformuler un autre souhait...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nラファール\nCertainement pas. Représentez-moi ce dont\nil s'agit en quelques mots, et je l'invoquerai\nsans délai.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nSi vous le dites... L'académie est l'institut\nd'études supérieures d'Elusia. Le lieu où\nconvergent les esprits à former.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Les sujets de mon royaume sont tenus de\nla fréquenter à partir d'un certain âge.\nDes groupes d'apprentissages sont alors formés.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nラファール\nVotre souhait est donc d'être inscrite dans\nune classe et d'y étudier ? Est-ce là vraiment\ntout ce que vous désirez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nOui, mais l'académie représente davantage\nqu'un simple temple du savoir. Les années\nque j'y ai passées me sont chères.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Je n'échangerais les trésors que j'ai découverts\nentre ses murs pour rien au monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nラファール\nParfait. Décrivez-moi ces trésors, et je vous\nen fournirai davantage dans la minute.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nCes trésors sont les souvenirs que je partage\navec mes amis de l'académie, Messire Rafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nOh, bien sûr... Il ne serait guère aisé de les\nreproduire, j'en conviens. Nous pouvons\ntoutefois recréer les conditions initiales.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nVous comptez recréer l'académie ?\nComment ?\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Je n'ose penser que vous envisagiez\nde convertir une école existante. Je ne\ncautionnerai jamais une telle spoliation.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nBien sûr que non, c'est hors de question.\nNe nourrissez nulle appréhension,\ncontentez-vous de vous réjouir.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nVraiment ? Soit, je m'en remets à votre parole.\nEn attendant, permettez-moi de prendre congé,\nMessire Rafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nラファール\nComment je vais recréer une académie, moi ?\nJ'ai du pain sur la planche...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nC'est terminé pour aujourd'hui. La semaine\nprochaine, nous étudierons un peu d'histoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アイビー\nPour être franche, je ne pensais pas que nous\nferions autant de leçons ensemble.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Je n'aurais jamais cru pouvoir à nouveau\nme plonger corps et âme dans mes études.\nC'est tout à fait délicieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nラファール\nNaturellement. C'est le moins que je pouvais\nfaire. Mon seul regret est de n'avoir pu bâtir\nune école digne de ce nom.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nCela n'est pas nécessaire. Nous avons tout\nce qu'il nous faut.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nラファール\nParlez-moi un peu de vos amis de l'académie.\nIls étaient tous issus de la noblesse ou membres\nde la cour ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nCertains d'entre eux, en effet. Mais les étudiants\nvenaient de tous les horizons.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	J'ai forgé des amitiés que je n'aurais jamais pu\nforger à la cour... ou où que ce soit.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Ce sont aussi ces liens inattendus qui rendent\nl'académie si chère à mes yeux.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nラファール\nUn peu comme celui que nous avons créé\nensemble depuis que nous nous sommes\nlancés dans ces leçons.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nExactement, Messire Rafal. Ce que vous avez\naccompli ici illustre parfaitement mon propos.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Du plus profond de mon cœur, je vous\nadresse mes remerciements.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nSi mes efforts vous ont valu un peu de bonheur,\nje suis pleinement satisfait.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	L'Ivy du monde dont je viens a probablement\nconnu des moments similaires à son académie.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Quand je songe à toutes les amitiés qu'elle\na dû y connaître... et aux conséquences de\nmes actes...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nJe ne peux vous pardonner en son nom.\nToutefois, je peux vous dire une chose...\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Si vous pouvez retenir cette leçon et la mettre\nen application dans ce monde, vous aurez fait\ntout ce qui est en votre pouvoir.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\nC'est vrai. Mes péchés sont impardonnables\net je porterai ce fardeau pour le restant\nde mes jours.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Mais j'ai appris une leçon importante grâce\nà votre académie. Vous aviez raison de le\ndécrire comme un temple du savoir.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nVous avez bonne mémoire.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Vous savez, Messire Rafal, voilà un moment\nque nous étudions ensemble, maintenant.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Il ne serait pas inconvenant de nous considérer\ncomme des camarades de classe.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nC'est ainsi que vous désignez vos amis de\nl'académie ? Je ne suis pas sûr de mériter\nune telle dignité.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nAllons ! Nous avons passé tant de temps à\napprendre, tous les deux. Cela me paraît\nau contraire parfaitement approprié.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Je dirais même qu'aucun terme ne conviendrait\nmieux. En tout cas, aucun ne me plairait\ndavantage.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nSi tel est votre désir, qu'il en soit ainsi.\nC'est également votre souhait qui est\nà l'origine de tout ceci, après tout.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Nous serons donc camarades de classe pour\ntoujours. Même après la remise des diplômes.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アイビー\nVoilà un souvenir qui aura amplement sa place\nparmi les autres trésors de ma mémoire.\x0E\x04\x00\x00
