MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nSalut, Yunaka. Pourrais-tu me rendre\nun petit service ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nAh bon, personne ne me reproche rien ?! Ça\nveut dire que je suis libre de m'en aller, alors ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nParfait ! Dans ce cas, je tire ma révérence !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x01\x08\x06ユナカ\n\x0E\x03\x02\x0C\nエーティエ\nHé, attends ! Yunaka !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nJe suis désolée pour l'autre fois, Yunaka... Je\ncrains que tu aies mal interprété mes paroles.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nJ'ai mal interprété tes paroles ?! Ben voyons...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nJe veux dire... Tu t'es bel et bien emparée\nde quelque chose. C'est la stricte vérité.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nMais ce que tu as dérobé, c'est...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nQu'est-ce que j'ai volé, alors ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nC'est mon attention que tu t'es accaparée.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nPardon ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nTu as le physique dont je rêve. Je ne pouvais\nplus détourner le regard de ta silhouette\nidéale.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nC'est pour cela que je voulais t'examiner\nde près.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nPff, c'est un affreux malentendu que tu n'as\npas fait grand-chose pour dissiper...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nTu as raison. J'ai manqué de correction.\nJ'en suis sincèrement désolée.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nSi on oublie une seconde que ton approche\nétait totalement aberrante... en quoi trouves-tu\nque je représente un idéal quelconque ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nTu as un physique bien plus impressionnant\nque le mien.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nMerci pour le compliment, mais je pense que de\nnous deux, c'est probablement toi la plus forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nJe suis certes musclée, mais c'est seulement\nparce que je m'entraîne sans arrêt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nToi, en revanche, tu jouis d'une musculature\nqui s'est développée naturellement.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nTon métabolisme doit s'être régulé à ce niveau\ntrès tôt... sans doute alors que tu n'étais encore\nqu'une enfant.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nPour développer ce genre de musculature,\nil faut être constamment exposé à un\nenvironnement particulièrement rude.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nC'est en tout cas ce que me dicte mon\nintuition, mais j'ai le sentiment qu'elle\nne me trompe pas...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nHum...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nQuel genre d'existence as-tu menée, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ユナカ\nOh là là...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nエーティエ\nVoilà, c'est exactement le genre de questions\nindiscrètes que je vais m'efforcer de ne plus\nposer à l'avenir.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ユナカ\nOh ! V-Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nエーティエ\nBien sûr. Ne t'en fais pas, oublie cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nエーティエ\nJe t'admire, un point c'est tout. Je voulais\nque tu le saches.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nエーティエ\nEt si cela te convient, j'aimerais que nous\nsoyons amies.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06ユナカ\nTu sais... c'est très gentil de ta part, en fait !\nMa foi, pourquoi pas ? Soyons copines, alors !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nOooh, comme ce champ a l'air paisible ! J'ai\nl'impression que je pourrais m'y laisser tomber\net faire une sieste d'au moins mille ans...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nエーティエ\nC'est mon endroit secret. Je viens parfois ici,\ntoute seule, pour y paresser.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nJe t'imaginais pourtant pas du genre\nà rêver au milieu des fleurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nJ'ai grandi dans une jolie petite ville très fleurie,\nalors ça me remonte toujours le moral de me\nretrouver entourée de fleurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nHaaa...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nÇa doit être vraiment beau.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nQuoi donc ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nDe grandir entourée de fleurs. Ça te fait des\nsouvenirs qui t'aident à te remonter le moral.\nJ'avoue être un peu jalouse, entre nous.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nLa vie que j'ai vécue enfant ne ressemblait\nvraiment pas à ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nAh bon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nNon, et je le regrette. Une existence comme\ncelle que tu décris... Cela aurait été un rêve.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nPauvre Yunaka...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nNan, je plaisante ! T'aurais dû voir ta tête...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nJe n'arrive même pas à m'imaginer le genre\nde vie que tu as bien pu vivre.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nTes muscles témoignent d'une histoire\nplutôt tourmentée.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nEt c'est pourquoi j'éprouve un profond respect\npour toi, parce que tu as réussi à t'en sortir et\nà devenir celle que tu es aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nAh, ça alors...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nVois-tu ces fleurs ? Elles viennent de\nma ville natale.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nElles sont magnifiques.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nCelle-ci est censée représenter l'admiration.\nVoilà qui nous conviendrait parfaitement, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ユナカ\nHa ha ! En effet !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nNous pourrions peut-être nous tresser des\ncouronnes de fleurs que nous nous offririons\nl'une à l'autre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nC'est le genre de cadeaux que les vraies amies\nse font, là d'où je viens.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nElles tressent des couronnes de fleurs, et\nse souhaitent de passer une existence longue\net heureuse ensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nVoilà qui me plaît ! Faisons-nous des couronnes\nénormes, et tout le monde nous prendra pour\nles reines du monde !\x0E\x04\x00\x00
