MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAh, Votre Divinité ! Pile le dragon à qui\nje voulais toucher deux mots... J'aimerais\nvous demander une faveur.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nEt y a pas que moi. Les fidèles ont toujours\nsu que vous finiriez par rouvrir les yeux.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nAlors soyez sans crainte, vous les décevrez\npas. Le simple fait que vous existiez prouve\nque leurs espoirs ne sont pas vains.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nJe comprends mieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nEntendu, Pandreo, vous m'avez convaincu\x0E\x0A\x00\x06
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\nMerci, merci ! Tout le monde va sauter de joie\nen vous voyant.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nPincez-moi, je rêve. Est-ce que tout ça\na vraiment eu lieu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nEst-ce que je viens de me rendre à une fête\nen compagnie du Dragon divin ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nC'était un plaisir de voir tout le monde\npasser un bon moment.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nVous leur avez donné une raison de continuer\nà espérer. Je vous remercierai jamais assez\npour ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nC'est moi qui devrais vous remercier. Toute\ncette musique et cette gaieté m'ont fait chaud\nau cœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nMoi-même, je sens que mes espoirs se sont\nraffermis.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nEt qu'est-ce que je vous avais dit ?\nPas une seule grimace de déception\ndans toute la maisonnée.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nC'est vrai...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nJe me dois de rester fort\x0E\x0A\x00\x06
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nUn jour, vous instaurerez la paix dans\nnotre monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\nD'ailleurs, je vous donnerai un coup de main, à\nma modeste échelle. Ensemble, on va conduire\ntout le monde vers un avenir radieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nOh, j'allais oublier. Je voulais vous\ndemander quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nBien sûr. De quoi il s'agit ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nÀ un moment donné, tout le monde s'est\nmis à... hurler. Vous pouvez m'expliquer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nOh, euh, ça... Eh bien...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nC'est juste la façon dont les membres de ma\ncongrégation expriment leur ferveur. Ça manque\nde raffinement, je vous l'accorde.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nFaites-moi une faveur et oubliez ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nBien sûr ! Ahouuuu !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nVotre Divinité, je vous en supplie !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nHa ha ! C'est amusant ! Je comprends\npourquoi ils font ça, maintenant !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAhouuuu ! Bonjour, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08パンドロ\nVotre Divinité ! Je préférerais que vous vous\ndispensiez des salutations hurlantes.\nVous valez mieux que ça.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nTrès bien, très bien, comme vous voudrez.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nMais dites-moi, qu'est-ce qui vous amène ?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08パンドロ\nIl y a quelque chose dont j'aimerais vous parler.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08パンドロ\nBon, autant me jeter à l'eau... Voilà, j'ai des\nsentiments pour vous, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nComment ? D'où tenez-vous une idée\npareille, tout d'un coup ?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08パンドロ\nElle ne m'est pas venue tout d'un coup.\nVoilà longtemps que je ressens cela.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08パンドロ\nJe sais que ça doit relever du sacrilège...\nUn homme d'Église ayant des sentiments\npour une personnalité sacrée comme vous...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08パンドロ\nMais en tant qu'homme d'Église, je n'entends\npas garder ce secret.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08パンドロ\nEt soyez tranquille, Votre Divinité. Je sais bien\nque vous ne pouvez pas vous engager avec\nun humble clerc de mon acabit.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08パンドロ\nMais je suis heureux que vous m'ayez écouté,\naussi complaisant qu'ait été mon propos.\nJe vais prendre congé, maintenant.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nNon, attendez.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08パンドロ\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nQui a dit que le Dragon divin ne pouvait pas\ns'engager auprès d'un homme d'Église ?\nJe serais curieu\x0E\x0A\x00\x0A\x02x\x04se de l'entendre.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08パンドロ\nEh bien... hum...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nS'il vous plaît, Pandreo, il y a quelque chose\nde fondamental que vous devez m'aider à\ncomprendre...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nVous m'avez déjà aidé\x0E\x0A\x00\x06
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nGrâce à vous, j'ai senti des liens se tisser\nautour de moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nVous êtes si cher à mon cœur... Et vous me\ndites que maintenant ce sentiment m'est\ninterdit ?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08パンドロ\nVotre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08パンドロ\nNon. Personne ne peut vous dire ce que vous\ndevez ressentir ou non. Personne.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nDans ce cas, je vous prie d'accepter ceci.\nC'est l'Anneau du Pacte. Je souhaite que vous\nle portiez. Que vous demeuriez à mes côtés.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08パンドロ\nSi c'est là ce que vous désirez de moi...\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nOui, Pandreo. C'est ce que je désire.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08パンドロ\nVous avez remarqué ? On dirait qu'une lumière\nse répand autour de nous, subitement.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nC'est peut-être ma mère. Elle veut nous\ndire à quel point elle est heureuse de\nnous voir ainsi.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08パンドロ\nSa Majesté Lumera ? Puissiez-vous dire vrai.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nQuand deux personnes ont des sentiments l'une\npour l'autre, comme nous, cette inclination ne\ndoit être ni interdite ni étouffée, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nDésormais, nous marcherons ensemble,\nmain dans la main.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08パンドロ\nOui.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08パンドロ\nVotre Divinité, je vous adore. Et quel que soit\nl'avenir qui nous attend, jamais je ne lâcherai\nvotre main.\x0E\x04\x00\x00
