MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPrince Alfred, un instant !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nTiens, Princesse Timerra... Il paraît que vous\nchevauchez des loups. C'est pas des racontars ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nNan !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nQuand j'étais petite, je galopais dans les salons\ndu palais de Solm à dos de louve. Un bazar,\nje vous dis même pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nImpressionnant ! Je ne connais personne d'aussi\nindomptable dans ma famille.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nVraiment ? On a tous un petit côté sauvage\nchez moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nMais j'y pense, ça vous dirait d'apprendre\nà monter un loup ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'attendais qu'une chose : que vous me\nle demandiez !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nParfait ! Je serais ravie de vous montrer\nles bases.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nJ'imagine qu'une petite morsure ne vous\nfait pas peur ? Ni de valdinguer de temps\nen temps ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nDans le genre, plusieurs fois ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nOh que oui, et même davantage. Quand ma\nlouve devient trop excitée, je suis incapable\nde la calmer.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nMais je suis sûre que vous arriverez à l'arrêter,\ntant que vous avez les muscles pour ça.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nBon...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nAvec de l'expérience, on peut garder un loup\nsous contrôle. Mais quand on débute, c'est\nune autre histoire.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nEnfin, je ne veux pas vous faire peur. La plupart\ndes gens terminent l'entraînement avec tous\nleurs membres bien en place.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe commence à me demander...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nIl vaut peut-être mieux que je passe mon tour.\nJe ne peux pas me permettre de me retrouver\nhors d'état de me battre en pleine guerre.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nOuais, ouais. Le courage consiste parfois\nà savoir dire non.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nÇa vous dit de m'apprendre la vie\nau campement, plutôt ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nCe serait amusant de vous voir braver les\néléments au cœur de la nature de Solm.\nJuste un petit peu.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nOh, avec plaisir ! Ça va être marrant !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nミスティラ\nJe vous apprendrai tout ce que je sais !\nComment dresser un camp, quels animaux\ntraquer...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nOh, oh ! Et le plus important : chanter !\nRien ne vaut une bonne chanson autour\ndu feu de camp.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nImpeccable ! Le temps de mettre la main sur\nune tente, et on est partis !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪Avec Alfred, on a vécu à la belle étoile...♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Bons petits plats et chansons géniales !♪\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\n♪Les astres brillaient au firmament...\nEt ma chanson se finit maintenant !♪\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nBravo ! Vous n'avez pas votre pareil pour\nmettre vos sentiments en musique !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nOh, merci. En général, les gens sont assez\ndubitatifs quant à mes chansons.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuoi ? Mais vous chantez à merveille !\nJ'en ai le cœur tout chaviré.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nHa ha ha ! Moi aussi, ça me fait ça !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nMerci, Prince Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nOups ! On dirait que les braises commencent\nà s'éteindre.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, attendez ! J'en fais mon affaire...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nBien joué ! Vous avez géré la situation comme\nun chef.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nÀ se demander ce que je pourrais bien\nvous apprendre. Vous êtes un campeur-né.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh, j'ai eu une bonne prof.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nContinuez à me passer la pommade, j'adore.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nMerci encore. J'ai beaucoup appris\ngrâce à vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nMaintenant, je saisis bien mieux la mentalité\ndes habitants de votre royaume.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nAh ! Vous vouliez vous plonger dans la culture\nsolmoise, en fait ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nOui. Je me suis dit que pour comprendre\nles gens de Solm, il fallait faire les mêmes\nchoses qu'eux.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nミスティラ\nHmm, hmm. Bien, alors crachez le morceau.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nEst-ce que vous fomentez une invasion ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nPas du tout !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe vous jure que cet apprentissage a pour\nseul but de rapprocher nos deux nations.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nOui, je sais. Je vous fais tourner en\nbourrique, c'est tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nCeci dit, on en a pas tout à fait terminé.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nParce que maintenant, c'est à mon tour\nd'en apprendre davantage sur le royaume\nde Firene.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nミスティラ\nSi on veut que Solm et Firene se\nrapprochent, l'échange doit avoir\nlieu dans les deux sens, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est pas faux.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nParfait. Alors vous feriez mieux de me parler\nun peu de votre pays, et ce pour le bien de\nnos nations respectives.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nAvec joie, Princesse Timerra ! Voyons, par où\ncommencer... ?\x0E\x04\x00\x00
