MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nOh, voilà qui est bien triste.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ヴェイル\nTout ce que je désirais, c'était que nous soyons\namies.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x02\x0C\nシトリニカ\nGrands dieux... Dame Veyle...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nDame Veyle ? Puis-je avoir un instant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nJ'imagine.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nVous devez savoir... que je ne cherchais qu'à\ndevenir votre amie. Sincèrement.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nMais visiblement, je ne suis parvenue qu'à\nsemer la zizanie. Je vous présente mes excuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nAvant de les accepter, je dois vous poser\nune question.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nQuand j'ai refusé de prendre vos cadeaux,\nvous m'avez dit de le faire pour vous.\nQu'entendiez-vous par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nJe cherchais à voir la chose que je préfère...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nUn sourire sur le visage d'une amie.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nVous... vouliez me voir sourire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nOui, c'est pour ça que je vous ai demandé\nd'accepter ces cadeaux comme une faveur\nà mon égard.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nLa robe, l'île, la couronne... Ce n'étaient pas des\noffrandes ? C'étaient des cadeaux. Pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nOui. Je vous promets que je les considérais\ncomme tels, et rien d'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nJe pensais que ça vous ferait peut-être sourire\nde recevoir des présents dignes d'une princesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis désolée, Citrinne. Je me suis entièrement\nméprise sur vos intentions.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nJ'espère qu'il n'est pas trop tard...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nAbsolument pas ! J'ai toujours le titre de\npropriété de cette île. Laissez-moi juste...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nOh, non ! Je ne parle pas de ça ! Je n'ai pas\nbesoin de cadeaux hors de prix.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nJe voulais dire... J'espère qu'il n'est pas trop\ntard pour devenir amies. Nous pourrions même\ncommencer... maintenant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nBien sûr...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nBien sûr que nous pouvons, Dame Veyle !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nJe vous considère déjà comme l'une de mes\nplus précieuses amies.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nHi hi ! Voilà qui me fait tellement plaisir,\nCitrinne !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nVotre amitié est le plus beau présent qui soit.\x0E\x04\x00\x00
