MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nAh... Qu'est-ce que je vais faire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nJe n'aurais rien pu faire si vous n'aviez pas\nrassemblé les matériaux pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nÇa m'a pris quelques essais avant de réussir.\nMon premier prototype a... explosé.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nJe... vois. Tu veux donc installer ce fier gaillard\npotentiellement explosif à l'oasis ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nExactement. Mais ça ne sera pas très efficace\ns'il reste immobile, alors...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nMinute. Est-ce qu'il vient de... ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nOui ! Il bouge avec le vent. Pas bête, hein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nフォガート\nEuh... oui. Pas bête du tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nフォガート\nAutant j'admire ton savoir-faire, autant je me\ndemande... tu crois vraiment que ça va suffire\nà effrayer ces brigands ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nAvec un bon éclairage, je pense qu'il peut\nfaire assez peur.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nフォガート\nMais s'ils se rapprochent, ils verront que\nc'est un faux.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nHmm, vous n'avez pas entièrement tort.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nJe me suis inspirée des effigies que l'on utilise\nlà où j'ai grandi pour effrayer les ours. Je n'ai\njamais essayé avec des gens.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\nTu sais quoi ? Autant tenter notre chance. Ce\nn'est pas comme si j'avais une meilleure idée.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nD'accord. Espérons que ça fonctionne !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nLapis, devine quoi ! Ton dispositif a fonctionné\nà merveille !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\nGrâce à son aide, on a attrapé ces brigands\njusqu'au dernier !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nOh, vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nフォガート\nEh oui. Tu disais que ce dispositif marchait bien\npour effrayer les ours.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nOui...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nJe confirme. Cette chose a provoqué une\npanique chez les animaux de l'oasis.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nLes animaux ? Mais nous voulions effrayer\nles brigands, pas la faune locale.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nOui, mais les brigands se sont mis à fuir devant\ncette horde de tigres et d'alligators effrayés.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nEt quand ils se sont retrouvés à découvert,\nnous avons pu les cueillir jusqu'au dernier.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nMission parfaitement accomplie, grâce à toi !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nJ'imagine que c'est ce que nous voulions...\nmême si le procédé n'était pas très orthodoxe.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nTu peux être fière de toi. C'était du beau travail,\net ça a très bien marché, en fin de compte.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nAlors comme ça, on utilise ce genre de\ndispositifs dans ta ville natale ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nOui. On utilise tout une panoplie d'appareils\npour éloigner les ours.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nAh oui ? Et si tu m'y emmenais pour me\nmontrer ça en personne ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nHein ? Pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nフォガート\nJ'aimerais voir ça de plus près. Je parie que\nje pourrais apprendre beaucoup des stratégies\ndéfensives innovantes.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nJe ne suis pas sûre que ça vous sera utile.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nMais si vous voulez y aller, il faudra vous\ndéguiser pour ne pas être reconnu.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nÇa marche ! Marché conclu.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nHmm, comment pourrais-je me déguiser ?\nPeut-être avec une peau d'ours...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\nCe n'est pas une très bonne idée, sauf\nsi vous voulez finir en ragout d'ours...\x0E\x04\x00\x00
