MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nEuh... Chloé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nDes gens se font blesser tous les jours sur\nle champ de bataille. Et certains ne s'en\nrelèvent pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nJ'ai vu des choses que j'aurais jamais\npu imaginer, dans le village paisible\nd'où je viens.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\nEt vous, ça ne vous fait pas peur, tout ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nBien sûr que si. Et je ne pense pas que nous\nsoyons les seuls à éprouver ces craintes.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nMais parfois, nous sommes obligés d'accomplir\ncertaines actions, même si elles nous\ndemandent de nous confronter à nos peurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nC'est cette pensée qui nous aide à nous\nbattre jour après jour. Du moins, elle\nm'aide, moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\nDes choses que nous sommes obligés de\nfaire, même si elles nous effraient ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nJe suis sûre que c'est pareil pour toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nJe t'ai vu sur le champ de bataille. Tu ne t'es\npas défilé à l'idée d'être blessé ou même\nde mourir.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\nVous devez avoir raison. Merci, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nJ'aurai probablement toujours aussi peur,\nmais je ne m'enfuirai pas pour autant.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nSurtout pas tant que j'aurai une amie\ninébranlable comme vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\n« Inébranlable » ! Ça me plaît !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nEt puis, vous avez l'estomac solide. Les gens\ncomme vous ne meurent pas si facilement.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nEnfin, si vous avez mal au ventre après avoir\nmangé un truc bizarre, venez me voir tout\nde suite, hein...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nHa ha ! Ta sollicitude me va droit au cœur !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ジャン\nNon mais je suis très sérieux !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nJe ne compte pas mourir, Jean. Pas tant que\ntu veilleras sur moi.\x0E\x04\x00\x00
