MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIch bin ja so glücklich, mit \x0E\x0A\x008\x1Aeinem anderen\x1Aeiner anderen\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin Freundschaft zu schließen.\nWir haben uns bestimmt viel zu erzählen!\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSelbstverständlich. Ich freue mich, Euer\nInteresse geweckt zu haben, Milady Tiki.\nMan nennt diese Tätigkeit „Stricken“.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIhr möchtet wirklich mein Freund sein, obwohl\nich eine Wyrmgöttin aus einer anderen Welt\nbin?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMich interessiert weniger, dass Ihr eine\nWyrmgöttin seid, sondern wer Ihr in Eurem\nInnersten seid.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEgal, wer oder was man ist – das Herz allein ist\nalles, was zählt. Euer Herz ist rein, und ich bin\ndankbar, an Eurer Seite kämpfen zu dürfen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04チキ\nHihihi, verstehe. Das macht mich glücklich.\nIch werde mein Bestes geben, damit Ihr dies\nauch weiterhin über mich sagen könnt!\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nMilady Tiki ist also auch eine Wyrmgöttin... Sie\nist so etwas von fein. Ich hoffe, ich darf auch\nweiterhin auf sie Acht geben!\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x06\x04チキ\nOh? Warum beobachtest du mich denn aus\nder Entfernung? Komm doch hierher, dann\nkönnen wir uns ein wenig unterhalten!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nIch kann es immer noch nicht glauben, dass Ihr\nEuch wirklich mit mir unterhalten wollt. Ich bin\ndafür sehr dankbar! Aber auch ebenso nervös.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04チキ\nEs gibt keinen Grund, nervös zu sein, Clanne.\nWir sind doch Freunde!\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nDu, Clanne? Du sagst immer, ich sei „fein“,\naber was bedeutet das eigentlich genau?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nOh, das ist schwer zu erklären. Es bedeutet,\nerlesen, unglaublich und zu wunderbar, um\nwahr zu sein. So was in der Art.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04チキ\nAha! Wenn das so ist, bist du auch fein!\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nOooh?! Ihr macht bestimmt Spaß. Denkt Ihr das\nwirklich? Aaah, ich bin so glücklich, ich könnte\nglatt in Ohnmacht fallen!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nOh, Wahnsinn! Eine Wyrmgöttin aus einer\nanderen Welt. Ah! Sie hat mich gesehen.\nWas soll ich nur tun? Was soll ich nur tun?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04チキ\nHm? Hast du mich beobachtet? Steh doch\nnicht da drüben herum. Komm doch zu mir,\ndann können wir uns unterhalten!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nIch bin so dankbar, dass Ihr Euch mit mir unter-\nhalten wollt, Milady Tiki... Aber ich fühle mich\nimmer ganz geplättet, wenn Ihr Euch nähert.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x06\x04チキ\nHihihi. Dann werde ich ab sofort noch viel\nöfter zu dir kommen. Denn ich möchte, dass\nwir Freundinnen werden!\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nMilady Tiki... Ich habe versucht, einen Brief zu\nschreiben, um meine Dankbarkeit auszudrücken.\nWürdet Ihr ihn gerne lesen?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04チキ\nOooh, gerne! Aber ich kann den Brief gar nicht\nin die Hand nehmen und halten...\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04チキ\nWürdest du ihn mir vorlesen? Ich würde so\ngerne erfahren, was du sagen möchtest.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nWie?! Vorlesen? Laut? Damit habe ich jetzt\nnicht gerechnet, aber... ähm, ich kann es\nmal versuchen.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMein Volk verehrt \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Es ist mir\neine große Ehre, die Wyrmgöttin einer anderen\nWelt kennenlernen zu dürfen.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04チキ\nIch freu mich auch! Und hoffe, dass wir gute\nFreunde werden!\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOh, die Sonne ist ja noch nicht einmal aufge-\ngangen. Was macht Ihr denn hier schon so\nfrüh am Morgen?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch trainiere, um noch stärker zu werden.\nMöchtet Ihr Euch anschließen?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nTiki, wisst Ihr, wieso es zu Kriegen kommt?\nWarum wir Felder mit hübschen Blumen in\nFelder aus Blut verwandeln?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04チキ\nDas weiß ich auch nicht... Ich glaube aber,\ndass jeder tief in seinem Herzen gut ist.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x06\x04チキ\nIch wünschte, jeder auf der Welt wäre so wie\nIhr. Wenn alle so gutherzig wären, gäbe es\nkeine Auseinandersetzungen.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nHm. Ich danke Euch. Es ist besorgniserregend\naber das Training lenkt mich ab. Wollen wir\ngemeinsam ein bisschen Laufen gehen?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nブシュロン\nEin Emblem, das sich in einen Drachen ver-\nwandeln kann... Beeindruckend! Ich werde\nalles geben, um nicht zurückzufallen.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04チキ\nJa, ich auch! Ich werde mich viel, viel mehr\nanstrengen! Und dir zeigen, wie toll ich sein\nkann!\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nDas Buch muss bewegend sein, wenn es dich\nzum Weinen bringt. Es wäre so schön, wenn\ndu es mir vorlesen würdest.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, Ihr habt mich weinen gesehen? Nun, dies ist\nmein Lieblingsbuch. Setzt Euch, dann erfahrt\nIhr, warum das so ist.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nDu liest wirklich gerne, nicht wahr? Immer,\nwenn ich dich sehe, hast du ein Buch in der\nHand.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nOh ja, sehr gerne. Geschichten sind etwas\nWunderbares, und sorgen bei all den Kämpfen\nfür Abwechslung. Lest Ihr gerne?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x06\x04チキ\nIch liebe es, wenn man mir etwas vorliest! Oh,\nwürdest du mir heute etwas vorlesen?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nAuf jeden Fall. Ich kenne viele Geschichten,\ndie ich Euch vorlesen werde. Und es gibt immer\nwieder neue, auf die Ihr Euch freuen könnt.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nMögt Ihr es, zu trainieren, Tiki? Vielleicht\nkönnen wir zusammen Laufen gehen, um\nunsere Freundschaft zu vertiefen?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x06\x04チキ\nIch liebe es, mich zu bewegen! Und wenn wir\ndas gemeinsam tun, wird es bestimmt richtig\ntoll!\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nDer Stolz meiner Heimat sind ihre wunder-\nschönen Pfirsichblüten. Ich hoffe, dass ich\nsie Euch eines Tages zeigen kann.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x06\x04チキ\nEhrlich? Das würde mich freuen! Blumen sind\nso hübsch. Ich hoffe, wir können sie uns ganz\nbald schon ansehen!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nIhr wirkt beunruhigt. Belastet Euch etwas?\nIch höre Euch gerne zu.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x06\x04チキ\nEs... Ich habe mich an die Vergangenheit\nerinnert. Damals war ich ganz allein und habe\ngeschlafen.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh... Ich empfehle ein Lauftraining bis zur\nVerausgabung. Ihr könnt mir alles während\ndes Laufens erzählen!\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x06\x04チキ\nWenn du bei mir bist, bin ich gleich fröhlicher.\nDanke, Etie. Lass uns laufen!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nHallo, Tiki. Euer Lächeln ist strahlend wie\nimmer.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04チキ\nIch bin von so vielen wunderbaren Leuten\numgeben, da kann ich gar nicht traurig sein!\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWie ich hörte, sollen Euch schlechte Träume\nplagen. Ich habe etwas Tee zubereitet – sein\nDuft wird Euch helfen, einzuschlafen.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x06\x04チキ\nOooh, den habt Ihr extra für mich gemacht?\nIhr seid die Beste! Sein Duft ist so beruhigend.\nIch bin sicher, so werde ich sehr gut schlafen!\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWas macht Euch Spaß und bringt Euch Freude?\nAls Eure Freundin und Kameradin glaube ich,\ndass es wichtig ist, dass ich das weiß.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04チキ\nHmm, mal überlegen... Vielleicht wenn ich von\nguten Freunden umgeben bin?\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x06\x04チキ\nIch möchte mit jenen zusammen sein, die mir\nviel bedeuten. Daher bin ich in diesem Moment\nsehr glücklich, weil ich mit Euch zusammen bin!\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nEhrlich? Ich freue mich, dass ich ein Quell\nEurer Freude sein kann. Dann sollten wir ab\nsofort noch mehr Zeit miteinander verbringen!\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nEs ist schon seltsam zu sehen, wie so ein süßes\nMädchen wie Tiki sich auf dem Schlachtfeld in\neinen furchterregenden Drachen verwandelt.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04チキ\nWarum starrst du mich so an? Du kannst gerne\nherkommen und dich mit mir unterhalten!\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nMmmh... Ich rieche etwas Süßes... Louis,\nversteckst du etwa leckere Süßigkeiten?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nIch habe Trauben, eine Spezialität aus meiner\nHeimat, dabei. Hier, probiert gerne ein paar,\nwenn Ihr möchtet.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nIch verbringe sehr gerne Zeit mit Euch. Das\nmacht Spaß. So muss es wohl sein, wenn man\neine kleine Schwester hat.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04チキ\nDann stell dir einfach vor, ich sei deine kleine\nSchwester!\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nHahaha. Ich weiß das Angebot zu schätzen,\naber Ihr seid ein Emblem. Ich wäre viel zu\nbeeindruckt dazu.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04チキ\nOch, nun sei doch nicht albern. Oder ich werde\nab sofort „großer Bruder“ zu dir sagen, ob es dir\ngefällt oder nicht!\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クロエ\nSoll ich Euch mit „Göttliche“ anreden, da Ihr\neine Wyrmgöttin aus einer anderen Welt seid?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04チキ\nBitte nicht! Nenn mich einfach Tiki. Es fühlt sich\nseltsam an, wenn neue Freunde so formell\nmiteinander umgehen!\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIch sehe dich stets am Himmel fliegen.\nWas machst du da oben?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nOh, ich mag es, zu naschen und gleichzeitig\ndabei zu fliegen. Ihr könnt mir gerne mal dabei\nGesellschaft leisten, wenn Ihr möchtet.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWenn ich mit dir zusammen bin, fühle ich mich\nwohl. Es fühlt sich warm und gemütlich an.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nSo geht es mir auch, wenn ich mit Euch\nzusammen bin! Wir zwei sind ein richtig gutes\nTeam geworden.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x06\x04チキ\nWo wir gerade bei gemütlich sind: Würdest du\nmir noch ein Märchen erzählen? Mir hat das,\nwas du mir neulich erzählt hast, sehr gefallen.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nSicher. Setzt Euch neben mich. Und macht Euch\nkeine Sorge, dass Ihr einschlafen könntet. Ich\nwerde noch hier sein, wenn Ihr aufwacht.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch bin erstaunt, eine weitere Wyrmgottheit in\nunseren Reihen zu sehen. Ich hoffe, wir werden\naufeinander zählen können.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04チキ\nOh, ja! Wisst Ihr, ich bin wirklich sehr stark. Und\nich werde mich gewiss anstrengen, um allen hier\nzu helfen!\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nWürdet Ihr mir etwas über Eure Welt erzählen?\nIst es dieselbe Welt, aus der auch Emblem Marth\nstammt?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04チキ\nJa. All das Kämpfen dauerte so lange an, doch\nMar-Mar schaffte es, dem Krieg ein Ende zu\nsetzen. Ich wünsche auch dieser Welt Frieden.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nUi, das ist aber eine große Narbe auf Eurem\nlinken Arm. Habt Ihr Euch dort in einer Schlacht\nverletzt? Tut es noch weh?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, die. Die habe ich seit jungen Jahren. Damals\ngelang es mir nicht, richtig mit Feuermagie um-\nzugehen. Mir fehlt immer noch das Talent dafür.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nManchmal spüre ich sie noch, aber das ist\nnicht weiter schlimm. Es ist sehr nett von Euch,\nEuch um mich zu sorgen, Tiki.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04チキ\nOooh... Aber das muss doch stören, selbst wenn\nIhr sie nur ein wenig spürt. Ahamm, aaah...\nSchmerz, Schmerz, sei ausgemerzt!\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nEine Wyrmgöttin aus einer anderen Welt...\nDas ist ein wahr gewordener Traum! Erzählt mir\nmehr über Euch!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04チキ\nSicher! Ich erzähle dir ganz viel von mir! Und du\nerzählst mir ganz viel von dir!\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nJe mehr ich über Eure Welt erfahre, desto\ngeehrter fühle ich mich, hier an Eurer Seite\nsein zu dürfen.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x06\x04チキ\nHahaha. Ich freue mich auch sehr, dass ich mit\ndir hier in deiner Welt sein kann. Und? Worüber\nwerden wir uns heute unterhalten?\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWas sind eigentlich diese „Alpakas“, von denen\ndu mir immer erzählst? Ich glaube nicht, dass\nich die schon mal irgendwo gesehen habe.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nDas sind ganz fluffige Tiere mit einem langen\nHals. Sie sind so drollig! In meinem Heimatort\ngibt es eine Alpakafarm!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x06\x04チキ\nOh, das klingt, als seien sie echt niedlich!\nIch möchte auch mal so ein Alpaka sehen.\nMeinst du, ich könnte es sogar streicheln?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nDieser Traum wird sich erfüllen! Ich, der\nHeld des Alpaka-Weilers, werde dafür sorgen!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJade, warum stehst du manchmal mit\ngeschlossenen Augen da? Schläfst du dann\nim Stehen?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNein, ich meditiere. So ruhe ich meinen Geist\naus... Möchtet Ihr es auch einmal ausprobieren?\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nHeute schreibst du etwas, anstatt zu meditieren.\nWas schreibst du denn da? Einen Brief? Oh,\noder ein Tagebuch?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nIch arbeite an einer Geschichte. Normalerweise\nschreibe ich nachts, aber ich hielt es für eine\nnette Abwechslung, mal tagsüber zu schreiben.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nHeute muss dir etwas Schönes passiert sein!\nDein Lächeln ist wirklich strahlend.\x0E\x04\x00\x00
